"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"R.D. Food Centre"|"200"|"North Indian,Chinese"|"Agra"|"Dayal Bagh"|"https://www.zomato.com/agra/r-d-food-centre-dayal-bagh/info"|"53"|"none"|"1pm to 12midnight(Mon-Thu),2pm to 1am(Fri),1pm..."|"Average"|"3.2"|"5"
"Chirag Flavours"|"300"|"North Indian,Chinese"|"Agra"|"Tajganj"|"https://www.zomato.com/agra/chirag-flavours-tajganj/info"|"53"|"Quick Bites"|"24"|"Not rated"|"-"|"-"
"Shri Vrindavan Sweet"|"400"|"Mithai"|"Agra"|"Dayal Bagh"|"https://www.zomato.com/agra/shri-vrindavan-sweet-dayal-bagh/info"|"53"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Surbhi Bar & Restaurant"|"800"|"North Indian,Chinese,Fast Food"|"Agra"|"Mantola"|"https://www.zomato.com/agra/surbhi-bar-restaurant-mantola/info"|"53"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Parantha Factory"|"150"|"North Indian"|"Agra"|"Agra Cantt"|"https://www.zomato.com/agra/parantha-factory-agra-cantt/info"|"53"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Uncle Cakes And Bakes"|"250"|"Fast Food,Desserts"|"Agra"|"Shahganj"|"https://www.zomato.com/agra/uncle-cakes-and-bakes-shahganj/info"|"53"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Nuova, Udarpoorti Pure Veg Family Restaurant"|"500"|"Chinese,Continental,North Indian"|"Agra"|"Civil Lines"|"https://www.zomato.com/agra/hotel-nuova-udarpoorti-pure-veg-family-restaurant-civil-lines/info"|"53"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri Kanha Foods"|"300"|"North Indian"|"Agra"|"Agra Cantt"|"https://www.zomato.com/agra/shri-kanha-foods-agra-cantt/info"|"53"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"A.V Food Court"|"400"|"Mithai,North Indian,South Indian,Fast Food"|"Agra"|"Sikandra"|"https://www.zomato.com/agra/a-v-food-court-sikandra/info"|"53"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Go 69 Pizza"|"250"|"Pizza"|"Agra"|"Kamla Nagar"|"https://www.zomato.com/agra/go-69-pizza-kamla-nagar/info"|"53"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Dawat Restaurant"|"400"|"North Indian"|"Agra"|"Sikandra"|"https://www.zomato.com/agra/dawat-restaurant-2-sikandra/info"|"53"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Yash Paties And Juice Corner"|"100"|"Street Food,Juices"|"Agra"|"Shahganj"|"https://www.zomato.com/agra/yash-paties-and-juice-corner-shahganj/info"|"53"|"none"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Flower Nest"|"500"|"North Indian"|"Agra"|"Tajganj"|"https://www.zomato.com/agra/flower-nest-tajganj/info"|"53"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Girraj Dhaba"|"200"|"North Indian"|"Agra"|"Sikandra"|"https://www.zomato.com/agra/girraj-dhaba-sikandra/info"|"53"|"Dhaba"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Gyani's Snacks Corner"|"300"|"Fast Food"|"Agra"|"Kamla Nagar"|"https://www.zomato.com/agra/gyanis-snacks-corner-kamla-nagar/info"|"53"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"5"
