"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Dil E Punjab"|"850"|"North Indian,Chinese,Continental"|"Ahmedabad"|"Adalaj"|"https://www.zomato.com/ahmedabad/dil-e-punjab-adalaj/info"|"9"|"Casual Dining"|"11am to 3pm,7pm to 12midnight(Mon-Sun)"|"Good"|"3.9"|"329"
"Hyderabadi Hut"|"650"|"North Indian,Mughlai"|"Ahmedabad"|"Sarkhej"|"https://www.zomato.com/ahmedabad/hyderabadi-hut-sarkhej/info"|"9"|"Casual Dining"|"1130am to 3pm,7pm to 1130pm(Mon-Sun)"|"Good"|"3.8"|"353"
"The Kebabish"|"550"|"North Indian,Mughlai"|"Ahmedabad"|"Sarkhej"|"https://www.zomato.com/ahmedabad/the-kebabish-sarkhej/info"|"9"|"Quick Bites"|"12noon to 330pm,6pm to 12midnight(Mon-Sun)"|"Good"|"3.7"|"308"
"Sundew - Ramada"|"1400"|"North Indian,Continental,Fast Food"|"Ahmedabad"|"Ramada-- Prahlad Nagar"|"https://www.zomato.com/ahmedabad/sundew-ramada-prahlad-nagar/info"|"9"|"Casual Dining"|"24"|"Good"|"3.8"|"264"
"Stick With It"|"250"|"Desserts,Fast Food"|"Ahmedabad"|"Bodakdev"|"https://www.zomato.com/stick-with-it-food-truck/info"|"9"|"Food Truck"|"730pm to 1am(Mon-Sun)"|"Excellent"|"4.6"|"205"
"Yaara Da Dhaba"|"600"|"North Indian,Biryani"|"Ahmedabad"|"Sola"|"https://www.zomato.com/ahmedabad/yaara-da-dhaba-sola/info"|"9"|"Dhaba"|"7pm to 1am(Mon-Sun)"|"Good"|"3.7"|"339"
"Midnight Scorer"|"400"|"Fast Food"|"Ahmedabad"|"Infocity"|"https://www.zomato.com/ahmedabad/midnight-scorer-infocity-gandhinagar/info"|"9"|"Quick Bites"|"8pm to 4am(Mon-Sun)"|"Average"|"3.0"|"329"
"Millhouse"|"1200"|"Continental,Italian"|"Ahmedabad"|"Ahmedabad One Mall-- Vastrapur"|"https://www.zomato.com/ahmedabad/millhouse-1-vastrapur/info"|"9"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"782"
"Eleven 11 Restro Cafe"|"1000"|"Cafe,Italian,North Indian"|"Ahmedabad"|"Bodakdev"|"https://www.zomato.com/ahmedabad/eleven-11-restro-cafe-bodakdev/info"|"9"|"Café"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.3"|"1082"
"Only Home delivery"|"300"|"North Indian,Chinese"|"Ahmedabad"|"Shahpur"|"https://www.zomato.com/ahmedabad/only-home-delivery-shahpur/info"|"9"|"none"|"11am to 3pm,7pm to 2am(Mon-Sun)"|"Average"|"3.3"|"392"
"Dr. Bubbles"|"400"|"Desserts,Bubble Tea"|"Ahmedabad"|"Bodakdev"|"https://www.zomato.com/ahmedabad/dr-bubbles-1-bodakdev/info"|"9"|"Dessert Parlor"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.0"|"205"
"Mr. & Mrs. Idly"|"350"|"South Indian"|"Ahmedabad"|"C G Road"|"https://www.zomato.com/ahmedabad/mr-mrs-idly-c-g-road/info"|"9"|"Quick Bites"|"8am to 12midnight(Mon-Sun)"|"Average"|"2.8"|"264"
"Behrouz Biryani"|"650"|"Biryani"|"Ahmedabad"|"Chandkheda"|"https://www.zomato.com/ahmedabad/behrouz-biryani-chandkheda/info"|"9"|"none"|"10am to 12midnight(Mon-Sun)"|"Good"|"3.8"|"324"
"Ombre"|"350"|"Desserts,Bakery,Beverages"|"Ahmedabad"|"Prahlad Nagar"|"https://www.zomato.com/ahmedabad/ombre-1-prahlad-nagar/info"|"9"|"Dessert Parlor"|"10am to 12midnight(Mon-Sun)"|"Very Good"|"4.0"|"179"
"Dessert N Shakes"|"250"|"Desserts,Beverages"|"Ahmedabad"|"Navrangpura"|"https://www.zomato.com/ahmedabad/dessert-n-shakes-navrangpura/info"|"9"|"Dessert Parlor"|"1130am to 1130pm(Mon-Sun)"|"Very Good"|"4.0"|"92"
