"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Bar Code"|"600"|"North Indian,Chinese,Continental"|"Ajmer"|"Ram Ganj"|"https://www.zomato.com/ajmer/bar-code-ram-ganj/info"|"16"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mad About Food"|"500"|"North Indian,South Indian,Chinese"|"Ajmer"|"Ana Sagar Lake"|"https://www.zomato.com/ajmer/mad-about-food-ana-sagar-lake/info"|"16"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Gaytri Dosa Centre"|"100"|"South Indian"|"Ajmer"|"Kotra"|"https://www.zomato.com/ajmer/gaytri-dosa-centre-kotra/info"|"16"|"none"|"4pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Gulab Palace And Restaurant"|"400"|"North Indian"|"Ajmer"|"Boraj Kazipura"|"https://www.zomato.com/ajmer/hotel-gulab-palace-and-restaurant-boraj-kazipura/info"|"16"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shiv Shankar Juice"|"100"|"Juices,Beverages"|"Ajmer"|"Ana Sagar Lake"|"https://www.zomato.com/ajmer/shiv-shankar-juice-ana-sagar-lake/info"|"16"|"Beverage Shop"|"830am to 1230AM(Mon-Sun)"|"Average"|"3.2"|"7"
"Omni Restaurant"|"400"|"North Indian,South Indian,Fast Food"|"Ajmer"|"Police Lines"|"https://www.zomato.com/ajmer/omni-restaurant-police-lines/info"|"16"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Darbar Restaurant"|"200"|"North Indian,Kebab,Indian"|"Ajmer"|"Panchsheel Nagar"|"https://www.zomato.com/ajmer/darbar-restaurant-panchsheel-nagar/info"|"16"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lake Heaven Restaurant"|"200"|"North Indian,Fast Food"|"Ajmer"|"Ana Sagar Lake"|"https://www.zomato.com/ajmer/lake-heaven-restaurant-ana-sagar-lake/info"|"16"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Suruchi"|"250"|"North Indian"|"Ajmer"|"Ana Sagar Lake"|"https://www.zomato.com/ajmer/suruchi-ana-sagar-lake/info"|"16"|"Quick Bites"|"830am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Laxmi Bhojanalaya"|"300"|"North Indian,Salad"|"Ajmer"|"Railway Quarters"|"https://www.zomato.com/ajmer/laxmi-bhojanalaya-railway-quarters/info"|"16"|"Quick Bites"|"9am to 1130pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Shri Ambika Bhojanalaya"|"150"|"Street Food,Beverages,North Indian,Rajasthani"|"Ajmer"|"Railway Quarters"|"https://www.zomato.com/ajmer/shri-ambika-bhojanalaya-railway-quarters/info"|"16"|"Quick Bites"|"6am to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Excellenceee"|"300"|"Fast Food,Sandwich,Italian,Pizza,North Indian,Chinese"|"Ajmer"|"Railway Quarters"|"https://www.zomato.com/ajmer/excellenceee-railway-quarters/info"|"16"|"Café"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Peg"|"1000"|"North Indian,Chinese"|"Ajmer"|"Ana Sagar Lake"|"https://www.zomato.com/ajmer/the-peg-ana-sagar-lake/info"|"16"|"Bar"|"7pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Naayaab Restaurant"|"350"|"North Indian"|"Ajmer"|"Adarsh Nagar"|"https://www.zomato.com/ajmer/naayaab-restaurant-adarsh-nagar/info"|"16"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Lazeez Garden Restaurant"|"150"|"North Indian"|"Ajmer"|"Kotra"|"https://www.zomato.com/ajmer/lazeez-garden-restaurant-kotra/info"|"16"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
