"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Madras Veg Tables"|"600"|"South Indian,Kerala"|"Alappuzha"|"Punnapra"|"https://www.zomato.com/alappuzha/madras-veg-tables-punnapra/info"|"1"|"Casual Dining"|"7am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"62"
"Cassia"|"500"|"South Indian,North Indian,Fast Food"|"Alappuzha"|"Kommady"|"https://www.zomato.com/alappuzha/cassia-kommady/info"|"1"|"Casual Dining"|"730am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"32"
"Hotel Haji's"|"400"|"Kerala,South Indian"|"Alappuzha"|"Pathirappally"|"https://www.zomato.com/alappuzha/hotel-hajis-pathirappally/info"|"1"|"Casual Dining"|"7am to 1130pm(Mon-Sun)"|"Average"|"3.2"|"31"
"Pizza Palace"|"600"|"Pizza,Fast Food"|"Alappuzha"|"Pazhaveedu"|"https://www.zomato.com/alappuzha/pizza-palace-pazhaveedu/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"26"
"Cutiepie"|"200"|"Bakery"|"Alappuzha"|"Anantha Narayanapuram"|"https://www.zomato.com/alappuzha/cutiepie-anantha-narayanapuram/info"|"1"|"Bakery"|"10am to 830pm(Mon-Sun)"|"Average"|"3.3"|"30"
"Amma's Bakery"|"100"|"Bakery"|"Alappuzha"|"Thalavady"|"https://www.zomato.com/alappuzha/ammas-bakery-thalavady/info"|"1"|"Bakery"|"930am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Krishna Bakery"|"100"|"Bakery"|"Alappuzha"|"Thalavady"|"https://www.zomato.com/alappuzha/krishna-bakery-thalavady/info"|"1"|"Bakery"|"830am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hot n Spicy"|"350"|"Kerala"|"Alappuzha"|"Pazhaveedu"|"https://www.zomato.com/alappuzha/hot-n-spicy-pazhaveedu/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Maria Kitchen"|"250"|"South Indian"|"Alappuzha"|"Kommady"|"https://www.zomato.com/alappuzha/maria-kitchen-kommady/info"|"1"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hassans"|"300"|"South Indian"|"Alappuzha"|"Pathirappally"|"https://www.zomato.com/alappuzha/hassans-pathirappally/info"|"1"|"Casual Dining"|"730am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Malabar Plaza"|"350"|"Arabian,North Indian,South Indian"|"Alappuzha"|"Pathirappally"|"https://www.zomato.com/alappuzha/malabar-plaza-pathirappally/info"|"1"|"Casual Dining"|"7am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mushrooms"|"400"|"South Indian,North Indian,Kerala"|"Alappuzha"|"Anantha Narayanapuram"|"https://www.zomato.com/alappuzha/mushrooms-anantha-narayanapuram/info"|"1"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Plaza"|"600"|"North Indian,South Indian"|"Alappuzha"|"Pathirappally"|"https://www.zomato.com/alappuzha/hotel-plaza-pathirappally/info"|"1"|"Casual Dining"|"7am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kadathanad"|"400"|"South Indian,North Indian,Kerala,Chinese"|"Alappuzha"|"Pathirappally"|"https://www.zomato.com/alappuzha/kadathanad-pathirappally/info"|"1"|"Casual Dining"|"830am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ashante Peedika"|"300"|"Fast Food,Beverages"|"Alappuzha"|"Koyippalli"|"https://www.zomato.com/alappuzha/ashante-peedika-koyippalli/info"|"1"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
