"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Little China"|"500"|"Chinese"|"Allahabad"|"Vinayak City Centre Mall-- Civil Lines"|"https://www.zomato.com/allahabad/little-china-civil-lines/info"|"23"|"Food Court"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Pride Inn Tantra Restaurant"|"600"|"North Indian,Chinese,Continental,Fast Food,Beverages"|"Allahabad"|"Civil Lines"|"https://www.zomato.com/allahabad/pride-inn-tantra-restaurant-civil-lines/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ritz"|"300"|"North Indian"|"Allahabad"|"Civil Lines"|"https://www.zomato.com/allahabad/ritz-civil-lines/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Penguin Indian & Mugal Foods"|"250"|"Indian,Mughlai"|"Allahabad"|"Allapur"|"https://www.zomato.com/allahabad/penguin-indian-mugal-foods-allapur/info"|"23"|"Quick Bites"|"2pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"8"
"What's The Food"|"400"|"North Indian"|"Allahabad"|"George Town"|"https://www.zomato.com/allahabad/whats-the-food-george-town/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bakers Bakery"|"350"|"Bakery"|"Allahabad"|"Kareli"|"https://www.zomato.com/allahabad/bakers-bakery-kareli/info"|"23"|"Bakery"|"9am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Amber Restaurant"|"500"|"North Indian,Mughlai"|"Allahabad"|"Leader Road"|"https://www.zomato.com/allahabad/amber-restaurant-leader-road/info"|"23"|"Casual Dining"|"8am to 3am(Mon-Sun)"|"Not rated"|"-"|"-"
"Ananya Bhojnalaya"|"300"|"North Indian"|"Allahabad"|"Civil Lines"|"https://www.zomato.com/allahabad/ananya-bhojnalaya-civil-lines/info"|"23"|"Bhojanalya"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"6"
"Rasoi Restaurant-Hotel Prayag"|"800"|"North Indian,Chinese"|"Allahabad"|"Leader Road"|"https://www.zomato.com/allahabad/rasoi-restaurant-hotel-prayag-leader-road/info"|"23"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Silk Restaurant"|"550"|"North Indian,South Indian,Chinese"|"Allahabad"|"Bairahana"|"https://www.zomato.com/allahabad/silk-restaurant-bairahana/info"|"23"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Egg Spectation - Hotel Milan Palace"|"1000"|"North Indian"|"Allahabad"|"Civil Lines"|"https://www.zomato.com/allahabad/egg-spectation-hotel-milan-palace-civil-lines/info"|"23"|"Casual Dining"|"11am to 12midnight(Mon,Tue,Wed,Fri,Sat,Sun)..."|"Not rated"|"-"|"-"
"Hashtag Cafe"|"500"|"Cafe"|"Allahabad"|"Naini"|"https://www.zomato.com/allahabad/hashtag-cafe-naini/info"|"23"|"Café"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"4"
"Crispy And Juicy"|"250"|"Biryani,Fast Food"|"Allahabad"|"Naini"|"https://www.zomato.com/allahabad/crispy-and-juicy-naini/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Kibriyaz"|"700"|"North Indian,South Indian"|"Allahabad"|"Katra"|"https://www.zomato.com/allahabad/kibriyaz-katra/info"|"23"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Zayka Ek Swaad"|"150"|"North Indian"|"Allahabad"|"Chowk"|"https://www.zomato.com/allahabad/zayka-ek-swaad-chowk/info"|"23"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
