"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"BARBEQUE - N"|"300"|"North Indian,Maharashtrian,Indian"|"Amravati"|"Maltekedi"|"https://www.zomato.com/amravati/barbeque-n-maltekedi/info"|"3"|"Fine Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"4"
"Sandwich center"|"200"|"Modern Indian,Sandwich"|"Amravati"|"Maltekedi"|"https://www.zomato.com/amravati/sandwich-center-maltekedi/info"|"3"|"Café"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Spice Kitchen"|"200"|"North Indian"|"Amravati"|"Maltekedi"|"https://www.zomato.com/amravati/spice-kitchen-maltekedi/info"|"3"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"New Sanman"|"250"|"North Indian"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/new-sanman-ambapeth/info"|"3"|"Casual Dining"|"11am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Delhi Paratha House"|"200"|"North Indian"|"Amravati"|"Sharda Vihar"|"https://www.zomato.com/amravati/delhi-paratha-house-sharda-vihar/info"|"3"|"Quick Bites"|"(Mon-Sun)"|"Good"|"3.6"|"4"
"Shivshakti Icecream and Juice"|"100"|"Juices,Ice Cream"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/shivshakti-icecream-and-juice-ambapeth/info"|"3"|"Beverage Shop"|"(Mon-Sun)"|"Good"|"3.5"|"4"
"Food On Call Restaurant and Home Delivery"|"200"|"South Indian,North Indian,Indian,Fast Food,Chinese"|"Amravati"|"Sharda Vihar"|"https://www.zomato.com/amravati/food-on-call-restaurant-and-home-delivery-sharda-vihar/info"|"3"|"Casual Dining"|"11am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Mini Punjab"|"500"|"Indian,Maharashtrian"|"Amravati"|"Maltekedi"|"https://www.zomato.com/amravati/the-mini-punjab-maltekedi/info"|"3"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"4"
"uncle pan center"|"150"|"Indian"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/uncle-pan-center-ambapeth/info"|"3"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Chaat Trail"|"150"|"Maharashtrian,Street Food"|"Amravati"|"Sai Nagar"|"https://www.zomato.com/amravati/chaat-trail-sai-nagar/info"|"3"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Beyond Temptation"|"200"|"Fast Food,Beverages"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/beyond-temptation-ambapeth/info"|"3"|"Quick Bites"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Devmata Refreshment"|"100"|"Indian,Fast Food"|"Amravati"|"Siddhivinayak Nagar"|"https://www.zomato.com/amravati/devmata-refreshment-siddhivinayak-nagar/info"|"3"|"Casual Dining"|"11am to 730pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Anil Sawaji Restaurant"|"200"|"North Indian"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/anil-sawaji-restaurant-ambapeth/info"|"3"|"Quick Bites"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"New Kanhaiya Pure Veg Family Restaurant"|"150"|"North Indian"|"Amravati"|"Ambapeth"|"https://www.zomato.com/amravati/new-kanhaiya-pure-veg-family-restaurant-ambapeth/info"|"3"|"none"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Nescafe"|"300"|"Bakery,Cafe,Chinese,Coffee,Fast Food,Healthy Food,Indian,Pizza"|"Amravati"|"Maltekedi"|"https://www.zomato.com/amravati/nescafe-maltekedi/info"|"3"|"Café"|"6am to 9pm,11pm to 1130pm,10pm to 1030pm..."|"Average"|"3.4"|"5"
