"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Chinese Room"|"1500"|"Chinese"|"Amritsar"|"White Avenue"|"https://www.zomato.com/amritsar/the-chinese-room-1-white-avenue/info"|"36"|"Fine Dining"|"1230pm to 245pm,530pm to 1145pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lucknowi Biryani"|"400"|"Biryani"|"Amritsar"|"Mohan Nagar"|"https://www.zomato.com/amritsar/lucknowi-biryani-mohan-nagar/info"|"36"|"none"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Grand Trunk"|"1200"|"North Indian,Asian,European"|"Amritsar"|"White Avenue"|"https://www.zomato.com/amritsar/grand-trunk-3-white-avenue/info"|"36"|"Fine Dining"|"24"|"Not rated"|"-"|"-"
"Indian Paratha Company"|"600"|"Cuisine Varies"|"Amritsar"|"Town Hall"|"https://www.zomato.com/amritsar/indian-paratha-company-town-hall/info"|"36"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Streets Cafe"|"300"|"Cafe"|"Amritsar"|"Town Hall"|"https://www.zomato.com/amritsar/the-streets-cafe-town-hall/info"|"36"|"Café"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Border Grill"|"300"|"North Indian,Chinese"|"Amritsar"|"Town Hall"|"https://www.zomato.com/amritsar/border-grill-town-hall/info"|"36"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Foodie MOM"|"200"|"North Indian"|"Amritsar"|"Lawrence Road"|"https://www.zomato.com/amritsar/foodie-mom-lawrence-road/info"|"36"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Eat & Treat"|"300"|"North Indian"|"Amritsar"|"Ranjit Avenue"|"https://www.zomato.com/amritsar/eat-treat-ranjit-avenue/info"|"36"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sallow Royal Suites"|"400"|"North Indian,Chinese"|"Amritsar"|"GT Road"|"https://www.zomato.com/amritsar/sallow-royal-suites-gt-road/info"|"36"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Sibling Cuisines"|"300"|"North Indian"|"Amritsar"|"GT Road"|"https://www.zomato.com/amritsar/sibling-cuisines-gt-road/info"|"36"|"none"|"6pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Happy Food Corner"|"0"|"Chinese"|"Amritsar"|"Basant Nagar"|"https://www.zomato.com/amritsar/happy-food-corner-basant-nagar/info"|"36"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Sunny Meat Shop"|"0"|"North Indian,Mughlai"|"Amritsar"|"Basant Nagar"|"https://www.zomato.com/amritsar/sunny-meat-shop-basant-nagar/info"|"36"|"Quick Bites"|"4pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
