"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Kohinoor Dum Biryani & Kabab"|"300"|"Biryani,Kebab"|"Aurangabad"|"Harsul"|"https://www.zomato.com/aurangabad/kohinoor-dum-biryani-kabab-harsul/info"|"49"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mezbaan Family Garden Restaurant"|"300"|"North Indian"|"Aurangabad"|"Waluj"|"https://www.zomato.com/aurangabad/mezbaan-family-garden-restaurant-waluj/info"|"49"|"Quick Bites"|"2pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Rubee Gardan Restaurant"|"250"|"North Indian"|"Aurangabad"|"Usmanpura"|"https://www.zomato.com/aurangabad/hotel-rubee-gardan-restaurant-usmanpura/info"|"49"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Red Stone"|"250"|"Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/hotel-red-stone-cidco/info"|"49"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri Sai Tasty - Baba VadaPav"|"200"|"Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/shri-sai-tasty-baba-vadapav-cidco/info"|"49"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ansh Dhaba Cafe"|"200"|"Fast Food"|"Aurangabad"|"Harsul"|"https://www.zomato.com/aurangabad/ansh-dhaba-cafe-harsul/info"|"49"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Anjali Veg Restaurant"|"200"|"North Indian"|"Aurangabad"|"Chikalthana"|"https://www.zomato.com/aurangabad/anjali-veg-restaurant-chikalthana/info"|"49"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Dhaba Junction"|"450"|"North Indian,Chinese,Fast Food"|"Aurangabad"|"Mukundwadi"|"https://www.zomato.com/aurangabad/dhaba-junction-mukundwadi/info"|"49"|"Dhaba"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Common Man Restaurant,"|"500"|"Chinese,North Indian,South Indian"|"Aurangabad"|"Sindhi Colony"|"https://www.zomato.com/aurangabad/the-common-man-restaurant-sindhi-colony/info"|"49"|"Quick Bites"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ajanta Restaurant"|"800"|"North Indian,Chinese"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/ajanta-restaurant-cidco/info"|"49"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sai Restaurant Bar & Lodging"|"600"|"North Indian,Chinese"|"Aurangabad"|"Waluj"|"https://www.zomato.com/aurangabad/sai-restaurant-bar-lodging-waluj/info"|"49"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mayur Mewad"|"400"|"North Indian"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/mayur-mewad-cidco/info"|"49"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Himalaya"|"600"|"North Indian,Chinese"|"Aurangabad"|"Gadia Vihar"|"https://www.zomato.com/aurangabad/hotel-himalaya-gadia-vihar/info"|"49"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Not rated"|"-"|"-"
"Sai Surya Restro"|"500"|"Indian"|"Aurangabad"|"Usmanpura"|"https://www.zomato.com/aurangabad/sai-surya-restro-usmanpura/info"|"49"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Yaba Pan Shop"|"100"|"Paan"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/yaba-pan-shop-cidco/info"|"49"|"Paan Shop"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
