"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"New Hyderabadi Food Corner"|"500"|"Hyderabadi"|"Bengaluru"|"BTM"|"https://www.zomato.com/bangalore/new-hyderabadi-food-corner-btm-bangalore/info"|"189"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"13"
"Kuttanadu Family Restaurant"|"600"|"Seafood,South Indian"|"Bengaluru"|"Jalahalli"|"https://www.zomato.com/bangalore/kuttanadu-family-restaurant-jalahalli-bangalore/info"|"189"|"Casual Dining"|"730am to 1130pm(Mon-Sun)"|"Good"|"3.6"|"19"
"Mockaholic Restro Beer Cafe"|"1000"|"North Indian,Chinese,Pizza,BBQ"|"Bengaluru"|"JP Nagar"|"https://www.zomato.com/bangalore/mockaholic-restro-beer-cafe-jp-nagar/info"|"189"|"Bar"|"11am to 1030pm(Mon-Sun)"|"Good"|"3.8"|"932"
"Based On A True Story- Bistro"|"800"|"Cafe,Burger,Italian,Desserts"|"Bengaluru"|"Kammanahalli"|"https://www.zomato.com/bangalore/based-on-a-true-story-bistro-kammanahalli-bangalore/info"|"189"|"Café"|"Closed(Mon),11am to 10pm(Tue-Sun)"|"Very Good"|"4.3"|"512"
"Punjabi Charchay"|"400"|"North Indian,Chinese"|"Bengaluru"|"KR Puram"|"https://www.zomato.com/bangalore/punjabi-charchay-kr-puram/info"|"189"|"Quick Bites"|"11am to 330pm,630pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"33"
"Talk Over Table"|"500"|"Cafe"|"Bengaluru"|"Jeevan Bhima Nagar"|"https://www.zomato.com/bangalore/talk-over-table-jeevan-bhima-nagar/info"|"189"|"Café"|"10am to 11pm(Mon-Sun)"|"Good"|"3.9"|"293"
"Nandini Andhra Style Mess"|"350"|"North Indian,Chinese,South Indian"|"Bengaluru"|"Old Airport Road"|"https://www.zomato.com/bangalore/nandini-andhra-style-mess-airport-road/info"|"189"|"Quick Bites"|"11am to 4pm,7pm to 11pm(Mon-Sun)"|"Good"|"3.5"|"30"
"B2D Indori Dhaba"|"100"|"North Indian"|"Bengaluru"|"BTM"|"https://www.zomato.com/bangalore/b2d-indori-dhaba-btm-bangalore/info"|"189"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Average"|"3.4"|"7"
"Food Star"|"500"|"North Indian,Chinese"|"Bengaluru"|"Kammanahalli"|"https://www.zomato.com/bangalore/food-star-1-kammanahalli/info"|"189"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"6"
"Carnival Cakes & Breads"|"200"|"Bakery,Fast Food"|"Bengaluru"|"Bellandur"|"https://www.zomato.com/bangalore/carnival-cakes-breads-bellandur-bangalore/info"|"189"|"Dessert Parlor"|"10am to 9pm(Mon-Fri),9am to 9pm(Sat-Sun)"|"Good"|"3.7"|"25"
"Salt N Pepper"|"500"|"North Indian,Chinese"|"Bengaluru"|"Electronic City"|"https://www.zomato.com/bangalore/salt-n-pepper-electronic-city/info"|"189"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"79"
"Patisserie Nitash"|"500"|"Bakery"|"Bengaluru"|"Frazer Town"|"https://www.zomato.com/bangalore/patisserie-nitash-frazer-town/info"|"189"|"Bakery"|"9am to 430pm(Mon-Sat),Closed(Sun)"|"Very Good"|"4.2"|"146"
"Amma's Pastries"|"400"|"Bakery,Desserts"|"Bengaluru"|"Nagawara"|"https://www.zomato.com/bangalore/ammas-pastries-nagawara-bangalore/info"|"189"|"Bakery"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Plucky's"|"400"|"Fast Food"|"Bengaluru"|"Hebbal"|"https://www.zomato.com/bangalore/pluckys-hebbal-bangalore/info"|"189"|"Quick Bites"|"1030am to 1130pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"90's"|"200"|"North Indian"|"Bengaluru"|"HSR"|"https://www.zomato.com/bangalore/90s-1-hsr-bangalore/info"|"189"|"Quick Bites"|"8am to 1pm,430pm to 930pm(Mon-Sun)"|"Good"|"3.6"|"17"
