"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Bhojpur Club"|"400"|"North Indian"|"Bhopal"|"Arera Colony"|"https://www.zomato.com/bhopal/bhojpur-club-arera-colony/info"|"61"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"15"
"The Young Mugs Cafe"|"250"|"Cafe"|"Bhopal"|"TT Nagar"|"https://www.zomato.com/bhopal/the-young-mugs-cafe-tt-nagar/info"|"61"|"Café"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"13"
"Aqua Multi Cuisine Restaurant"|"500"|"North Indian,Chinese"|"Bhopal"|"Maharana Pratap Nagar"|"https://www.zomato.com/bhopal/aqua-multi-cuisine-restaurant-maharana-pratap-nagar/info"|"61"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"14"
"Sai Kripa Sweets And Bakery"|"350"|"Mithai,Bakery,Desserts"|"Bhopal"|"Jhangirabad"|"https://www.zomato.com/bhopal/sai-kripa-sweets-and-bakery-jhangirabad/info"|"61"|"Sweet Shop"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"19"
"Milan Bakery"|"300"|"Bakery"|"Bhopal"|"Kohefiza"|"https://www.zomato.com/bhopal/milan-bakery-kohefiza/info"|"61"|"Bakery"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"9"
"The Green Room Restro & Cafe"|"500"|"Fast Food"|"Bhopal"|"Maharana Pratap Nagar"|"https://www.zomato.com/bhopal/the-green-room-restro-cafe-maharana-pratap-nagar/info"|"61"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"9"
"Ashish Ice Cream Parlor"|"200"|"Ice Cream"|"Bhopal"|"Peer Gate Area"|"https://www.zomato.com/bhopal/ashish-ice-cream-parlor-peer-gate-area/info"|"61"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"7"
"Jhonson and George Barbeque"|"200"|"North Indian,Biryani"|"Bhopal"|"BHEL"|"https://www.zomato.com/bhopal/jhonson-and-george-barbeque-bhel/info"|"61"|"Quick Bites"|"4pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Affan Hotel"|"250"|"North Indian"|"Bhopal"|"Peer Gate Area"|"https://www.zomato.com/bhopal/affan-hotel-peer-gate-area/info"|"61"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Food Paradise"|"200"|"South Indian,Chinese,Fast Food"|"Bhopal"|"Gulmohar Colony"|"https://www.zomato.com/bhopal/food-paradise-gulmohar-colony/info"|"61"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"12"
"Jaiswal Tiffin Services"|"250"|"North Indian"|"Bhopal"|"Maharana Pratap Nagar"|"https://www.zomato.com/bhopal/jaiswal-tiffin-services-maharana-pratap-nagar/info"|"61"|"Quick Bites"|"8am to 3am(Mon-Sun)"|"Not rated"|"-"|"-"
"The Kanha Castle"|"1200"|"Chinese,Continental,North Indian"|"Bhopal"|"Maharana Pratap Nagar"|"https://www.zomato.com/bhopal/the-kanha-castle-maharana-pratap-nagar/info"|"61"|"Casual Dining"|"830am to 11pm(Mon-Sun)"|"Average"|"3.4"|"15"
"Shivam Cake Parlour"|"300"|"Bakery"|"Bhopal"|"Peer Gate Area"|"https://www.zomato.com/bhopal/shivam-cake-parlour-peer-gate-area/info"|"61"|"Bakery"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"17"
"Loli Mumbai Vada Pav"|"150"|"Fast Food"|"Bhopal"|"Arera Colony"|"https://www.zomato.com/bhopal/loli-mumbai-vada-pav-1-arera-colony/info"|"61"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.2"|"8"
"AM Chicken Corner"|"400"|"North Indian,Kebab"|"Bhopal"|"Maharana Pratap Nagar"|"https://www.zomato.com/bhopal/am-chicken-corner-maharana-pratap-nagar/info"|"61"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"17"
