"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Jay Durga Fast food"|"200"|"North Indian"|"Bhubaneswar"|"Sahid Nagar"|"https://www.zomato.com/bhubaneswar/jay-durga-fast-food-sahid-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"17"
"Sip N Bite - Hotel Miland Palace"|"1000"|"North Indian,Chinese"|"Bhubaneswar"|"Lakshmi Sagar"|"https://www.zomato.com/bhubaneswar/sip-n-bite-hotel-miland-palace-lakshmi-sagar-bhubaneshwar/info"|"63"|"Casual Dining"|"730am to 10am,7pm to 1130pm,12noon to 3pm..."|"Average"|"3.3"|"15"
"Max N More"|"200"|"Fast Food"|"Bhubaneswar"|"Patia"|"https://www.zomato.com/bhubaneswar/max-n-more-patia-bhubaneshwar/info"|"63"|"Quick Bites"|"24"|"Not rated"|"-"|"-"
"Khandagiri Restaurant"|"550"|"North Indian,Chinese"|"Bhubaneswar"|"Khandagiri"|"https://www.zomato.com/bhubaneswar/khandagiri-restaurant-khandagiri-bhubaneshwar/info"|"63"|"Quick Bites"|"10am to 4pm,7pm to 11pm(Mon-Sun)"|"Average"|"2.7"|"14"
"The New Fast Food"|"150"|"North Indian,Chinese"|"Bhubaneswar"|"Kharabela Nagar"|"https://www.zomato.com/bhubaneswar/the-new-fast-food-kharabela-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"11am to 2pm,430pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Eden Roc"|"500"|"North Indian"|"Bhubaneswar"|"Kharabela Nagar"|"https://www.zomato.com/bhubaneswar/hotel-eden-roc-kharabela-nagar-bhubaneshwar/info"|"63"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"6"
"OZY FOODS"|"300"|"South Indian,North Indian,Chinese"|"Bhubaneswar"|"Patia"|"https://www.zomato.com/bhubaneswar/ozy-foods-patia-bhubaneshwar/info"|"63"|"Quick Bites"|"8am to 5pm,7pm to 11pm(Mon-Sun)"|"Average"|"2.8"|"14"
"Food Point"|"200"|"Chinese,North Indian"|"Bhubaneswar"|"BJB Nagar"|"https://www.zomato.com/bhubaneswar/food-point-bjb-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"1130am to 11pm(Mon-Sun)"|"Average"|"3.3"|"17"
"S's Foodiez"|"600"|"North Indian,Chinese"|"Bhubaneswar"|"Patia"|"https://www.zomato.com/bhubaneswar/ss-foodiez-patia-bhubaneshwar/info"|"63"|"Casual Dining"|"11am to 3pm,6pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"14"
"Food Express"|"350"|"North Indian,South Indian,Chinese"|"Bhubaneswar"|"Kharabela Nagar"|"https://www.zomato.com/bhubaneswar/food-express-2-kharabela-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Hotel Durene"|"550"|"Continental,Chinese,Indian"|"Bhubaneswar"|"Lakshmi Sagar"|"https://www.zomato.com/bhubaneswar/hotel-durene-lakshmi-sagar-bhubaneshwar/info"|"63"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"6"
"Maa Tarini Juice"|"100"|"Juices"|"Bhubaneswar"|"Sahid Nagar"|"https://www.zomato.com/bhubaneswar/maa-tarini-juice-sahid-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Red Velvet Kitchen"|"150"|"Fast Food,Chinese,Biryani"|"Bhubaneswar"|"Chandrasekharpur"|"https://www.zomato.com/bhubaneswar/red-velvet-kitchen-chandrasekharpur-bhubaneshwar/info"|"63"|"none"|"1130am to 1130pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Prince Foods"|"300"|"North Indian,Chinese,Biryani"|"Bhubaneswar"|"Kalinga Nagar"|"https://www.zomato.com/bhubaneswar/prince-foods-kalinga-nagar-bhubaneshwar/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"13"
"MMM Family Restaurant"|"600"|"North Indian"|"Bhubaneswar"|"Kharabela Nagar"|"https://www.zomato.com/bhubaneswar/mmm-family-restaurant-kharabela-nagar-bhubaneshwar/info"|"63"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"12"
