"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Daawat-E-Biryani"|"250"|"Biryani"|"Chandigarh"|"Sector 17-- Chandigarh"|"https://www.zomato.com/chandigarh/daawat-e-biryani-sector-17/info"|"137"|"none"|"NA"|"None"|"Opening"|"Opening"
"Indian Chaat House"|"300"|"North Indian,South Indian"|"Chandigarh"|"Dera Bassi"|"https://www.zomato.com/chandigarh/indian-chaat-house-dera-bassi-zirakpur/info"|"137"|"none"|"9am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Quality Sweets"|"100"|"Mithai,Street Food,Bakery,Fast Food"|"Chandigarh"|"IT Park"|"https://www.zomato.com/chandigarh/quality-sweets-it-park/info"|"137"|"Sweet Shop"|"8am to 10pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Hotel  Ek Noor Restaurant"|"900"|"North Indian,Chinese"|"Chandigarh"|"Phase 1-- Mohali"|"https://www.zomato.com/chandigarh/hotel-ek-noor-restaurant-phase-1-mohali/info"|"137"|"Casual Dining"|"730am to 11pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Shivam Confectioners"|"200"|"Fast Food"|"Chandigarh"|"Sector 36-- Chandigarh"|"https://www.zomato.com/chandigarh/shivam-confectioners-sector-36/info"|"137"|"Quick Bites"|"9am to 1030pm(Mon-Sun)"|"Average"|"2.9"|"5"
"Capital Sweets & Caterers"|"300"|"Mithai,North Indian"|"Chandigarh"|"Dera Bassi"|"https://www.zomato.com/chandigarh/capital-sweets-caterers-dera-bassi-zirakpur/info"|"137"|"Sweet Shop"|"630am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bobby Caterers"|"200"|"North Indian"|"Chandigarh"|"Sector 20-- Panchkula"|"https://www.zomato.com/chandigarh/bobby-caterers-sector-20-panchkula/info"|"137"|"none"|"2pm to 10pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Hepliv Cafeteria"|"200"|"North Indian"|"Chandigarh"|"Phase 9-- Mohali"|"https://www.zomato.com/chandigarh/hepliv-cafeteria-phase-9-mohali/info"|"137"|"Quick Bites"|"8am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mamta Vaishno Dhabha"|"300"|"North Indian"|"Chandigarh"|"Kharar Road"|"https://www.zomato.com/chandigarh/mamta-vaishno-dhabha-1-kharar-road-mohali/info"|"137"|"Dhaba"|"730am to 11am,7pm to 10pm(Mon-Sun)"|"Average"|"3.1"|"6"
"Chef's Rubal Punjabi Rasoi"|"200"|"North Indian,Rolls"|"Chandigarh"|"Kharar Road"|"https://www.zomato.com/chandigarh/chefs-rubal-punjabi-rasoi-kharar-road-mohali/info"|"137"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Faqeers"|"200"|"Juices"|"Chandigarh"|"Sector 22-- Chandigarh"|"https://www.zomato.com/chandigarh/the-faqeers-sector-22/info"|"137"|"none"|"NA"|"None"|"Opening"|"Opening"
"Sofiya Chicken Food Corner"|"400"|"North Indian"|"Chandigarh"|"Nayagaon"|"https://www.zomato.com/chandigarh/sofiya-chicken-food-corner-nayagaon-nayagaon/info"|"137"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Amber Sweets"|"400"|"Mithai"|"Chandigarh"|"Chandigarh Road"|"https://www.zomato.com/chandigarh/amber-sweets-chandigarh-road-zirakpur/info"|"137"|"Sweet Shop"|"7am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Streets of Punjab"|"300"|"North Indian,Chinese"|"Chandigarh"|"Sector 70-- Mohali"|"https://www.zomato.com/chandigarh/streets-of-punjab-sector-70-mohali/info"|"137"|"none"|"11am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Madras Cart"|"200"|"South Indian"|"Chandigarh"|"Dera Bassi"|"https://www.zomato.com/chandigarh/madras-cart-dera-bassi-zirakpur/info"|"137"|"Kiosk"|"3pm to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
