"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Pannaiyar Biriyani"|"400"|"Biryani"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/pannaiyar-biriyani-peelamedu/info"|"6"|"none"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"142"
"Rock Stone Ice Cream Factory"|"200"|"Desserts,Ice Cream"|"Coimbatore"|"Saibaba Colony"|"https://www.zomato.com/coimbatore/rock-stone-ice-cream-factory-saibaba-colony/info"|"6"|"Dessert Parlor"|"11am to 1130pm(Mon-Sun)"|"Very Good"|"4.0"|"157"
"Dood's Burger"|"200"|"Fast Food"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/doods-burger-peelamedu/info"|"6"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"125"
"Meat And Eat"|"300"|"Fast Food"|"Coimbatore"|"Saravanampatty"|"https://www.zomato.com/coimbatore/meat-and-eat-saravanampatty/info"|"6"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"151"
"Ambur Star Briyani"|"300"|"Biryani,Chinese,North Indian"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/ambur-star-briyani-peelamedu/info"|"6"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"137"
"Haribhavanam"|"600"|"South Indian,Chettinad,North Indian"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/haribhavanam-peelamedu/info"|"6"|"Casual Dining"|"12noon to 4pm,7pm to 1030pm(Mon-Sun)"|"Very Good"|"4.3"|"685"
"Tandoori Tonight"|"600"|"Chinese,North Indian"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/tandoori-tonight-peelamedu/info"|"6"|"Casual Dining"|"12noon to 4pm,6pm to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"197"
"Haneefa Restaurant"|"500"|"South Indian"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/haneefa-restaurant-peelamedu/info"|"6"|"Casual Dining"|"12noon to 4pm,7pm to 11pm(Mon-Sun)"|"Good"|"3.9"|"95"
"Lunch Box Restaurant"|"500"|"North Indian,South Indian,Chinese,Kebab,Biryani"|"Coimbatore"|"Gandhipuram"|"https://www.zomato.com/coimbatore/lunch-box-restaurant-1-gandhipuram/info"|"6"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"102"
"Sree Annapoorna Sree Gowrishankar"|"400"|"South Indian,North Indian,Chinese"|"Coimbatore"|"RS Puram"|"https://www.zomato.com/coimbatore/sree-annapoorna-sree-gowrishankar-rs-puram/info"|"6"|"Quick Bites"|"6am to 10pm(Mon-Sun)"|"Excellent"|"4.6"|"427"
"Anjappar Chettinad Restaurant"|"600"|"Chettinad,South Indian"|"Coimbatore"|"Gandhipuram"|"https://www.zomato.com/coimbatore/anjappar-chettinad-restaurant-gandhipuram/info"|"6"|"Casual Dining"|"11am to 430pm,6pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"164"
"IMI Biryani House"|"250"|"Biryani"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/imi-biryani-house-peelamedu/info"|"6"|"Quick Bites"|"11am to 1130pm(Mon-Sun)"|"Good"|"3.5"|"136"
"10 Downing Street"|"1800"|"Continental,North Indian,Chinese"|"Coimbatore"|"Kalapatti"|"https://www.zomato.com/coimbatore/10-downing-street-kalapatti/info"|"6"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Very Good"|"4.0"|"133"
"Hotel Penguin"|"500"|"South Indian"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/hotel-penguin-peelamedu/info"|"6"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"118"
"Vaskas Biriyani"|"500"|"Biryani,Mughlai"|"Coimbatore"|"Peelamedu"|"https://www.zomato.com/coimbatore/vaskas-biriyani-peelamedu/info"|"6"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"Good"|"3.8"|"482"
