"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"China Hut"|"300"|"Chinese"|"Dehradun"|"Karanpur"|"https://www.zomato.com/dehradun/china-hut-karanpur/info"|"33"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri Balaji Sweet Shop & Restaurant"|"0"|"South Indian,Fast Food"|"Dehradun"|"Kaonli"|"https://www.zomato.com/dehradun/shri-balaji-sweet-shop-restaurant-kaonli/info"|"33"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Aahaar Restaurant"|"550"|"Chinese"|"Dehradun"|"Race Course"|"https://www.zomato.com/dehradun/aahaar-restaurant-race-course/info"|"33"|"Casual Dining"|"9am to 8pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lhasa Tibet Kitchen"|"500"|"Chinese,Tibetan"|"Dehradun"|"Chironwali"|"https://www.zomato.com/dehradun/lhasa-tibet-kitchen-chironwali/info"|"33"|"Casual Dining"|"9am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Pearl Bakery"|"250"|"Bakery,Desserts"|"Dehradun"|"Race Course"|"https://www.zomato.com/dehradun/pearl-bakery-race-course/info"|"33"|"Bakery"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ave The Great - Family Restaurant"|"400"|"North Indian"|"Dehradun"|"Garhi Cantt"|"https://www.zomato.com/dehradun/ave-the-great-family-restaurant-garhi-cantt/info"|"33"|"Quick Bites"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Thikana Cafe & Lounge"|"450"|"Cafe"|"Dehradun"|"Jakhan"|"https://www.zomato.com/dehradun/thikana-cafe-lounge-jakhan/info"|"33"|"Café"|"11am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rodeo Cafe & Restaurant"|"800"|"North Indian,Mughlai,Cafe"|"Dehradun"|"Rajpur"|"https://www.zomato.com/dehradun/rodeo-cafe-restaurant-rajpur/info"|"33"|"Casual Dining"|"730am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sangwan Restaurant"|"500"|"Chinese,North Indian"|"Dehradun"|"Malsi"|"https://www.zomato.com/dehradun/sangwan-restaurant-malsi/info"|"33"|"Quick Bites"|"7am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Doon Kathi Food Hub"|"300"|"North Indian"|"Dehradun"|"Jakhan"|"https://www.zomato.com/dehradun/doon-kathi-food-hub-jakhan/info"|"33"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hunger Tiffin Service"|"200"|"North Indian,Mughlai"|"Dehradun"|"Morowala"|"https://www.zomato.com/dehradun/hunger-tiffin-service-morowala/info"|"33"|"none"|"8am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Giani"|"300"|"Ice Cream,Desserts"|"Dehradun"|"Jakhan"|"https://www.zomato.com/dehradun/giani-1-jakhan/info"|"33"|"Dessert Parlor"|"11am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Papa Rich- Restaurant & Cafe"|"200"|"North Indian"|"Dehradun"|"Prem Nagar"|"https://www.zomato.com/dehradun/papa-rich-restaurant-cafe-prem-nagar/info"|"33"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Anand Restaurant"|"200"|"North Indian,Fast Food"|"Dehradun"|"Indraprastha"|"https://www.zomato.com/dehradun/anand-restaurant-indraprastha/info"|"33"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The MJ Cafe"|"500"|"North Indian,Chinese"|"Dehradun"|"Dharampur"|"https://www.zomato.com/dehradun/the-mj-cafe-dharampur/info"|"33"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
