"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Janta Hotel"|"350"|"North Indian,Chinese"|"Delhi NCR"|"Shalimar Garden"|"https://www.zomato.com/ncr/janta-hotel-1-shalimar-garden-ghaziabad/info"|"1295"|"none"|"1130am to 1130pm(Mon-Sun)"|"Average"|"2.8"|"52"
"Chirag Flavours"|"400"|"North Indian,Chinese,Continental"|"Delhi NCR"|"Greater Kailash 1 (GK1)"|"https://www.zomato.com/ncr/chirag-flavours-greater-kailash-gk-1-new-delhi/info"|"1295"|"Quick Bites"|"11am to 4am(Mon-Sun)"|"Average"|"3.4"|"232"
"Bunny's Bite N Sip"|"400"|"North Indian,Chinese,Fast Food"|"Delhi NCR"|"Najafgarh"|"https://www.zomato.com/ncr/bunnys-bite-n-sip-najafgarh-new-delhi/info"|"1295"|"Quick Bites"|"10am to 11pm(Mon,Tue,Thu,Fri,Sat,Sun),10am..."|"Good"|"3.7"|"530"
"Angels Kitchen"|"500"|"North Indian,Chinese"|"Delhi NCR"|"Shalimar Garden"|"https://www.zomato.com/ncr/angels-kitchen-shalimar-garden-ghaziabad/info"|"1295"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.3"|"14"
"Shree Bikaner Sweets & Restaurants"|"300"|"Mithai,Street Food"|"Delhi NCR"|"Badkal Lake"|"https://www.zomato.com/ncr/shree-bikaner-sweets-restaurants-badkal-lake-faridabad/info"|"1295"|"Sweet Shop"|"8am to 10pm(Mon-Sun)"|"Average"|"3.4"|"59"
"Zaika Food & Cater"|"400"|"Rolls,North Indian,Chinese"|"Delhi NCR"|"Gaur City 1"|"https://www.zomato.com/ncr/zaika-food-cater-gaur-city-1/info"|"1295"|"none"|"11am to 1130pm(Mon-Sun)"|"Average"|"2.9"|"193"
"Kake Da Dhaba"|"400"|"North Indian,Chinese"|"Delhi NCR"|"Laxmi Nagar"|"https://www.zomato.com/ncr/kake-da-dhaba-laxmi-nagar-new-delhi/info"|"1295"|"Quick Bites"|"8am to 4am(Mon-Sun)"|"Average"|"2.9"|"10"
"Tandoor on The Way"|"600"|"North Indian,Chinese"|"Delhi NCR"|"Central Arcade-- DLF Phase 2-- Gurgaon"|"https://www.zomato.com/ncr/tandoor-on-the-way-dlf-phase-2-gurgaon/info"|"1295"|"none"|"12noon to 2am(Mon-Sun)"|"Good"|"3.7"|"109"
"Mr & Mrs Biryani"|"700"|"Lucknowi"|"Delhi NCR"|"East of Kailash"|"https://www.zomato.com/ncr/mr-mrs-biryani-east-of-kailash-new-delhi/info"|"1295"|"none"|"12noon to 330am(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Millionaire Express"|"400"|"Continental,Beverages,Desserts,Sandwich"|"Delhi NCR"|"DLF Phase 4"|"https://www.zomato.com/ncr/the-millionaire-express-dlf-phase-4-gurgaon/info"|"1295"|"none"|"11am to 4am(Mon-Sun)"|"Good"|"3.6"|"286"
"Uncle's Shawarma Cafe"|"800"|"Cafe"|"Delhi NCR"|"Ashok Vihar Phase 2"|"https://www.zomato.com/ncr/uncles-shawarma-cafe-ashok-vihar-phase-2-new-delhi/info"|"1295"|"Café"|"11am to 4am(Mon-Sun)"|"Average"|"2.7"|"35"
"Pizza Factory"|"300"|"Italian"|"Delhi NCR"|"Sector 54-- Gurgaon"|"https://www.zomato.com/ncr/pizza-factory-sector-54-gurgaon/info"|"1295"|"Quick Bites"|"24"|"Good"|"3.6"|"44"
"Indian Zaika"|"450"|"North Indian,Mughlai"|"Delhi NCR"|"Janakpuri"|"https://www.zomato.com/ncr/indian-zaika-janakpuri-new-delhi/info"|"1295"|"none"|"11am to 230am(Mon-Sun)"|"Average"|"3.2"|"43"
"Shahi Muradabadi & Hyderabadi Chicken Biryani"|"400"|"Biryani,North Indian"|"Delhi NCR"|"Vikaspuri"|"https://www.zomato.com/ncr/shahi-muradabadi-hyderabadi-chicken-biryani-vikaspuri-new-delhi/info"|"1295"|"none"|"11am to 4am(Mon-Sun)"|"Average"|"3.4"|"12"
"Sharda Sweets Restaurant"|"500"|"South Indian,Street Food,Mithai"|"Delhi NCR"|"Sector 19-- Dwarka"|"https://www.zomato.com/ncr/sharda-sweets-restaurant-sector-19-dwarka-new-delhi/info"|"1295"|"none"|"24"|"Poor"|"2.4"|"27"
