"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Domino's Pizza"|"400"|"Pizza,Fast Food"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/dominos-pizza-ram-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"74"
"Food Safari"|"200"|"Fast Food,Wraps,Beverages,Kebab"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/food-safari-1-food-truck/info"|"1"|"Food Truck"|"1130am to 630pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Bhagsu Fast Food"|"200"|"Fast Food"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/bhagsu-fast-food-chilgari/info"|"1"|"Quick Bites"|"9am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Sher e Punjab kala Momo Shop"|"300"|"North Indian"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/sher-e-punjab-kala-momo-shop-ram-nagar/info"|"1"|"Quick Bites"|"9am to 12midnight(Mon-Sun)"|"Average"|"3.3"|"22"
"Food Plaza Restaurant"|"500"|"North Indian,Chinese,South Indian"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/food-plaza-restaurant-chilgari/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Melted Cheese Cafe"|"300"|"Continental,Italian"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/melted-cheese-cafe-chilgari/info"|"1"|"Quick Bites"|"10am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Surya Punjabi Vaishno Dhaba"|"200"|"North Indian"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/surya-punjabi-vaishno-dhaba-ram-nagar/info"|"1"|"Bhojanalya"|"8am to 11pm(Mon-Sun)"|"Average"|"3.3"|"7"
"Buttercup Restaurant & Bar"|"800"|"Chinese,Continental,North Indian,Tibetan"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/buttercup-restaurant-bar-chilgari/info"|"1"|"Casual Dining"|"9am to 12midnight(Mon-Sun)"|"Average"|"3.2"|"9"
"Vinod Chat Bhandar"|"300"|"Chinese,North Indian,South Indian"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/vinod-chat-bhandar-1-ram-nagar/info"|"1"|"Quick Bites"|"6am to 10pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Dum Handi"|"200"|"North Indian"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/dum-handi-ram-nagar/info"|"1"|"none"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"My Kitchen Bhutanese Restaurant"|"350"|"North Eastern,Fast Food"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/my-kitchen-bhutanese-restaurant-1-chilgari/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Krazy Hunger"|"300"|"Fast Food"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/krazy-hunger-ram-nagar/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Moti Mahal Delux"|"300"|"North Indian"|"Dharamshala"|"Ram Nagar"|"https://www.zomato.com/dharamshala/moti-mahal-delux-ram-nagar/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Mountain Pick"|"500"|"North Indian,Pizza,Sandwich,Chinese,Beverages"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/mountain-pick-chilgari/info"|"1"|"Food Court"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Roast And Fry"|"350"|"North Indian,Chinese,South Indian"|"Dharamshala"|"Chilgari"|"https://www.zomato.com/dharamshala/roast-and-fry-chilgari/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
