"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sunrise Foods"|"400"|"North Indian"|"Goa"|"Panaji"|"https://www.zomato.com/goa/sunrise-foods-1-panaji/info"|"29"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.3"|"7"
"Athena'z"|"300"|"Italian,Fast Food"|"Goa"|"Bambolim"|"https://www.zomato.com/goa/athenaz-bambolim/info"|"29"|"Food Truck"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Manvin's Restaurant"|"800"|"Goan,Seafood,Chinese,Continental,North Indian"|"Goa"|"Panaji"|"https://www.zomato.com/goa/hotel-manvins-restaurant-panaji/info"|"29"|"Casual Dining"|"7am to 11pm(Mon-Sat),Closed(Sun)"|"Average"|"3.1"|"8"
"Why Not Prajyot's"|"650"|"North Indian,Chinese,Seafood,Goan"|"Goa"|"Calangute"|"https://www.zomato.com/goa/why-not-prajyots-calangute/info"|"29"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Average"|"3.1"|"8"
"Cafe Prassan"|"400"|"North Indian"|"Goa"|"Panaji"|"https://www.zomato.com/goa/cafe-prassan-panaji/info"|"29"|"Quick Bites"|"7am to 330pm,7pm to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Nature's Pride"|"1000"|"Seafood,Continental"|"Goa"|"Bogmalo"|"https://www.zomato.com/goa/natures-pride-bogmalo/info"|"29"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Average"|"3.3"|"13"
"Shalimar Deluxe Restaurant"|"800"|"North Indian"|"Goa"|"Panaji"|"https://www.zomato.com/goa/shalimar-deluxe-restaurant-2-panaji/info"|"29"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Average"|"2.9"|"5"
"Hot Spices"|"400"|"North Indian,Chinese,Goan,Seafood"|"Goa"|"Old Goa"|"https://www.zomato.com/goa/hot-spices-old-goa/info"|"29"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Baskin Robbins"|"300"|"Ice Cream,Desserts"|"Goa"|"Old Goa"|"https://www.zomato.com/goa/baskin-robbins-old-goa/info"|"29"|"Dessert Parlor"|"10am to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Big Dosa"|"300"|"South Indian"|"Goa"|"Anjuna"|"https://www.zomato.com/goa/big-dosa-anjuna/info"|"29"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Average"|"3.2"|"10"
"Viggis"|"0"|"Goan,North Indian,Mughlai"|"Goa"|"Mapusa"|"https://www.zomato.com/goa/viggis-mapusa/info"|"29"|"Casual Dining"|"7am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"4"
"The HangOut Siolim"|"400"|"North Indian"|"Goa"|"Siolim"|"https://www.zomato.com/goa/the-hangout-siolim-siolim/info"|"29"|"Casual Dining"|"11am to 11pm(Mon,Tue,Wed,Thu,Fri,Sun),Closed..."|"Average"|"3.2"|"6"
"Punjabi Tadka"|"500"|"Indian,Goan,Seafood"|"Goa"|"Calangute"|"https://www.zomato.com/goa/punjabi-tadka-calangute/info"|"29"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.1"|"6"
"Pit Stop"|"600"|"American,Fast Food"|"Goa"|"Baga"|"https://www.zomato.com/goa/pit-stop-1-baga/info"|"29"|"Casual Dining"|"(Mon-Sun)"|"Average"|"2.9"|"6"
"Foodella Restaurant"|"700"|"North Indian,Fast Food,Goan"|"Goa"|"Margao"|"https://www.zomato.com/goa/foodella-restaurant-margao/info"|"29"|"Bar"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
