"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"yo yo biryani"|"200"|"North Indian,Biryani"|"Gorakhpur"|"Hussain Nagar"|"https://www.zomato.com/gorakhpur/yo-yo-biryani-hussain-nagar/info"|"11"|"Casual Dining"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"G Chowdhary Sweet House"|"200"|"Mithai"|"Gorakhpur"|"Golghar"|"https://www.zomato.com/gorakhpur/g-chowdhary-sweet-house-golghar/info"|"11"|"Sweet Shop"|"9am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Good Bakers"|"100"|"Bakery"|"Gorakhpur"|"Shahpur"|"https://www.zomato.com/gorakhpur/good-bakers-shahpur/info"|"11"|"Bakery"|"12noon to 8pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Krishna Palace"|"250"|"Continental"|"Gorakhpur"|"Azad Nagar"|"https://www.zomato.com/gorakhpur/hotel-krishna-palace-azad-nagar/info"|"11"|"Quick Bites"|"12noon to 1015pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Guru Ji Sweets & Bakers"|"100"|"Bakery,Mithai"|"Gorakhpur"|"Ilahi Bagh"|"https://www.zomato.com/gorakhpur/guru-ji-sweets-bakers-ilahi-bagh/info"|"11"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shree Dhosa Corner"|"100"|"South Indian"|"Gorakhpur"|"Azad Nagar"|"https://www.zomato.com/gorakhpur/shree-dhosa-corner-azad-nagar/info"|"11"|"Quick Bites"|"1130am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bhola Mutton Shop"|"100"|"Fast Food"|"Gorakhpur"|"Betiahata"|"https://www.zomato.com/gorakhpur/bhola-mutton-shop-betiahata/info"|"11"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"S.K Brown"|"300"|"Chinese,North Indian"|"Gorakhpur"|"Golghar"|"https://www.zomato.com/gorakhpur/s-k-brown-golghar/info"|"11"|"Quick Bites"|"11am to 915pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Olive Cafe"|"600"|"Burger,Fast Food,Beverages"|"Gorakhpur"|"Rajendra Nagar"|"https://www.zomato.com/gorakhpur/olive-cafe-rajendra-nagar/info"|"11"|"Café"|"11am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"New Pizza Delight"|"200"|"Italian,Burger,Beverages"|"Gorakhpur"|"Mirzapur Pachpedwa"|"https://www.zomato.com/gorakhpur/new-pizza-delight-mirzapur-pachpedwa/info"|"11"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Azad Fruit Juice Corner"|"50"|"Juices,Beverages"|"Gorakhpur"|"Betiahata"|"https://www.zomato.com/gorakhpur/azad-fruit-juice-corner-betiahata/info"|"11"|"Beverage Shop"|"12noon to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mr. Flavour"|"200"|"Fast Food"|"Gorakhpur"|"Azad Nagar"|"https://www.zomato.com/gorakhpur/mr-flavour-azad-nagar/info"|"11"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Danaram"|"0"|"North Indian"|"Gorakhpur"|"Golghar"|"https://www.zomato.com/gorakhpur/danaram-golghar/info"|"11"|"Casual Dining"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Aditi Tiffin Center"|"100"|"North Indian"|"Gorakhpur"|"Miyan Baza"|"https://www.zomato.com/gorakhpur/aditi-tiffin-center-miyan-baza/info"|"11"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bindass Hotel"|"100"|"North Indian"|"Gorakhpur"|"Golghar"|"https://www.zomato.com/gorakhpur/bindass-hotel-golghar/info"|"11"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
