"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hotel Kartikeya Grande"|"800"|"South Indian,North Indian,Chinese"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/hotel-kartikeya-grande-brodipet/info"|"6"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"87"
"The Shawarma Co"|"150"|"Fast Food,Rolls"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/the-shawarma-co-1-brodipet/info"|"6"|"Quick Bites"|"430pm to 10pm(Mon-Sun)"|"Good"|"3.5"|"33"
"Dwarka Fruit Juice"|"200"|"Juices,Beverages"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/dwarka-fruit-juice-brodipet/info"|"6"|"Beverage Shop"|"10am to 10pm(Mon-Sun)"|"Good"|"3.6"|"28"
"Chill Stone"|"550"|"Chinese,Fast Food,North Indian,Desserts"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/chill-stone-brodipet/info"|"6"|"Casual Dining"|"1030am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"82"
"Thalis Multi Cuisine Family Restaurant"|"400"|"North Indian,South Indian"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/thalis-multi-cuisine-family-restaurant-brodipet/info"|"6"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.6"|"49"
"Drunken Monkey"|"400"|"Juices,Healthy Food"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/drunken-monkey-brodipet/info"|"6"|"Beverage Shop"|"930am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"55"
"Zaitoon Juice Center"|"150"|"Juices"|"Guntur"|"Old Guntur"|"https://www.zomato.com/guntur/zaitoon-juice-center-old-guntur/info"|"6"|"Cocktail Bar"|"(Mon-Sun)"|"Average"|"3.4"|"20"
"Kona Students  Mess"|"150"|"Andhra"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/kona-students-mess-brodipet/info"|"6"|"Mess"|"930am to 930pm(Mon-Sun)"|"Good"|"3.5"|"30"
"Siri Sweet World"|"300"|"Mithai"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/siri-sweet-world-brodipet/info"|"6"|"Sweet Shop"|"9am to 10pm(Mon-Sun)"|"Average"|"3.3"|"38"
"Sree Manasa Vegetarian Restaurant"|"300"|"North Indian"|"Guntur"|"Srinivasarao Pet"|"https://www.zomato.com/guntur/sree-manasa-vegetarian-restaurant-srinivasarao-pet/info"|"6"|"Casual Dining"|"12noon to 4pm,7pm to 9pm(Mon-Sun)"|"Average"|"3.3"|"15"
"Sri Lakshmi Juice N Spicee"|"350"|"Juices,Chinese"|"Guntur"|"Old Guntur"|"https://www.zomato.com/guntur/sri-lakshmi-juice-n-spicee-old-guntur/info"|"6"|"Quick Bites"|"1130am to 10pm(Mon-Sun)"|"Average"|"3.2"|"25"
"Delhi Durbar"|"200"|"Lebanese"|"Guntur"|"Old Guntur"|"https://www.zomato.com/guntur/delhi-durbar-old-guntur/info"|"6"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.3"|"16"
"Sai Brundavan Tiffins"|"200"|"Fast Food,North Indian"|"Guntur"|"Brodipet"|"https://www.zomato.com/guntur/sai-brundavan-tiffins-brodipet/info"|"6"|"none"|"11am to 10pm(Mon-Sun)"|"Average"|"3.4"|"4"
"Siva Tiffins And Fast Foods"|"150"|"North Indian,South Indian"|"Guntur"|"Srinivasa Nagar Colony"|"https://www.zomato.com/guntur/siva-tiffins-and-fast-foods-srinivasa-nagar-colony/info"|"6"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Good"|"3.6"|"6"
"Cream & Fudge"|"250"|"Desserts,Ice Cream"|"Guntur"|"Srinivasa Nagar Colony"|"https://www.zomato.com/guntur/cream-fudge-srinivasa-nagar-colony/info"|"6"|"Dessert Parlor"|"10am to 11pm(Mon-Sun)"|"Good"|"3.5"|"61"
