"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Manikanta Food Court"|"300"|"North Indian,South Indian"|"Guwahati"|"Amingaon"|"https://www.zomato.com/guwahati/manikanta-food-court-amingaon/info"|"40"|"Food Court"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"11"
"JPS Dining"|"400"|"North Indian,Chinese"|"Guwahati"|"Hatigaon"|"https://www.zomato.com/guwahati/jps-dining-hatigaon/info"|"40"|"Quick Bites"|"12noon to 1130pm(Mon-Sun)"|"Average"|"3.4"|"9"
"16 Hillside Takeaway"|"150"|"North Indian"|"Guwahati"|"Uzan Bazaar"|"https://www.zomato.com/guwahati/16-hillside-takeaway-uzan-bazaar/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"15"
"Farzipaan"|"150"|"Beverages,Desserts"|"Guwahati"|"Christian Basti"|"https://www.zomato.com/guwahati/farzipaan-1-christian-basti/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"22"
"Hungry Jack's"|"300"|"Fast Food"|"Guwahati"|"Dispur"|"https://www.zomato.com/guwahati/hungry-jacks-dispur/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"10"
"Unique Foods"|"200"|"North Indian,Fast Food"|"Guwahati"|"Zoo Tiniali"|"https://www.zomato.com/guwahati/unique-foods-zoo-tiniali/info"|"40"|"none"|"11am to 12midnight(Mon-Sun)"|"Average"|"3.1"|"8"
"Alaiz Food Planet"|"400"|"Chinese,Fast Food"|"Guwahati"|"Hatigaon"|"https://www.zomato.com/guwahati/alaiz-food-planet-hatigaon/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"14"
"Towkak Grille - Steak , Seafood & Bar"|"500"|"Chinese,Seafood,Continental"|"Guwahati"|"Christian Basti"|"https://www.zomato.com/guwahati/towkak-grille-steak-seafood-bar-christian-basti/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"21"
"KOKORIKO"|"300"|"North Indian,Chinese"|"Guwahati"|"Six Mile"|"https://www.zomato.com/guwahati/kokoriko-six-mile/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Pizza Hut"|"0"|"Italian,Pizza"|"Guwahati"|"Christian Basti"|"https://www.zomato.com/guwahati/pizza-hut-1-christian-basti/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"26"
"Farzi Paan"|"400"|"Paan"|"Guwahati"|"Zoo Tiniali"|"https://www.zomato.com/guwahati/farzi-paan-zoo-tiniali/info"|"40"|"Paan Shop"|"11am to 12midnight(Mon-Sun)"|"Average"|"3.4"|"15"
"PJ's Food"|"350"|"Chinese,Fast Food"|"Guwahati"|"Silpukhuri"|"https://www.zomato.com/guwahati/pjs-food-silpukhuri/info"|"40"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.4"|"15"
"Porky Punch"|"300"|"Assamese"|"Guwahati"|"Hatigaon"|"https://www.zomato.com/guwahati/porky-punch-hatigaon/info"|"40"|"none"|"10am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Box Office Feast"|"1000"|"South Indian,North Indian,Chinese,Momos"|"Guwahati"|"Chandmari"|"https://www.zomato.com/guwahati/box-office-feast-chandmari/info"|"40"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Good"|"3.6"|"15"
"Oink"|"800"|"Rolls"|"Guwahati"|"Chandmari"|"https://www.zomato.com/guwahati/oink-chandmari/info"|"40"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.4"|"12"
