"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Pizza Hub"|"300"|"Pizza"|"Gwalior"|"Deen Dayal Nagar"|"https://www.zomato.com/gwalior/pizza-hub-deen-dayal-nagar/info"|"8"|"Quick Bites"|"1pm to 9pm(Mon-Sun)"|"Good"|"3.5"|"25"
"Rakesh Juice and Snacks Parlour"|"200"|"Street Food,Beverages"|"Gwalior"|"Shinde Ki Chhawani"|"https://www.zomato.com/gwalior/rakesh-juice-and-snacks-parlour-shinde-ki-chhawani/info"|"8"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Good"|"3.6"|"54"
"Yummiee Tummiee"|"200"|"Fast Food"|"Gwalior"|"Lashkar"|"https://www.zomato.com/gwalior/yummiee-tummiee-lashkar/info"|"8"|"Quick Bites"|"5pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"64"
"Paarivar Cafeteria & Bakery"|"250"|"Fast Food,Pizza,Burger,Italian,Sandwich"|"Gwalior"|"Naya Bazaar"|"https://www.zomato.com/gwalior/paarivar-cafeteria-bakery-naya-bazaar/info"|"8"|"Quick Bites"|"12noon to 1120pm(Mon),12noon to 10pm..."|"Good"|"3.9"|"67"
"Red Chilli Chinese Korner"|"150"|"Chinese"|"Gwalior"|"Thatipur"|"https://www.zomato.com/gwalior/red-chilli-chinese-korner-1-thatipur/info"|"8"|"none"|"330pm to 10pm(Mon-Sun)"|"Good"|"3.8"|"55"
"Punjabi Dhaba"|"250"|"North Indian,Chinese,Street Food"|"Gwalior"|"Lashkar"|"https://www.zomato.com/gwalior/punjabi-dhaba-lashkar/info"|"8"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"54"
"Shivam Pav Bhaji And Pulav Centre"|"150"|"South Indian"|"Gwalior"|"Lashkar"|"https://www.zomato.com/gwalior/shivam-pav-bhaji-and-pulav-centre-lashkar/info"|"8"|"Quick Bites"|"230pm to 1130pm(Mon-Sun)"|"Good"|"3.7"|"48"
"On The Way Outlet"|"250"|"Indian"|"Gwalior"|"Thatipur"|"https://www.zomato.com/gwalior/on-the-way-outlet-thatipur/info"|"8"|"Quick Bites"|"1pm to 10pm(Mon-Sun)"|"Average"|"3.3"|"17"
"Satvik Restaurant"|"600"|"South Indian,North Indian,Continental,Chinese"|"Gwalior"|"Shinde Ki Chhawani"|"https://www.zomato.com/gwalior/satvik-restaurant-shinde-ki-chhawani/info"|"8"|"Casual Dining"|"9am to 11pm(Mon-Sun)"|"Good"|"3.6"|"102"
"Hakeem's Restaurant"|"800"|"North Indian,Chinese"|"Gwalior"|"City Center"|"https://www.zomato.com/gwalior/hakeems-restaurant-city-center/info"|"8"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"92"
"Food Mafia"|"500"|"North Indian,Fast Food"|"Gwalior"|"Madhav Ganj"|"https://www.zomato.com/gwalior/food-mafia-madhav-ganj/info"|"8"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Good"|"3.6"|"40"
"Original-The Road Chef's- Chinese Fast Food and Chat..."|"100"|"Chinese,Street Food"|"Gwalior"|"Naya Bazaar"|"https://www.zomato.com/gwalior/original-the-road-chefs-chinese-fast-food-and-chat-corner-naya-bazaar/info"|"8"|"none"|"4pm to 10pm(Mon-Sun)"|"Average"|"3.3"|"36"
"Secret Recipes"|"300"|"Fast Food"|"Gwalior"|"Morar"|"https://www.zomato.com/gwalior/secret-recipes-morar/info"|"8"|"Quick Bites"|"4pm to 10pm(Mon-Sun)"|"Good"|"3.9"|"42"
"Double Hathras Sweets"|"200"|"Street Food,South Indian,Chinese"|"Gwalior"|"Thatipur"|"https://www.zomato.com/gwalior/double-hathras-sweets-thatipur/info"|"8"|"Quick Bites"|"9am to 930pm(Mon-Sun)"|"Good"|"3.6"|"36"
"Crisp Corner"|"200"|"Fast Food"|"Gwalior"|"Prasad Nagar"|"https://www.zomato.com/gwalior/crisp-corner-prasad-nagar/info"|"8"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.7"|"106"
