"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Caffix"|"300"|"North Indian,Chinese"|"Haridwar"|"Kankhal"|"https://www.zomato.com/haridwar/caffix-kankhal/info"|"9"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Mom's kitchen"|"200"|"North Indian"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/moms-kitchen-bhel-township/info"|"9"|"Quick Bites"|"730am to 930pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Oven Fresh Sweets & Snacks"|"250"|"North Indian,South Indian,Street Food"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/oven-fresh-sweets-snacks-bhel-township/info"|"9"|"Quick Bites"|"7am to 1045pm(Mon-Sun)"|"Average"|"3.3"|"6"
"Shalini Fast Food"|"150"|"Fast Food"|"Haridwar"|"Kankhal"|"https://www.zomato.com/haridwar/shalini-fast-food-kankhal/info"|"9"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Four Brothers Fast Food Adda"|"150"|"Chinese,Fast Food,Momos"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/four-brothers-fast-food-adda-bhel-township/info"|"9"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"14"
"Sidcul Thali"|"300"|"North Indian"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/sidcul-thali-bhel-township/info"|"9"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Onion Fresh"|"200"|"North Indian"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/onion-fresh-bhel-township/info"|"9"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Yarana Dhaba ( Veg & Non Veg )"|"400"|"BBQ,Indian,North Indian,Afghan"|"Haridwar"|"Jwalapur"|"https://www.zomato.com/haridwar/yarana-dhaba-veg-non-veg-jwalapur/info"|"9"|"Bhojanalya"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"SRH Kathi Roll Veg & Non-Veg"|"150"|"Rolls,Chinese"|"Haridwar"|"Sitapur"|"https://www.zomato.com/haridwar/srh-kathi-roll-veg-non-veg-sitapur/info"|"9"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Roti Te Boti"|"400"|"North Indian"|"Haridwar"|"BHEL Township"|"https://www.zomato.com/haridwar/roti-te-boti-bhel-township/info"|"9"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Patiala Lassi"|"120"|"Beverages,Drinks Only"|"Haridwar"|"Devpura"|"https://www.zomato.com/haridwar/patiala-lassi-devpura/info"|"9"|"Beverage Shop"|"8am to 11pm(Mon-Sun)"|"Average"|"3.4"|"7"
"The Taste Of Kalkata"|"250"|"BBQ,Rolls"|"Haridwar"|"Ranipur"|"https://www.zomato.com/haridwar/the-taste-of-kalkata-ranipur/info"|"9"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.4"|"6"
"Cafe Coffee Day"|"500"|"Cafe"|"Haridwar"|"Har Ki Pauri"|"https://www.zomato.com/haridwar/cafe-coffee-day-har-ki-pauri/info"|"9"|"Café"|"9am to 11pm(Mon-Sun)"|"Average"|"3.2"|"15"
"Hotel Madhuban"|"800"|"Modern Indian,North Indian"|"Haridwar"|"Ranipur"|"https://www.zomato.com/haridwar/hotel-madhuban-1-ranipur/info"|"9"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Shivalik Hotel and Restaurant"|"350"|"South Indian,North Indian,Chinese"|"Haridwar"|"Har Ki Pauri"|"https://www.zomato.com/haridwar/shivalik-hotel-and-restaurant-har-ki-pauri/info"|"9"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Average"|"3.2"|"10"
