"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Amadora Gourmet Ice Cream & Sorbet"|"300"|"Bakery,Desserts,Ice Cream"|"Hyderabad"|"Film Nagar"|"https://www.zomato.com/hyderabad/amadora-gourmet-ice-cream-sorbet-film-nagar/info"|"64"|"Bakery"|"11am to 1130pm(Mon-Thu),11am to 12midnight..."|"Very Good"|"4.0"|"106"
"Aryan"|"500"|"Hyderabadi,Biryani,Chinese"|"Hyderabad"|"Marredpally"|"https://www.zomato.com/hyderabad/aryan-marredpally-secunderabad/info"|"64"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"316"
"Sri Santosh Family Dhaba"|"500"|"North Indian,Chinese"|"Hyderabad"|"Ramanthapur"|"https://www.zomato.com/hyderabad/sri-santosh-family-dhaba-ramanthapur/info"|"64"|"Casual Dining"|"1130am to 1030pm(Mon-Sun)"|"Good"|"3.8"|"318"
"Grabz"|"350"|"Italian,Fast Food"|"Hyderabad"|"Himayath Nagar"|"https://www.zomato.com/hyderabad/grabz-himayath-nagar/info"|"64"|"Quick Bites"|"11am to 1030pm(Mon-Sun)"|"Very Good"|"4.0"|"224"
"Dolphins"|"350"|"Street Food,North Indian,Chinese"|"Hyderabad"|"A S Rao Nagar"|"https://www.zomato.com/hyderabad/dolphins-as-rao-nagar-secunderabad/info"|"64"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"287"
"StickHouse"|"250"|"Desserts,Ice Cream"|"Hyderabad"|"Forum Sujana Mall"|"https://www.zomato.com/hyderabad/stickhouse-kukatpally/info"|"64"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"138"
"CFC Chinese Food Court"|"200"|"Chinese,North Indian"|"Hyderabad"|"Nallakunta"|"https://www.zomato.com/hyderabad/cfc-chinese-food-court-nallakunta/info"|"64"|"Quick Bites"|"1230pm to 1030pm(Mon-Sun)"|"Good"|"3.6"|"298"
"Hotel Nandini"|"400"|"South Indian,North Indian,Chinese"|"Hyderabad"|"Begumpet"|"https://www.zomato.com/hyderabad/hotel-nandini-begumpet/info"|"64"|"Quick Bites"|"7am to 1030pm(Mon-Sun)"|"Good"|"3.9"|"308"
"Sai Kailash Dhaba"|"800"|"North Indian,Chinese"|"Hyderabad"|"Attapur"|"https://www.zomato.com/hyderabad/sai-kailash-dhaba-attapur/info"|"64"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Good"|"3.8"|"316"
"Swiss Castle"|"200"|"Bakery,Desserts"|"Hyderabad"|"Banjara Hills"|"https://www.zomato.com/hyderabad/swiss-castle-banjara-hills/info"|"64"|"Bakery"|"10am to 10pm(Mon-Sun)"|"Very Good"|"4.1"|"161"
"Kondapalli Kitchen"|"500"|"Mughlai,North Indian"|"Hyderabad"|"Jubilee Hills"|"https://www.zomato.com/hyderabad/kondapalli-kitchen-jubilee-hills/info"|"64"|"Casual Dining"|"12noon to 10pm(Mon-Sun)"|"Good"|"3.9"|"166"
"Chinese Cornerz"|"300"|"Chinese,Momos"|"Hyderabad"|"Madhapur"|"https://www.zomato.com/hyderabad/chinese-cornerz-madhapur/info"|"64"|"Quick Bites"|"1pm to 1am(Mon),1pm to 12midnight(Tue-Sun)"|"Good"|"3.7"|"263"
"Mirchi Food Court"|"400"|"North Indian"|"Hyderabad"|"Vanasthalipuram"|"https://www.zomato.com/hyderabad/mirchi-food-court-vanasthalipuram/info"|"64"|"Food Court"|"12noon to 11pm(Mon-Sun)"|"Average"|"2.6"|"338"
"Backyard Food Co."|"200"|"North Indian"|"Hyderabad"|"Kondapur"|"https://www.zomato.com/hyderabad/backyard-food-co-kondapur/info"|"64"|"Quick Bites"|"12midnight to 1230AM,1229pm to 12midnight..."|"Very Good"|"4.1"|"240"
"Bilal Ice Cream Parlour"|"250"|"Ice Cream,Desserts"|"Hyderabad"|"Nampally"|"https://www.zomato.com/hyderabad/bilal-ice-cream-parlour-nampally/info"|"64"|"Dessert Parlor"|"10am to 1130pm(Mon-Sun)"|"Good"|"3.9"|"194"
