"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Shree Mahaveer"|"350"|"North Indian,Chinese"|"Indore"|"Khajrana"|"https://www.zomato.com/indore/shree-mahaveer-khajrana/info"|"76"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Second Wife"|"500"|"North Indian"|"Indore"|"HIG-LIG"|"https://www.zomato.com/indore/the-second-wife-hig-lig/info"|"76"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mr. Fries"|"400"|"Fast Food,Sandwich,Momos"|"Indore"|"Vijay Nagar"|"https://www.zomato.com/indore/mr-fries-3-vijay-nagar/info"|"76"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri Giriraj foods"|"300"|"North Indian,Fast Food"|"Indore"|"Navlakha"|"https://www.zomato.com/indore/shri-giriraj-foods-navlakha/info"|"76"|"Quick Bites"|"130pm to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"New London Cafe"|"300"|"Fast Food,Beverages"|"Indore"|"Rau"|"https://www.zomato.com/indore/new-london-cafe-rau/info"|"76"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Puran Phalahari"|"100"|"Street Food"|"Indore"|"New Palasia"|"https://www.zomato.com/indore/puran-phalahari-new-palasia/info"|"76"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rock n Rolls Cafe"|"400"|"Fast Food,Beverages"|"Indore"|"Old Palasia"|"https://www.zomato.com/indore/rock-n-rolls-cafe-old-palasia/info"|"76"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"House of Candy"|"200"|"Desserts"|"Indore"|"South Tukoganj"|"https://www.zomato.com/indore/house-of-candy-south-tukoganj/info"|"76"|"Confectionery"|"1030am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Olio"|"300"|"North Indian,Chinese"|"Indore"|"Vijay Nagar"|"https://www.zomato.com/indore/olio-vijay-nagar/info"|"76"|"none"|"12noon to 4pm,7pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"South Corner"|"400"|"South Indian"|"Indore"|"Vijay Nagar"|"https://www.zomato.com/indore/south-corner-vijay-nagar/info"|"76"|"Casual Dining"|"930am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Swad Hindustani"|"400"|"Mithai,Fast Food"|"Indore"|"Sapna Sangeeta"|"https://www.zomato.com/indore/swad-hindustani-sapna-sangeeta/info"|"76"|"Sweet Shop"|"11am to 830pm(Mon-Sun)"|"Not rated"|"-"|"-"
"KC Refreshment"|"100"|"North Indian"|"Indore"|"Jail Road"|"https://www.zomato.com/indore/kc-refreshment-jail-road/info"|"76"|"none"|"12noon to 8pm(Mon-Sat),Closed(Sun)"|"Not rated"|"-"|"-"
"Home Made Tiffin Services"|"300"|"North Indian"|"Indore"|"Jail Road"|"https://www.zomato.com/indore/home-made-tiffin-services-jail-road/info"|"76"|"none"|"9am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Jain Chinese & Pav Bhaji"|"150"|"Street Food,Chinese"|"Indore"|"Vijay Nagar"|"https://www.zomato.com/indore/jain-chinese-pav-bhaji-vijay-nagar/info"|"76"|"Quick Bites"|"6pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"MP09 Cafe and Family Restaurant"|"350"|"North Indian,Chinese,Fast Food"|"Indore"|"Vijay Nagar"|"https://www.zomato.com/indore/mp09-cafe-and-family-restaurant-vijay-nagar/info"|"76"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
