"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Masssala Cafe"|"500"|"Indian"|"Jabalpur"|"Vijay Nagar"|"https://www.zomato.com/jabalpur/masssala-cafe-vijay-nagar/info"|"23"|"Quick Bites"|"1130am to 11pm(Mon-Sun)"|"Average"|"3.4"|"5"
"Rounak Bhel Puri"|"100"|"Street Food"|"Jabalpur"|"Napier Town"|"https://www.zomato.com/jabalpur/rounak-bhel-puri-napier-town/info"|"23"|"none"|"5pm to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Kanha Lake View"|"500"|"North Indian"|"Jabalpur"|"Garha"|"https://www.zomato.com/jabalpur/kanha-lake-view-garha/info"|"23"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"4"
"M2 Food"|"300"|"Fast Food"|"Jabalpur"|"Napier Town"|"https://www.zomato.com/jabalpur/m2-food-napier-town/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"9"
"Masala Mystery"|"1500"|"North Indian,Chinese"|"Jabalpur"|"Vijay Nagar"|"https://www.zomato.com/jabalpur/masala-mystery-vijay-nagar/info"|"23"|"Casual Dining"|"1130am to 330pm,730pm to 1030pm(Mon-Sun)"|"Average"|"3.0"|"6"
"Laxmi Fruit And Juice"|"100"|"Juices"|"Jabalpur"|"Wright Town"|"https://www.zomato.com/jabalpur/laxmi-fruit-and-juice-wright-town/info"|"23"|"Beverage Shop"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Coffee Culture"|"1000"|"Cafe,Chinese,Coffee,Continental,Italian,Mexican,North Indian,Street Food"|"Jabalpur"|"Cantt"|"https://www.zomato.com/jabalpur/coffee-culture-2-cantt/info"|"23"|"Café"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Hotel BK Castle"|"1200"|"North Indian,Chinese,Italian"|"Jabalpur"|"Mahrajpur"|"https://www.zomato.com/jabalpur/hotel-bk-castle-mahrajpur/info"|"23"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"4"
"Rice Box"|"200"|"North Indian"|"Jabalpur"|"Wright Town"|"https://www.zomato.com/jabalpur/rice-box-wright-town/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"10"
"U Turn Cafe"|"300"|"Cafe"|"Jabalpur"|"Vijay Nagar"|"https://www.zomato.com/jabalpur/u-turn-cafe-vijay-nagar/info"|"23"|"Café"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Chotu Hotel"|"250"|"North Indian"|"Jabalpur"|"Hathital"|"https://www.zomato.com/jabalpur/chotu-hotel-hathital/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Center Point Ice Cream Parlour"|"100"|"Ice Cream"|"Jabalpur"|"Ganjipura"|"https://www.zomato.com/jabalpur/center-point-ice-cream-parlour-ganjipura/info"|"23"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"New Manmohan Hotel"|"400"|"North Indian"|"Jabalpur"|"Cantt"|"https://www.zomato.com/jabalpur/new-manmohan-hotel-cantt/info"|"23"|"Casual Dining"|"1030am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Tawakkul"|"400"|"North Indian"|"Jabalpur"|"Rampur"|"https://www.zomato.com/jabalpur/hotel-tawakkul-rampur/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"6"
"Bhavdeep's Fusion Spice"|"350"|"Biryani,Fast Food,Indian,Roast Chicken"|"Jabalpur"|"Hathital"|"https://www.zomato.com/jabalpur/bhavdeeps-fusion-spice-hathital/info"|"23"|"Fine Dining"|"6pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
