"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"2/2 Kathi Rolls & Momos"|"250"|"Fast Food,Rolls,Momos"|"Jaipur"|"Vaishali Nagar"|"https://www.zomato.com/jaipur/2-2-kathi-rolls-momos-vaishali-nagar/info"|"154"|"Quick Bites"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"26"
"House of Foodiez"|"400"|"North Indian"|"Jaipur"|"Tonk Road"|"https://www.zomato.com/jaipur/house-of-foodiez-tonk-road/info"|"154"|"none"|"4pm to 130am(Mon-Sun)"|"Good"|"3.7"|"69"
"Gareeb Nawaaz Hotel"|"300"|"North Indian"|"Jaipur"|"Ramganj Bazaar-- Pink City"|"https://www.zomato.com/jaipur/gareeb-nawaaz-hotel-pink-city/info"|"154"|"Quick Bites"|"8am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"50"
"Z.E.D. COFFEE"|"300"|"Fast Food,Sandwich,Beverages,Tea"|"Jaipur"|"Mansarovar"|"https://www.zomato.com/jaipur/z-e-d-coffee-mansarovar/info"|"154"|"Quick Bites"|"930am to 2am(Mon-Fri),930am to 3am(Sat-Sun)"|"Good"|"3.5"|"36"
"Knight of Punjab"|"600"|"North Indian,Chinese"|"Jaipur"|"Raja Park"|"https://www.zomato.com/jaipur/knight-of-punjab-raja-park/info"|"154"|"Casual Dining"|"11am to 12midnight(Mon,Wed,Thu,Fri,Sat,Sun)..."|"Good"|"3.6"|"33"
"Kings Kulfi"|"100"|"Desserts"|"Jaipur"|"Crystal Palm Mall-- Bais Godam"|"https://www.zomato.com/jaipur/kings-kulfi-bais-godam/info"|"154"|"Dessert Parlor"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.6"|"33"
"Yes 99 Cafe"|"400"|"North Indian,South Indian,Fast Food"|"Jaipur"|"Lal Kothi"|"https://www.zomato.com/jaipur/yes-99-cafe-lal-kothi/info"|"154"|"Quick Bites"|"10am to 2am(Mon-Sun)"|"Average"|"3.2"|"40"
"Rangoli"|"400"|"North Indian"|"Jaipur"|"Vaishali Nagar"|"https://www.zomato.com/jaipur/rangoli-vaishali-nagar/info"|"154"|"Casual Dining"|"11am to 2am(Mon-Sun)"|"Average"|"3.2"|"35"
"Buy One Get One"|"400"|"Pizza,Burger,Sandwich,Coffee"|"Jaipur"|"C Scheme"|"https://www.zomato.com/jaipur/buy-one-get-one-c-scheme/info"|"154"|"Quick Bites"|"1230pm to 1130pm,12midnight to 130am(Mon-Sun)"|"Average"|"2.9"|"31"
"Chicken Gallery"|"400"|"North Indian"|"Jaipur"|"Vaishali Nagar"|"https://www.zomato.com/jaipur/chicken-gallery-vaishali-nagar/info"|"154"|"Quick Bites"|"11am to 2am(Mon,Wed,Fri,Sat,Sun),5pm to 2am..."|"Average"|"2.7"|"35"
"Cuisine Nirvana"|"600"|"North Indian,Chinese,Fast Food"|"Jaipur"|"Vaishali Nagar"|"https://www.zomato.com/jaipur/cuisine-nirvana-1-vaishali-nagar/info"|"154"|"Casual Dining"|"11am to 2am(Mon-Sun)"|"Good"|"3.6"|"32"
"Ramchandra Kulfi & Juice Center"|"150"|"Desserts,Juices"|"Jaipur"|"MI Road"|"https://www.zomato.com/jaipur/ramchandra-kulfi-juice-center-mi-road/info"|"154"|"Dessert Parlor"|"10am to 1130pm(Mon-Sun)"|"Good"|"3.7"|"41"
"Shree Ram Pavitra Bhojanalaya"|"300"|"North Indian"|"Jaipur"|"Sindhi Camp"|"https://www.zomato.com/jaipur/shree-ram-pavitra-bhojanalaya-sindhi-camp/info"|"154"|"Dhaba"|"7am to 3am(Mon-Sun)"|"Good"|"3.7"|"46"
"Wonder Momos"|"300"|"Momos,Chinese"|"Jaipur"|"Vaishali Nagar"|"https://www.zomato.com/jaipur/wonder-momos-vaishali-nagar/info"|"154"|"Quick Bites"|"1pm to 2am(Mon-Sun)"|"Average"|"3.3"|"46"
"Harry's Deli by Asteria"|"700"|"North Indian,Continental"|"Jaipur"|"Tonk Road"|"https://www.zomato.com/harry-delis-by-asteria/info"|"154"|"none"|"12noon to 1130pm(Mon-Sun)"|"Good"|"3.5"|"35"
