"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Reefer Café & Eatery"|"700"|"Italian,Chinese,Continental,Mexican,Cafe,Fast Food"|"Jalandhar"|"Model Town"|"https://www.zomato.com/jalandhar/the-reefer-café-eatery-model-town/info"|"12"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"114"
"Kuku bakery cakes"|"300"|"Bakery"|"Jalandhar"|"Shastri Nagar"|"https://www.zomato.com/jalandhar/kuku-bakery-cakes-shastri-nagar/info"|"12"|"Bakery"|"12noon to 10pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Sahib Swadisht food"|"200"|"Fast Food"|"Jalandhar"|"Jalandhar Cantt"|"https://www.zomato.com/jalandhar/sahib-swadisht-food-jalandhar-cantt/info"|"12"|"Food Court"|"4pm to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Chicken 2Nite"|"200"|"North Indian"|"Jalandhar"|"Shastri Nagar"|"https://www.zomato.com/jalandhar/chicken-2nite-1-shastri-nagar/info"|"12"|"Casual Dining"|"2pm to 10pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed..."|"Average"|"2.9"|"6"
"Play Town Cafe The Fun Factory"|"400"|"Cafe,Fast Food,Continental,Chinese"|"Jalandhar"|"Urban Estate"|"https://www.zomato.com/jalandhar/play-town-cafe-the-fun-factory-urban-estate/info"|"12"|"Café"|"12noon to 930pm(Mon-Sun)"|"Average"|"3.3"|"15"
"Keventers"|"400"|"Desserts,Beverages,Ice Cream"|"Jalandhar"|"Model Town"|"https://www.zomato.com/jalandhar/keventers-model-town/info"|"12"|"Beverage Shop"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"73"
"FnP Cakes and More"|"400"|"Bakery"|"Jalandhar"|"Jalandhar Cantt"|"https://www.zomato.com/jalandhar/fnp-cakes-and-more-jalandhar-cantt/info"|"12"|"Bakery"|"10am to 10pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Malabar Foods"|"400"|"South Indian,Fast Food"|"Jalandhar"|"Model Town"|"https://www.zomato.com/jalandhar/malabar-foods-model-town/info"|"12"|"Quick Bites"|"NA"|"Average"|"3.3"|"16"
"Khan Chicken"|"350"|"North Indian"|"Jalandhar"|"Model Town"|"https://www.zomato.com/jalandhar/khan-chicken-model-town/info"|"12"|"Casual Dining"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hot and fresh"|"200"|"Italian,Continental,Chinese"|"Jalandhar"|"Shastri Nagar"|"https://www.zomato.com/jalandhar/hot-and-fresh-shastri-nagar/info"|"12"|"Food Court"|"12noon to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"My Kitchen"|"500"|"North Indian"|"Jalandhar"|"Shastri Nagar"|"https://www.zomato.com/jalandhar/my-kitchen-shastri-nagar/info"|"12"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"26"
"Moti Sweets"|"300"|"North Indian,Desserts,Burger,Mithai,Street Food"|"Jalandhar"|"Jalandhar Cantt"|"https://www.zomato.com/jalandhar/moti-sweets-jalandhar-cantt/info"|"12"|"Sweet Shop"|"8am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Bell Pepper"|"200"|"North Indian"|"Jalandhar"|"Rama Mandi"|"https://www.zomato.com/jalandhar/bell-pepper-rama-mandi/info"|"12"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Coffila Food Court"|"250"|"South Indian,Pizza,North Indian,Continental,Chinese"|"Jalandhar"|"Jalandhar Cantt"|"https://www.zomato.com/jalandhar/coffila-food-court-jalandhar-cantt/info"|"12"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Lazy Monkey"|"1000"|"North Indian"|"Jalandhar"|"Model Town"|"https://www.zomato.com/jalandhar/the-lazy-monkey-model-town/info"|"12"|"Bar"|"(Mon-Sun)"|"Average"|"3.0"|"11"
