"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Vijay Di Hatti"|"200"|"North Indian"|"Jammu"|"Trikuta Nagar"|"https://www.zomato.com/jammu/vijay-di-hatti-trikuta-nagar/info"|"10"|"Quick Bites"|"2pm to 10pm(Mon-Sun)"|"Average"|"3.4"|"11"
"Bikano Family Restaurant"|"500"|"North Indian,Chinese,Desserts"|"Jammu"|"Maheshpura"|"https://www.zomato.com/jammu/bikano-family-restaurant-maheshpura/info"|"10"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Elite Baker's & Snacks"|"100"|"Bakery"|"Jammu"|"Shastri Nagar"|"https://www.zomato.com/jammu/elite-bakers-snacks-shastri-nagar/info"|"10"|"Bakery"|"12noon to 10pm(Mon-Sun)"|"Average"|"3.1"|"5"
"Cafe Street"|"250"|"Fast Food"|"Jammu"|"Channi Himmat"|"https://www.zomato.com/jammu/cafe-street-channi-himmat/info"|"10"|"Quick Bites"|"1130am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Dhaba Dot Com"|"400"|"North Indian,South Indian,Chinese"|"Jammu"|"Channi Himmat"|"https://www.zomato.com/jammu/dhaba-dot-com-channi-himmat/info"|"10"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Sunny Pizza"|"500"|"Pizza,Fast Food"|"Jammu"|"Gandhi Nagar"|"https://www.zomato.com/jammu/sunny-pizza-gandhi-nagar/info"|"10"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mummy’s Kitchen"|"300"|"Mughlai,North Indian,Afghan"|"Jammu"|"Nanak Nagar"|"https://www.zomato.com/jammu/mummys-kitchen-nanak-nagar/info"|"10"|"none"|"NA"|"Average"|"3.2"|"7"
"Pizza Express"|"600"|"Pizza"|"Jammu"|"Nanak Nagar"|"https://www.zomato.com/jammu/pizza-express-nanak-nagar/info"|"10"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"2.9"|"5"
"PMC Bhujiawala"|"200"|"Mithai,Street Food"|"Jammu"|"Hari Market"|"https://www.zomato.com/jammu/pmc-bhujiawala-hari-market/info"|"10"|"Confectionery"|"11am to 10pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Elite Fast Food"|"150"|"Chinese"|"Jammu"|"Shastri Nagar"|"https://www.zomato.com/jammu/elite-fast-food-shastri-nagar/info"|"10"|"Quick Bites"|"1pm to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Aliza Food Hub"|"300"|"Fast Food"|"Jammu"|"Rehari Colony"|"https://www.zomato.com/jammu/aliza-food-hub-rehari-colony/info"|"10"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Aahaar Food Point"|"200"|"North Indian,South Indian,Chinese"|"Jammu"|"Resham Ghar Colony"|"https://www.zomato.com/jammu/aahaar-food-point-resham-ghar-colony/info"|"10"|"Quick Bites"|"12noon to 8pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Healthy Grill"|"500"|"South Indian,North Indian"|"Jammu"|"Nanak Nagar"|"https://www.zomato.com/jammu/healthy-grill-nanak-nagar/info"|"10"|"Casual Dining"|"930am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"33"
"Firemint The Flavour"|"500"|"Fast Food,Pizza"|"Jammu"|"Lal Kuan"|"https://www.zomato.com/jammu/firemint-the-flavour-lal-kuan/info"|"10"|"Quick Bites"|"9am to 10pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Kwality Fast Food"|"150"|"Fast Food,Chinese"|"Jammu"|"Raghunath Bazaar"|"https://www.zomato.com/jammu/kwality-fast-food-raghunath-bazaar/info"|"10"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
