"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Wooddy Jhone's Pizza"|"250"|"Pizza"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/wooddy-jhones-pizza-bedeswar/info"|"3"|"Quick Bites"|"11am to 3pm,630pm to 10pm(Mon-Sun)"|"Good"|"3.8"|"20"
"Punjabi Zayka"|"250"|"Fast Food,Gujarati,Indian"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/punjabi-zayka-1-bedeswar/info"|"3"|"Casual Dining"|"6pm to 1030pm(Mon-Sun)"|"Good"|"3.8"|"9"
"Cibaro"|"250"|"Bakery"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/cibaro-bedeswar/info"|"3"|"none"|"(Mon-Sun)"|"Good"|"3.9"|"13"
"New Zayka Restaurant"|"250"|"North Indian,South Indian,Chinese"|"Jamnagar"|"Green City"|"https://www.zomato.com/jamnagar/new-zayka-restaurant-green-city/info"|"3"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"JMR Sri Balaji Bhawan"|"500"|"North Indian,South Indian,Chinese,Gujarati"|"Jamnagar"|"Kadiawad"|"https://www.zomato.com/jamnagar/jmr-sri-balaji-bhawan-kadiawad/info"|"3"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.7"|"7"
"Lagi Lagan Restaurant"|"250"|"South Indian,North Indian,Chinese"|"Jamnagar"|"Green City"|"https://www.zomato.com/jamnagar/lagi-lagan-restaurant-green-city/info"|"3"|"Fine Dining"|"6pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"Zayka Restaurant"|"200"|"North Indian,South Indian,Chinese"|"Jamnagar"|"Jawahar Nagar"|"https://www.zomato.com/jamnagar/zayka-restaurant-jawahar-nagar/info"|"3"|"Quick Bites"|"1130am to 4pm(Mon-Sun)"|"Very Good"|"4.0"|"10"
"New Shri Ram Dairy Restaurant"|"150"|"North Indian,South Indian,Chinese,Beverages"|"Jamnagar"|"Kadiawad"|"https://www.zomato.com/jamnagar/new-shri-ram-dairy-restaurant-kadiawad/info"|"3"|"Quick Bites"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Good"|"3.7"|"8"
"Patel Restaurant"|"200"|"North Indian,South Indian,Beverages"|"Jamnagar"|"Gulab Nagar"|"https://www.zomato.com/jamnagar/patel-restaurant-gulab-nagar/info"|"3"|"Quick Bites"|"830am to 3pm,6pm to 12midnight(Mon-Sun)"|"Good"|"3.7"|"7"
"Pizza da dhaba"|"250"|"Bakery"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/pizza-da-dhaba-bedeswar/info"|"3"|"none"|"11am to 3pm,5pm to 10pm(Mon-Sun)"|"Good"|"3.7"|"12"
"Bharat Restaurant"|"250"|"Hyderabadi,Lucknowi,Mughlai"|"Jamnagar"|"Kadiawad"|"https://www.zomato.com/jamnagar/bharat-restaurant-kadiawad/info"|"3"|"Casual Dining"|"121AM to 1am,630pm to 12midnight(Mon-Sun)"|"Good"|"3.9"|"5"
"Frespresso"|"350"|"Bakery,Cafe,Coffee,Continental"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/frespresso-bedeswar/info"|"3"|"Café"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Cafe Paradise Restaurant"|"200"|"Fast Food"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/cafe-paradise-restaurant-1-bedeswar/info"|"3"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Good"|"3.6"|"9"
"The London Shakes"|"250"|"Belgian"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/the-london-shakes-bedeswar/info"|"3"|"none"|"(Mon-Sun)"|"Good"|"3.6"|"8"
"New Jawahar Pan"|"100"|"Paan"|"Jamnagar"|"Bedeswar"|"https://www.zomato.com/jamnagar/new-jawahar-pan-bedeswar/info"|"3"|"Paan Shop"|"(Mon-Sun)"|"Not rated"|"-"|"-"
