"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Ghousia Hotel"|"300"|"Biryani,North Indian,Chinese,Rolls"|"Jamshedpur"|"Sakchi"|"https://www.zomato.com/jamshedpur/ghousia-hotel-sakchi/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Excellent"|"4.5"|"444"
"The Chocolate Room"|"600"|"Desserts,Beverages,Pizza,Burger,Sandwich,Street Food,Mexican,Italian"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/the-chocolate-room-bistupur/info"|"1"|"Café"|"11am to 11pm(Mon-Sun)"|"Excellent"|"4.5"|"224"
"Junction Restraurant"|"600"|"Biryani,Chinese"|"Jamshedpur"|"Sakchi"|"https://www.zomato.com/jamshedpur/junction-restraurant-sakchi/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"182"
"Novelty Multicuisine Restaurant"|"700"|"South Indian,Chinese,North Indian"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/novelty-multicuisine-restaurant-bistupur/info"|"1"|"Casual Dining"|"1030am to 1030pm(Mon-Sun)"|"Very Good"|"4.3"|"161"
"Junction"|"300"|"Biryani,Chinese,Rolls"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/junction-bistupur/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"131"
"Pappu Restaurant"|"500"|"Chinese,North Indian"|"Jamshedpur"|"Sakchi"|"https://www.zomato.com/jamshedpur/pappu-restaurant-sakchi/info"|"1"|"Casual Dining"|"11am to 2am(Mon-Sun)"|"Good"|"3.6"|"156"
"The Bawarchi"|"500"|"North Indian,Biryani,Rolls,Chinese"|"Jamshedpur"|"Mango"|"https://www.zomato.com/jamshedpur/the-bawarchi-mango/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"152"
"Brubeck Bakery"|"450"|"Bakery,Sandwich,Italian,Tea,Burger,Coffee,Desserts,Pizza"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/brubeck-bakery-bistupur/info"|"1"|"Bakery"|"930am to 1130pm(Mon-Sun)"|"Very Good"|"4.2"|"138"
"Le Bon Cafe & Bakery"|"500"|"Pizza"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/le-bon-cafe-bakery-bistupur/info"|"1"|"Café"|"10am to 1030pm(Mon-Sun)"|"Very Good"|"4.1"|"181"
"Ramesh Kulfi"|"300"|"North Indian,Biryani,South Indian,Rolls"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/ramesh-kulfi-bistupur/info"|"1"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Good"|"3.5"|"153"
"Anand"|"300"|"Biryani,Chinese,Beverages,North Indian,Tea,Coffee,Desserts,South Indian"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/anand-bistupur/info"|"1"|"Casual Dining"|"11am to 1030pm(Mon-Sun)"|"Very Good"|"4.2"|"151"
"Shreeji Rasoi"|"400"|"North Indian,Chinese"|"Jamshedpur"|"Bistupur"|"https://www.zomato.com/jamshedpur/shreeji-rasoi-1-bistupur/info"|"1"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Average"|"3.1"|"116"
"Delhi Darbar"|"500"|"North Indian,Chinese"|"Jamshedpur"|"Sakchi"|"https://www.zomato.com/jamshedpur/delhi-darbar-sakchi/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"283"
"Italian Adda"|"400"|"Biryani,Chinese,Italian,Coffee,Pizza"|"Jamshedpur"|"Mango"|"https://www.zomato.com/jamshedpur/italian-adda-mango/info"|"1"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.8"|"104"
"Domino's Pizza"|"500"|"Pizza"|"Jamshedpur"|"Sakchi"|"https://www.zomato.com/jamshedpur/dominos-pizza-sakchi/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"205"
