"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Green's Cafe 69 & Lounge"|"350"|"Cafe,Italian,Chinese,North Indian"|"Jhansi"|"Bundelkhand University"|"https://www.zomato.com/jhansi/the-greens-cafe-69-lounge-bundelkhand-university/info"|"9"|"Lounge"|"11am to 10pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Yash Tiffin Centre"|"100"|"North Indian,South Indian"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/yash-tiffin-centre-sipri-bazaar/info"|"9"|"Quick Bites"|"1pm to 8pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Shalimar Biryani"|"150"|"Biryani"|"Jhansi"|"Civil Lines"|"https://www.zomato.com/jhansi/shalimar-biryani-civil-lines/info"|"9"|"none"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Lucknow Veg Food"|"200"|"Lucknowi,Fast Food"|"Jhansi"|"Civil Lines"|"https://www.zomato.com/jhansi/lucknow-veg-food-civil-lines/info"|"9"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Shri Siddhivinayak Fast Food Corner"|"100"|"North Indian,Biryani"|"Jhansi"|"Purana Sahar"|"https://www.zomato.com/jhansi/shri-siddhivinayak-fast-food-corner-purana-sahar/info"|"9"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rajasthan Sweets"|"150"|"Desserts,Fast Food"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/rajasthan-sweets-sipri-bazaar/info"|"9"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Avadh Foods By Mughlai Darbar"|"100"|"Biryani,Lucknowi"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/avadh-foods-by-mughlai-darbar-sipri-bazaar/info"|"9"|"Quick Bites"|"11am to 8pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Yug Food Point"|"200"|"South Indian,Chinese,North Indian"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/yug-food-point-sipri-bazaar/info"|"9"|"Quick Bites"|"4pm to 10pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Pizza Circle"|"400"|"Italian"|"Jhansi"|"Civil Lines"|"https://www.zomato.com/jhansi/pizza-circle-1-civil-lines/info"|"9"|"none"|"8am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Star Bakery & Stores"|"100"|"Bakery,Ice Cream"|"Jhansi"|"Civil Lines"|"https://www.zomato.com/jhansi/star-bakery-stores-civil-lines/info"|"9"|"Bakery"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Black Beans Cafe And Restaurant"|"500"|"North Indian,Chinese"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/black-beans-cafe-and-restaurant-sipri-bazaar/info"|"9"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Yappie"|"250"|"Fast Food"|"Jhansi"|"Civil Lines"|"https://www.zomato.com/jhansi/yappie-civil-lines/info"|"9"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"5"
"The Taste Factory"|"150"|"Chinese,North Indian,South Indian"|"Jhansi"|"Nagra"|"https://www.zomato.com/jhansi/the-taste-factory-nagra/info"|"9"|"Quick Bites"|"4pm to 10pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Mukul Chat Corner"|"100"|"Fast Food,Street Food"|"Jhansi"|"Sipri Bazaar"|"https://www.zomato.com/jhansi/mukul-chat-corner-sipri-bazaar/info"|"9"|"Quick Bites"|"2pm to 9pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Samar Khana Khazana"|"100"|"Street Food"|"Jhansi"|"Nagra"|"https://www.zomato.com/jhansi/samar-khana-khazana-nagra/info"|"9"|"Quick Bites"|"10am to 1pm,5pm to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
