"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Ice Cream Works"|"300"|"Desserts"|"Jodhpur"|"Basni"|"https://www.zomato.com/jodhpur/ice-cream-works-basni/info"|"23"|"Dessert Parlor"|"10am to 12midnight(Mon-Sun)"|"Average"|"3.2"|"18"
"The Food Chain"|"350"|"North Indian,Chinese,Fast Food,Beverages"|"Jodhpur"|"Paota"|"https://www.zomato.com/jodhpur/the-food-chain-paota/info"|"23"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Average"|"3.3"|"16"
"Kusum Agencies"|"200"|"Cafe,Beverages"|"Jodhpur"|"Chopasni Housing Board"|"https://www.zomato.com/jodhpur/kusum-agencies-chopasni-housing-board/info"|"23"|"Beverage Shop"|"10am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Cherry On Top"|"200"|"Bakery,Desserts"|"Jodhpur"|"Ratanada"|"https://www.zomato.com/jodhpur/cherry-on-top-ratanada/info"|"23"|"Bakery"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"5"
"Mandap Restaurant"|"250"|"North Indian,South Indian"|"Jodhpur"|"Chopasni Housing Board"|"https://www.zomato.com/jodhpur/mandap-restaurant-chopasni-housing-board/info"|"23"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Average"|"3.4"|"16"
"Mani Dhaba"|"400"|"North Indian"|"Jodhpur"|"Sardarpura"|"https://www.zomato.com/jodhpur/mani-dhaba-sardarpura/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"8"
"Somika Fast Food"|"200"|"Fast Food,North Indian"|"Jodhpur"|"Basni"|"https://www.zomato.com/jodhpur/somika-fast-food-basni/info"|"23"|"Quick Bites"|"1130am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Infinity Cafe"|"300"|"Fast Food"|"Jodhpur"|"Chopasni Housing Board"|"https://www.zomato.com/jodhpur/infinity-cafe-chopasni-housing-board/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Curry House"|"800"|"North Indian,South Indian,Chinese,Continental"|"Jodhpur"|"Chopasni Housing Board"|"https://www.zomato.com/jodhpur/curry-house-chopasni-housing-board/info"|"23"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Jammu Kashmir Hotel"|"400"|"Indian,Mughlai,North Indian"|"Jodhpur"|"Kabir Nagar"|"https://www.zomato.com/jodhpur/jammu-kashmir-hotel-kabir-nagar/info"|"23"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"16"
"Pawan Sagar - Chandra Inn"|"800"|"North Indian,Continental,South Indian,Chinese,Burger,Sandwich,Ice Cream,Beverages"|"Jodhpur"|"Ratanada"|"https://www.zomato.com/jodhpur/pawan-sagar-chandra-inn-ratanada/info"|"23"|"Casual Dining"|"710am to 11pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Dagley"|"400"|"North Indian"|"Jodhpur"|"Kabir Nagar"|"https://www.zomato.com/jodhpur/dagley-kabir-nagar/info"|"23"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Hotel Monarch Restaurant"|"250"|"North Indian,Chinese"|"Jodhpur"|"Basni"|"https://www.zomato.com/jodhpur/hotel-monarch-restaurant-basni/info"|"23"|"Quick Bites"|"11am to 1130pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Namaste Cafe"|"300"|"Cafe,North Indian,Chinese,Beverages"|"Jodhpur"|"Kabir Nagar"|"https://www.zomato.com/jodhpur/namaste-cafe-kabir-nagar/info"|"23"|"Café"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"10"
"Silver Turtle"|"200"|"Fast Food"|"Jodhpur"|"Sardarpura"|"https://www.zomato.com/jodhpur/silver-turtle-sardarpura/info"|"23"|"Quick Bites"|"1115am to 1030pm(Mon-Sun)"|"Good"|"3.5"|"17"
