"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Maa Ki Rasoi"|"200"|"North Indian"|"Kanpur"|"Ashok Nagar"|"https://www.zomato.com/kanpur/maa-ki-rasoi-ashok-nagar/info"|"56"|"none"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Fusion"|"0"|"North Indian,Chinese,South Indian"|"Kanpur"|"Shyam Nagar"|"https://www.zomato.com/kanpur/the-fusion-shyam-nagar/info"|"56"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Aagman Restaurant"|"250"|"North Indian,Chinese"|"Kanpur"|"Barra"|"https://www.zomato.com/kanpur/aagman-restaurant-barra/info"|"56"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Shri Gupta Ji Meethi Khati Chat What"|"0"|"Street Food"|"Kanpur"|"Lal Bangla"|"https://www.zomato.com/kanpur/shri-gupta-ji-meethi-khati-chat-what-lal-bangla/info"|"56"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"New Punjab Darbar"|"350"|"North Indian"|"Kanpur"|"Nandlal Chawraha"|"https://www.zomato.com/kanpur/new-punjab-darbar-nandlal-chawraha/info"|"56"|"none"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Tripan Pizza"|"0"|"Pizza"|"Kanpur"|"Shastri Nagar"|"https://www.zomato.com/kanpur/tripan-pizza-shastri-nagar/info"|"56"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"King Fast Food"|"0"|"Fast Food"|"Kanpur"|"Jajmau"|"https://www.zomato.com/kanpur/king-fast-food-jajmau/info"|"56"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Angara Broost"|"400"|"Fast Food"|"Kanpur"|"Lal Bangla"|"https://www.zomato.com/kanpur/angara-broost-1-lal-bangla/info"|"56"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Zia'S Restaurant"|"0"|"North Indian"|"Kanpur"|"Chamanganj"|"https://www.zomato.com/kanpur/zias-restaurant-chamanganj/info"|"56"|"Quick Bites"|"1pm to 1am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Unique Food Point"|"0"|"North Indian"|"Kanpur"|"Lal Bangla"|"https://www.zomato.com/kanpur/unique-food-point-lal-bangla/info"|"56"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
