"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Malabar Junction"|"1000"|"Kerala,Italian,Mediterranean"|"Kochi"|"The Malabar House-- Fort Kochi"|"https://www.zomato.com/kochi/malabar-junction-fort-kochi/info"|"20"|"Casual Dining"|"12noon to 3pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"43"
"Lettuce"|"400"|"Fast Food"|"Kochi"|"Aluva"|"https://www.zomato.com/kochi/lettuce-2-aluva/info"|"20"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.6"|"61"
"Royal Food Court"|"300"|"South Indian,North Indian,Arabian,Chinese"|"Kochi"|"Perumbavoor"|"https://www.zomato.com/kochi/royal-food-court-perumbavoor/info"|"20"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Cafe Coffee Day"|"650"|"Cafe,Fast Food"|"Kochi"|"Fort Kochi"|"https://www.zomato.com/kochi/cafe-coffee-day-fort-kochi/info"|"20"|"Café"|"10am to 10pm(Mon-Sun)"|"Good"|"3.5"|"35"
"Food Daddy"|"300"|"Cafe Food,Burger,Sandwich,Fast Food"|"Kochi"|"Kaloor"|"https://www.zomato.com/kochi/food-daddy-kaloor/info"|"20"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.8"|"37"
"Hotel Captain Fisher"|"600"|"Kerala,South Indian,North Indian,Chinese"|"Kochi"|"Vyttila"|"https://www.zomato.com/kochi/hotel-captain-fisher-vyttila/info"|"20"|"Casual Dining"|"730am to 11pm(Mon-Sun)"|"Good"|"3.6"|"46"
"Chinese Garden"|"800"|"Chinese"|"Kochi"|"Pallimukku"|"https://www.zomato.com/kochi/chinese-garden-pallimukku/info"|"20"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Poor"|"2.2"|"50"
"Kebab Hutz"|"250"|"Kebab"|"Kochi"|"Kakkanad"|"https://www.zomato.com/kochi/kebab-hutz-1-kakkanad/info"|"20"|"none"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"54"
"Ithappiris"|"400"|"Cafe,South Indian"|"Kochi"|"Kakkanad"|"https://www.zomato.com/kochi/ithappiris-kakkanad/info"|"20"|"Café"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"40"
"Coffee Beanz Traditionz"|"400"|"Cafe,Kerala"|"Kochi"|"Chittoor Road"|"https://www.zomato.com/kochi/coffee-beanz-traditionz-chittor-road/info"|"20"|"Café"|"12noon to 1030pm(Mon-Sun)"|"Good"|"3.7"|"48"
"Hotel Jaybees"|"600"|"Kerala,Seafood,North Indian,Chinese"|"Kochi"|"Palarivattom"|"https://www.zomato.com/kochi/hotel-jaybees-palarivattom/info"|"20"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Average"|"3.4"|"66"
"Pallath Restaurant"|"400"|"South Indian"|"Kochi"|"Kalamassery"|"https://www.zomato.com/kochi/pallath-restaurant-1-kalamassery/info"|"20"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"108"
"Scoops"|"250"|"Ice Cream,Juices,Desserts,Fast Food"|"Kochi"|"Edappally"|"https://www.zomato.com/kochi/scoops-edappally/info"|"20"|"Dessert Parlor"|"12noon to 1am(Mon-Sun)"|"Good"|"3.8"|"83"
"The Southern Kitchen - Dosa Lounge"|"350"|"South Indian"|"Kochi"|"Kakkanad"|"https://www.zomato.com/kochi/the-southern-kitchen-dosa-lounge-2-kakkanad/info"|"20"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Average"|"3.2"|"61"
"Hotel New Metro Palace"|"700"|"North Indian,Kerala,Chinese"|"Kochi"|"Marine Drive"|"https://www.zomato.com/kochi/hotel-new-metro-palace-marine-drive/info"|"20"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"48"
