"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Food Plaza"|"200"|"Burger,Cafe,Chinese,Coffee,Continental,Fast Food"|"Kolhapur"|"Kasaba Bawada"|"https://www.zomato.com/kolhapur/food-plaza-kasaba-bawada/info"|"12"|"Café"|"7am to 11pm(Mon-Sun)"|"Average"|"3.4"|"6"
"Hotel Zaika"|"600"|"North Indian,Maharashtrian"|"Kolhapur"|"Shivaji Udyam Nagar"|"https://www.zomato.com/kolhapur/hotel-zaika-shivaji-udyam-nagar/info"|"12"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Average"|"2.9"|"6"
"My Marathi"|"700"|"Maharashtrian,North Indian"|"Kolhapur"|"Shahupuri"|"https://www.zomato.com/kolhapur/my-marathi-shahupuri/info"|"12"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Meals Off Road By Food Saga"|"300"|"North Indian"|"Kolhapur"|"Phulewadi"|"https://www.zomato.com/kolhapur/meals-off-road-by-food-saga-phulewadi/info"|"12"|"none"|"6pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Nilesh"|"450"|"Indian"|"Kolhapur"|"Mangalwar Peth"|"https://www.zomato.com/kolhapur/hotel-nilesh-mangalwar-peth/info"|"12"|"Casual Dining"|"6pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"QUEEN'S FAMILY RESTAURANT"|"300"|"Biryani,Chinese,Coffee,Kebab"|"Kolhapur"|"Mangalwar Peth"|"https://www.zomato.com/kolhapur/queens-family-restaurant-mangalwar-peth/info"|"12"|"Fine Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Momoking"|"100"|"Momos"|"Kolhapur"|"Tarabhai Park"|"https://www.zomato.com/kolhapur/the-momoking-tarabhai-park/info"|"12"|"Food Truck"|"6pm to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Audumbar Pure Veg"|"500"|"North Indian"|"Kolhapur"|"Mangalwar Peth"|"https://www.zomato.com/kolhapur/audumbar-pure-veg-mangalwar-peth/info"|"12"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Hotel Saiba"|"600"|"North Indian,Chinese"|"Kolhapur"|"Tarabhai Park"|"https://www.zomato.com/kolhapur/hotel-saiba-tarabhai-park/info"|"12"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Average"|"2.9"|"5"
"RAJWADI"|"200"|"Beverages,Burger,Coffee,Gujarati,Pizza,Sandwich,South Indian,Tea"|"Kolhapur"|"Ruikar Colony"|"https://www.zomato.com/kolhapur/rajwadi-ruikar-colony/info"|"12"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Trushashanti Ice Cream and Cold drinks"|"100"|""|"Kolhapur"|"Shivaji Udyam Nagar"|"https://www.zomato.com/kolhapur/trushashanti-ice-cream-and-cold-drinks-shivaji-udyam-nagar/info"|"12"|"Dessert Parlor"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Pahunchar"|"800"|"Maharashtrian"|"Kolhapur"|"Rajarampuri"|"https://www.zomato.com/kolhapur/pahunchar-rajarampuri/info"|"12"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Nitya"|"500"|"North Indian,Maharashtrian,Chinese"|"Kolhapur"|"Shahupuri"|"https://www.zomato.com/kolhapur/hotel-nitya-shahupuri/info"|"12"|"Casual Dining"|"10am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Thalis Kolhapuri Thali & Biryani"|"500"|"Maharashtrian,Biryani"|"Kolhapur"|"Rajarampuri"|"https://www.zomato.com/kolhapur/the-thalis-kolhapuri-thali-biryani-rajarampuri/info"|"12"|"Casual Dining"|"730pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Fishking"|"400"|"Indian,Maharashtrian,Malwani"|"Kolhapur"|"Shahupuri"|"https://www.zomato.com/kolhapur/hotel-fishking-shahupuri/info"|"12"|"Fine Dining"|"12noon to 330pm,7pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
