"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Roasty Toasty"|"200"|"Sandwich,Beverages,Fast Food"|"Kolkata"|"Theatre Road"|"https://www.zomato.com/kolkata/roasty-toasty-theatre-road/info"|"52"|"none"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Sei Vui"|"400"|"Chinese,Momos"|"Kolkata"|"Dalhousie BBD Bagh"|"https://www.zomato.com/kolkata/sei-vui-dalhousie-bbd-bagh/info"|"52"|"none"|"12noon to 10pm(Mon-Sun)"|"Very Good"|"4.2"|"124"
"Chinese Dhaba"|"500"|"Chinese,North Indian"|"Kolkata"|"Bara Bazar"|"https://www.zomato.com/kolkata/chinese-dhaba-bara-bazar/info"|"52"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"Good"|"3.6"|"135"
"Kankurgachi Dhaba"|"500"|"North Indian,Biryani,Chinese"|"Kolkata"|"Kankurgachi"|"https://www.zomato.com/kolkata/kankurgachi-dhaba-kankurgachi/info"|"52"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"702"
"Dariole"|"350"|"Bakery,Fast Food,Beverages"|"Kolkata"|"Theatre Road"|"https://www.zomato.com/kolkata/dariole-theatre-road/info"|"52"|"Bakery"|"830am to 830pm(Mon-Sun)"|"Very Good"|"4.0"|"211"
"Chennai Express"|"250"|"South Indian,Street Food"|"Kolkata"|"Kasba"|"https://www.zomato.com/kolkata/chennai-express-kasba/info"|"52"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Average"|"2.8"|"142"
"The Quince Restaurant Cum Bar"|"800"|"North Indian,Chinese,Italian,Continental"|"Kolkata"|"Behala"|"https://www.zomato.com/kolkata/the-quince-restaurant-cum-bar-behala/info"|"52"|"Casual Dining"|"1030am to 12midnight(Mon-Sun)"|"Very Good"|"4.0"|"146"
"Blaze Restaurant"|"700"|"Chinese,North Indian"|"Kolkata"|"New Town"|"https://www.zomato.com/kolkata/blaze-restaurant-1-new-town/info"|"52"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.5"|"28"
"Panch Bhog"|"100"|"Mishti"|"Kolkata"|"Shibpur"|"https://www.zomato.com/kolkata/panch-bhog-shibpur/info"|"52"|"none"|"8am to 10pm(Mon-Sun)"|"Good"|"3.8"|"380"
"Chinese Quisine"|"400"|"Continental,Chinese,Asian,Thai"|"Kolkata"|"Sector 5-- Salt Lake"|"https://www.zomato.com/kolkata/chinese-quisine-sector-5-salt-lake/info"|"52"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"Very Good"|"4.0"|"232"
"Shibani Sweets"|"100"|"Mishti"|"Kolkata"|"Sodepur"|"https://www.zomato.com/kolkata/shibani-sweets-sodepur/info"|"52"|"Sweet Shop"|"7am to 10pm(Mon-Sun)"|"Good"|"3.8"|"237"
"Super Haji Biryani"|"150"|"Biryani,North Indian"|"Kolkata"|"Chinar Park"|"https://www.zomato.com/kolkata/super-haji-biryani-chinar-park/info"|"52"|"Kiosk"|"1030am to 12midnight(Mon,Tue,Wed,Thu,Sat..."|"Good"|"3.6"|"74"
"U.P. Bihar"|"500"|"North Indian,Biryani,Rolls"|"Kolkata"|"New Market Area"|"https://www.zomato.com/kolkata/u-p-bihar-new-market-area/info"|"52"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"380"
"Chinese Pandit"|"350"|"Chinese,Momos"|"Kolkata"|"Tollygunge"|"https://www.zomato.com/kolkata/chinese-pandit-tollygunge/info"|"52"|"Quick Bites"|"12noon to 1130pm(Mon-Sun)"|"Average"|"3.3"|"527"
"Paris Cafe"|"1000"|"Cafe,Desserts,Bakery,Momos"|"Kolkata"|"Ballygunge"|"https://www.zomato.com/kolkata/paris-cafe-ballygunge/info"|"52"|"Café"|"830am to 11pm(Mon,Tue,Wed,Fri,Sat,Sun),5pm..."|"Very Good"|"4.0"|"1015"
