"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Restaurant"|"400"|"North Indian,Rajasthani"|"Kota"|"Talwandi"|"https://www.zomato.com/kota/the-restaurant-talwandi/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Friends Restaurant"|"400"|"North Indian,Chinese"|"Kota"|"Civil Lines"|"https://www.zomato.com/kota/friends-restaurant-civil-lines/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Chatoree"|"200"|"Fast Food,Chinese,Beverages"|"Kota"|"City Mall-- Indraprastha Industrial Area"|"https://www.zomato.com/kota/chatoree-indraprastha-industrial-area/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Jai Snacks Point"|"400"|"North Indian,Mughlai"|"Kota"|"Talwandi"|"https://www.zomato.com/kota/jai-snacks-point-talwandi/info"|"38"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Capresso"|"150"|"Fast Food,Beverages"|"Kota"|"City Mall-- Indraprastha Industrial Area"|"https://www.zomato.com/kota/capresso-indraprastha-industrial-area/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kanha Pure Veg"|"400"|"North Indian"|"Kota"|"Talwandi"|"https://www.zomato.com/kota/kanha-pure-veg-talwandi/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Punjabi Royal Chicken"|"300"|"Mughlai"|"Kota"|"RK Puram - E"|"https://www.zomato.com/kota/punjabi-royal-chicken-rk-puram-e/info"|"38"|"Quick Bites"|"NA"|"None"|"Opening"|"Opening"
"Shreeji Restaurant"|"150"|"Indian"|"Kota"|"Ladpura"|"https://www.zomato.com/kota/shreeji-restaurant-ladpura/info"|"38"|"none"|"1pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Orbit Foods"|"150"|"Fast Food"|"Kota"|"Talwandi"|"https://www.zomato.com/kota/orbit-foods-talwandi/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"BBQ Nation Delivery"|"600"|"BBQ"|"Kota"|"RPS Colony"|"https://www.zomato.com/kota/bbq-nation-delivery-rps-colony/info"|"38"|"none"|"10am to 4am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Kake ka Hotel"|"250"|"Biryani,Chinese,North Indian"|"Kota"|"RPS Colony"|"https://www.zomato.com/kota/kake-ka-hotel-rps-colony/info"|"38"|"none"|"1130am to 2am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel The Pride"|"200"|"Chinese"|"Kota"|"Rangbari"|"https://www.zomato.com/kota/hotel-the-pride-rangbari/info"|"38"|"Quick Bites"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Baba Juice Center"|"150"|"Beverages,Juices,Fast Food"|"Kota"|"Talwandi"|"https://www.zomato.com/kota/baba-juice-center-talwandi/info"|"38"|"Beverage Shop"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Madhuram Restaurant"|"150"|"Continental,Indian"|"Kota"|"Rangbari"|"https://www.zomato.com/kota/madhuram-restaurant-1-rangbari/info"|"38"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Taste of Town"|"250"|"Mughlai"|"Kota"|"Rangbari"|"https://www.zomato.com/kota/taste-of-town-rangbari/info"|"38"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
