"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"O'Biryani by OYO"|"500"|"Biryani"|"Lucknow"|"Gomti Nagar"|"https://www.zomato.com/lucknow/obiryani-by-oyo-6-gomti-nagar/info"|"80"|"none"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Bon Salamah"|"600"|"Mughlai"|"Lucknow"|"Indira Nagar"|"https://www.zomato.com/lucknow/bon-salamah-2-indira-nagar/info"|"80"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Punjabi Thaat"|"200"|"North Indian,Indian"|"Lucknow"|"Fun Republic Mall-- Gomti Nagar"|"https://www.zomato.com/lucknow/punjabi-thaat-gomti-nagar/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.7"|"12"
"Al-Baik.Com"|"300"|"Biryani,Burger"|"Lucknow"|"Indira Nagar"|"https://www.zomato.com/lucknow/al-baik-com-6-indira-nagar/info"|"80"|"none"|"(Mon-Sun)"|"Average"|"3.1"|"4"
"Twisted"|"400"|"Fast Food"|"Lucknow"|"Gomti Nagar"|"https://www.zomato.com/lucknow/twisted-1-gomti-nagar/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.6"|"11"
"Desi Tadka"|"200"|"North Indian,Chinese,South Indian"|"Lucknow"|"Alambagh"|"https://www.zomato.com/lucknow/desi-tadka-1-alambagh/info"|"80"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Average"|"3.1"|"6"
"SNS Food Bank"|"300"|"North Indian,Chinese"|"Lucknow"|"Rajajipuram"|"https://www.zomato.com/lucknow/sns-food-bank-2-rajajipuram/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"13"
"Nawabi Kitchen"|"400"|"North Indian,Mughlai"|"Lucknow"|"Gomti Nagar"|"https://www.zomato.com/lucknow/nawabi-kitchen-gomti-nagar/info"|"80"|"Quick Bites"|"2pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Tea Factory"|"250"|"Fast Food,Beverages"|"Lucknow"|"Gomti Nagar"|"https://www.zomato.com/lucknow/the-tea-factory-1-gomti-nagar/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"18"
"Al Baike.cook"|"200"|"North Indian"|"Lucknow"|"Husain Ganj"|"https://www.zomato.com/lucknow/al-baike-cook-husain-ganj/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"4"
"Butt Sweets Shop"|"400"|"Mithai"|"Lucknow"|"Chowk"|"https://www.zomato.com/lucknow/butt-sweets-shop-chowk/info"|"80"|"Sweet Shop"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Up 32 The Food Stop"|"200"|"Chinese,North Indian,South Indian"|"Lucknow"|"Alambagh"|"https://www.zomato.com/lucknow/up-32-the-food-stop-1-alambagh/info"|"80"|"Casual Dining"|"1pm to 1030pm(Mon-Sun)"|"Average"|"2.9"|"16"
"Chicken Liken"|"200"|"North Indian"|"Lucknow"|"Gomti Nagar"|"https://www.zomato.com/lucknow/chicken-liken-gomti-nagar/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"7"
"China Town"|"300"|"Chinese"|"Lucknow"|"Aliganj"|"https://www.zomato.com/lucknow/china-town-aliganj/info"|"80"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"20"
"Mughlai Handiwala"|"400"|"Mughlai"|"Lucknow"|"Aashiana"|"https://www.zomato.com/lucknow/mughlai-handiwala-1-aashiana/info"|"80"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
