"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Samosa Express"|"200"|"Fast Food,Street Food"|"Ludhiana"|"PAU"|"https://www.zomato.com/ludhiana/samosa-express-pau/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Apni Nighi Rasoi"|"200"|"North Indian"|"Ludhiana"|"Civil Lines"|"https://www.zomato.com/ludhiana/apni-nighi-rasoi-civil-lines/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"8"
"Mithu Chicken Pahwa Road Wale"|"350"|"North Indian"|"Ludhiana"|"Gill Road"|"https://www.zomato.com/ludhiana/mithu-chicken-pahwa-road-wale-gill-road/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Lambu Special Pav Bhaji & Bhelpuri"|"300"|"Fast Food"|"Ludhiana"|"Gurudev Nagar"|"https://www.zomato.com/ludhiana/lambu-special-pav-bhaji-bhelpuri-gurdev-nagar/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Raj Restaurant"|"450"|"North Indian,Chinese"|"Ludhiana"|"PAU"|"https://www.zomato.com/ludhiana/the-raj-restaurant-2-pau/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"16"
"Nanu Steam Chicken"|"200"|"Fast Food"|"Ludhiana"|"Samrala Chowk"|"https://www.zomato.com/ludhiana/nanu-steam-chicken-samrala-chowk/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"22"
"Hot Bread Bakes and Confectionaries"|"1200"|"Bakery,Desserts"|"Ludhiana"|"Sarabha Nagar"|"https://www.zomato.com/ludhiana/hot-bread-bakes-and-confectionaries-sarabha-nagar/info"|"63"|"Bakery"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"16"
"Megha Fast Food"|"200"|"Fast Food"|"Ludhiana"|"Ludhiana Junction"|"https://www.zomato.com/ludhiana/megha-fast-food-ludhiana-junction/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"5"
"Cheat Meal"|"300"|"Bakery"|"Ludhiana"|"Model Town"|"https://www.zomato.com/ludhiana/cheat-meal-model-town/info"|"63"|"Bakery"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Punjab Broiler's"|"300"|"North Indian,Fast Food"|"Ludhiana"|"Model Town"|"https://www.zomato.com/ludhiana/punjab-broilers-model-town/info"|"63"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"17"
"Naveen Gentleman Sweets"|"400"|"Mithai"|"Ludhiana"|"Industrial Area"|"https://www.zomato.com/ludhiana/naveen-gentleman-sweets-1-industrial-area/info"|"63"|"Sweet Shop"|"9am to 1115pm(Mon-Sun)"|"Average"|"3.3"|"13"
"Rishu Dhaba"|"400"|"North Indian"|"Ludhiana"|"BRS Nagar"|"https://www.zomato.com/ludhiana/rishu-dhaba-brs-nagar/info"|"63"|"Dhaba"|"12noon to 4pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"16"
"Soni's Vegetarian 17 Degree"|"400"|"Indian"|"Ludhiana"|"PAU"|"https://www.zomato.com/ludhiana/sonis-vegetarian-17-degree-pau/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"10"
"Bala Ji Refreshment"|"150"|"Fast Food"|"Ludhiana"|"Civil Lines"|"https://www.zomato.com/ludhiana/bala-ji-refreshment-1-civil-lines/info"|"63"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Raj Buffet"|"300"|"North Indian"|"Ludhiana"|"Dugri"|"https://www.zomato.com/ludhiana/raj-buffet-dugri/info"|"63"|"Casual Dining"|"1230pm to 4pm,8pm to 11pm(Mon-Sun)"|"Average"|"2.9"|"18"
