"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sultthan Biriyani"|"200"|"Biryani"|"Madurai"|"Periyar"|"https://www.zomato.com/madurai/sultthan-biriyani-periyar/info"|"6"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.3"|"62"
"Blaack Forest"|"300"|"Bakery"|"Madurai"|"Periyar"|"https://www.zomato.com/madurai/blaack-forest-periyar/info"|"6"|"Bakery"|"10am to 12midnight(Mon-Sun)"|"Good"|"3.6"|"72"
"Rohit Fast Foods"|"200"|"South Indian,North Indian"|"Madurai"|"Viswanathapuram"|"https://www.zomato.com/madurai/rohit-fast-foods-viswanathapuram/info"|"6"|"Quick Bites"|"632pm to 11pm(Mon),633pm to 11pm(Tue),634pm..."|"Very Good"|"4.2"|"43"
"Jkans Hotel"|"300"|"South Indian"|"Madurai"|"Periyar"|"https://www.zomato.com/madurai/jkans-hotel-1-periyar/info"|"6"|"Quick Bites"|"1230pm to 1130pm(Mon-Sun)"|"Good"|"3.9"|"69"
"Madurai In Suvai"|"400"|"South Indian"|"Madurai"|"SS Colony"|"https://www.zomato.com/madurai/madurai-in-suvai-1-ss-colony/info"|"6"|"Casual Dining"|"630am to 11pm(Mon-Sun)"|"Good"|"3.9"|"46"
"Al Ahad Muslim Biriyani"|"300"|"Biryani"|"Madurai"|"Periyar"|"https://www.zomato.com/madurai/al-ahad-muslim-biriyani-1-periyar/info"|"6"|"Quick Bites"|"1030am to 430pm(Mon-Sun)"|"Average"|"3.3"|"28"
"Aachi Chettinadu Hotel"|"300"|"Biryani,South Indian"|"Madurai"|"Southern Railway Colony"|"https://www.zomato.com/madurai/aachi-chettinadu-hotel-southern-railway-colony/info"|"6"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Average"|"3.3"|"39"
"Arabian delight"|"250"|"South Indian,North Indian,Modern Indian"|"Madurai"|"Sathamangalam"|"https://www.zomato.com/madurai/arabian-delight-2-sathamangalam/info"|"6"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Milagu"|"300"|"North Indian,Street Food"|"Madurai"|"Periyar"|"https://www.zomato.com/madurai/hotel-milagu-periyar/info"|"6"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"49"
"Healthy Home"|"150"|"Healthy Food,South Indian"|"Madurai"|"Bethaniyapuram"|"https://www.zomato.com/madurai/healthy-home-bethaniyapuram/info"|"6"|"Quick Bites"|"1130am to 9pm(Mon-Sun)"|"Good"|"3.8"|"32"
"Waalai Aahar"|"400"|"South Indian,Chinese,Arabian,North Indian"|"Madurai"|"Sathamangalam"|"https://www.zomato.com/madurai/waalai-aahar-sathamangalam/info"|"6"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.7"|"56"
"Carnivall Restaurant"|"500"|"South Indian"|"Madurai"|"KK Nagar"|"https://www.zomato.com/madurai/carnivall-restaurant-kk-nagar/info"|"6"|"Casual Dining"|"1130am to 1145pm(Mon-Sun)"|"Good"|"3.9"|"65"
"Kasthuri Bakery & Sweets"|"100"|"Mithai,Bakery"|"Madurai"|"Villapuram"|"https://www.zomato.com/madurai/kasthuri-bakery-sweets-villapuram/info"|"6"|"Sweet Shop"|"9am to 10pm(Mon-Sun)"|"Good"|"3.5"|"22"
"Urban Bites"|"300"|"Wraps,Sandwich,Pizza,Bakery"|"Madurai"|"Sathamangalam"|"https://www.zomato.com/madurai/urban-bites-sathamangalam/info"|"6"|"Café"|"11am to 10pm(Mon-Sun)"|"Good"|"3.6"|"13"
"Mukku Kadai K Subbu Moongil Thottam"|"350"|"South Indian,North Indian"|"Madurai"|"KK Nagar"|"https://www.zomato.com/madurai/mukku-kadai-k-subbu-moongil-thottam-kk-nagar/info"|"6"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.9"|"40"
