"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Johnny's Pizza"|"400"|"Italian"|"Manali"|"Old Manali"|"https://www.zomato.com/manali/johnnys-pizza-old-manali/info"|"1"|"Quick Bites"|"24"|"Average"|"3.3"|"38"
"Taste of India"|"600"|"South Indian,Italian,Chinese,North Indian,Pizza"|"Manali"|"Tibetan Colony"|"https://www.zomato.com/manali/taste-of-india-tibetan-colony/info"|"1"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"36"
"Kullu Food Cafe"|"500"|"Cafe"|"Manali"|"Kullu"|"https://www.zomato.com/manali/kullu-food-cafe-kullu/info"|"1"|"Café"|"930am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"31"
"Italian Pizza Hut"|"400"|"Pizza"|"Manali"|"Aleo"|"https://www.zomato.com/manali/italian-pizza-hut-aleo/info"|"1"|"Quick Bites"|"11am to 10pm(Mon-Sat),Closed(Sun)"|"Average"|"3.3"|"39"
"The Poet’s Cafe"|"500"|"Cafe"|"Manali"|"Old Manali"|"https://www.zomato.com/manali/the-poets-cafe-1-old-manali/info"|"1"|"Café"|"830am to 1130pm(Mon-Sun)"|"Average"|"3.3"|"19"
"Maitre Point"|"200"|"North Indian"|"Manali"|"Kullu"|"https://www.zomato.com/manali/maitre-point-kullu/info"|"1"|"Quick Bites"|"9am to 9pm(Mon-Sun)"|"Average"|"3.2"|"13"
"KFC Food Corner"|"400"|"Mughlai,Fast Food"|"Manali"|"Kullu"|"https://www.zomato.com/manali/kfc-food-corner-kullu/info"|"1"|"Quick Bites"|"9am to 10pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Punjabi Plaza"|"500"|"North Indian"|"Manali"|"Aleo"|"https://www.zomato.com/manali/punjabi-plaza-aleo/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sapna Sweet"|"250"|"North Indian,Mithai"|"Manali"|"Kullu"|"https://www.zomato.com/manali/sapna-sweet-kullu/info"|"1"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Cut of Joy Tearoom and Eatery"|"400"|"Cafe,Fast Food"|"Manali"|"Tibetan Colony"|"https://www.zomato.com/manali/cut-of-joy-tearoom-and-eatery-tibetan-colony/info"|"1"|"Café"|"730am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Parvati Food Point"|"200"|"North Indian,Fast Food"|"Manali"|"Kullu"|"https://www.zomato.com/manali/parvati-food-point-kullu/info"|"1"|"Quick Bites"|"730am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rishi Fast Food"|"400"|"Fast Food,North Indian,Chinese"|"Manali"|"Kullu"|"https://www.zomato.com/manali/rishi-fast-food-kullu/info"|"1"|"Quick Bites"|"10am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rana Confectionery and Food Corner"|"200"|"Bakery,Fast Food"|"Manali"|"Kullu"|"https://www.zomato.com/manali/rana-confectionery-and-food-corner-kullu/info"|"1"|"Confectionery"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Root"|"500"|"North Indian,South Indian,Chinese"|"Manali"|"Kullu"|"https://www.zomato.com/manali/root-kullu/info"|"1"|"Casual Dining"|"830am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Chancellor"|"900"|"Finger Food"|"Manali"|"Kullu"|"https://www.zomato.com/manali/chancellor-kullu/info"|"1"|"Bar"|"11am to 1230AM(Mon-Sun)"|"Not rated"|"-"|"-"
