"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Taj's Broasted Chicken & More"|"250"|"Burger,Wraps,Finger Food,Fast Food"|"Mangalore"|"Kankanady"|"https://www.zomato.com/mangalore/tajs-broasted-chicken-more-kankanady/info"|"24"|"Quick Bites"|"2pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"30"
"Home made Tempting Sandwiches"|"100"|"Sandwich"|"Mangalore"|"Bendoor"|"https://www.zomato.com/mangalore/home-made-tempting-sandwiches-bendoor/info"|"24"|"none"|"8am to 12midnight(Mon-Sun)"|"Average"|"3.1"|"13"
"Hunger Lust"|"200"|"Fast Food"|"Mangalore"|"Marnamikatte"|"https://www.zomato.com/mangalore/hunger-lust-marnamikatte/info"|"24"|"none"|"7pm to 3am(Mon-Sun)"|"Good"|"3.6"|"40"
"Amantrana"|"400"|"North Indian,South Indian,Chinese"|"Mangalore"|"Attavar"|"https://www.zomato.com/mangalore/amantrana-attavar/info"|"24"|"Casual Dining"|"12noon to 330pm,630pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"26"
"Green Chilli"|"300"|"North Indian,Arabian,Chinese,South Indian,Biryani,Rolls"|"Mangalore"|"Mallikatte"|"https://www.zomato.com/mangalore/green-chilli-mallikatte/info"|"24"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.4"|"11"
"Hotel South India"|"400"|"South Indian,Seafood,North Indian,Biryani,Chinese"|"Mangalore"|"Attavar"|"https://www.zomato.com/mangalore/hotel-south-india-attavar/info"|"24"|"Casual Dining"|"1130am to 4pm,630pm to 11pm(Mon-Sun)"|"Good"|"3.5"|"34"
"Maanadhige"|"600"|"Seafood,Mangalorean,North Indian,South Indian"|"Mangalore"|"Kottara"|"https://www.zomato.com/mangalore/maanadhige-kottara/info"|"24"|"Casual Dining"|"11am to 330pm,630pm to 1130pm(Mon-Thu),11am..."|"Average"|"3.4"|"29"
"Golden Gate"|"500"|"North Indian,Biryani,Mangalorean,Chinese"|"Mangalore"|"Lalbagh"|"https://www.zomato.com/mangalore/golden-gate-lalbagh/info"|"24"|"Casual Dining"|"10am to 1130pm(Mon-Sun)"|"Average"|"3.3"|"35"
"Grub monkey"|"300"|"Sandwich,Juices,Fast Food,Desserts,Burger"|"Mangalore"|"Derlakatte"|"https://www.zomato.com/mangalore/grub-monkey-derlakatte/info"|"24"|"none"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"15"
"Trishna Hotels"|"700"|"South Indian,North Indian,Biryani,Mangalorean"|"Mangalore"|"Trishna Hotels"|"https://www.zomato.com/mangalore/trishna-hotels-1-kavoor/info"|"24"|"Casual Dining"|"1130am to 3pm,7pm to 11pm(Mon-Sun)"|"Good"|"3.5"|"15"
"Hotel Salwa"|"450"|"Biryani,Kerala,Arabian,South Indian"|"Mangalore"|"Hampankatta"|"https://www.zomato.com/mangalore/hotel-salwa-hampankatta/info"|"24"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Good"|"3.6"|"34"
"Kyle's The Restaurant"|"450"|"North Indian,Mangalorean,Continental,BBQ"|"Mangalore"|"Derlakatte"|"https://www.zomato.com/mangalore/kyles-the-restaurant-derlakatte/info"|"24"|"none"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"10"
"Aquarius"|"500"|"North Indian,South Indian,Chinese"|"Mangalore"|"Hampankatta"|"https://www.zomato.com/mangalore/aquarius-hampankatta/info"|"24"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Average"|"2.5"|"20"
"Wine and Dine"|"200"|"Fast Food"|"Mangalore"|"Thokottu"|"https://www.zomato.com/mangalore/wine-and-dine-thokottu/info"|"24"|"none"|"11am to 1030pm(Mon),11am to 11pm(Tue-Sun)"|"Average"|"3.3"|"17"
"S Cube Pudding Bar"|"120"|"Desserts"|"Mangalore"|"Kodailbail"|"https://www.zomato.com/mangalore/s-cube-pudding-bar-kodailbail/info"|"24"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"14"
