"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Thampu Thaana"|"250"|"Finger Food,Beverages,Juices,South Indian"|"Manipal"|"Maruthi Veethika"|"https://www.zomato.com/manipal/thampu-thaana-maruthi-veethika/info"|"8"|"Quick Bites"|"12noon to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Tasty Land"|"0"|"Arabian"|"Manipal"|"Saralebettu"|"https://www.zomato.com/manipal/tasty-land-saralebettu/info"|"8"|"Casual Dining"|"630am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ainn Fast Food"|"300"|"Fast Food"|"Manipal"|"Kidiyoor"|"https://www.zomato.com/manipal/ainn-fast-food-kidiyoor/info"|"8"|"Quick Bites"|"12noon to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sri Krishna Cafe"|"300"|"South Indian"|"Manipal"|"Maruthi Veethika"|"https://www.zomato.com/manipal/sri-krishna-cafe-maruthi-veethika/info"|"8"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Bhavya"|"250"|"Seafood,South Indian"|"Manipal"|"Brahmagiri"|"https://www.zomato.com/manipal/hotel-bhavya-brahmagiri-udupi/info"|"8"|"Quick Bites"|"11am to 8pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Subway"|"500"|"American"|"Manipal"|"KMC Food Court-- Eshwar Nagar"|"https://www.zomato.com/manipal/subway-eshwar-nagar/info"|"8"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"44"
"Saiba"|"450"|"Kebab,North Indian,Rolls"|"Manipal"|"Eshwar Nagar"|"https://www.zomato.com/manipal/saiba-1-eshwar-nagar/info"|"8"|"Food Court"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"33"
"Dishes Family Restaurant"|"400"|"North Indian"|"Manipal"|"Vidyaratna Nagar"|"https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar/info"|"8"|"Quick Bites"|"1130am to 3pm,530pm to 1045pm(Mon,Tue,Wed..."|"Good"|"3.5"|"24"
"Country Inn - Mosaic"|"1000"|"Continental"|"Manipal"|"Country Inn by Radisson-- Vidyaratna Nagar"|"https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar/info"|"8"|"Casual Dining"|"7am to 1030am,12noon to 330pm,7pm to 11pm..."|"Average"|"3.3"|"24"
"Hotel Swadisht"|"400"|"Biryani,Chinese,North Indian"|"Manipal"|"Kinnimulki"|"https://www.zomato.com/manipal/hotel-swadisht-kinnimulki-udupi/info"|"8"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"71"
"Pizza Hut"|"400"|"Pizza"|"Manipal"|"Vidyaratna Nagar"|"https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar/info"|"8"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"22"
"Pind Punjabi"|"400"|"North Indian"|"Manipal"|"Tiger Circle"|"https://www.zomato.com/manipal/pind-punjabi-tiger-circle/info"|"8"|"Quick Bites"|"11am to 4pm,7pm to 1030pm(Mon-Sun)"|"Average"|"3.4"|"27"
"Unique Hyderabadi Restaurant"|"400"|"Biryani"|"Manipal"|"Dasharath Nagar"|"https://www.zomato.com/manipal/unique-hyderabadi-restaurant-dasharath-nagar/info"|"8"|"Quick Bites"|"1045am to 3pm,630pm to 11pm(Mon-Sun)"|"Good"|"3.5"|"42"
"Drips Bakery and Cakes"|"300"|"Bakery"|"Manipal"|"Vidyaratna Nagar"|"https://www.zomato.com/manipal/drips-bakery-and-cakes-vidyaratna-nagar/info"|"8"|"Bakery"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"12"
"Manna Rolls"|"150"|"Rolls"|"Manipal"|"Vidyaratna Nagar"|"https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar/info"|"8"|"Kiosk"|"1030am to 1030pm(Mon-Sun)"|"Good"|"3.6"|"38"
