"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hotel Krome"|"1000"|"Finger Food"|"Meerut"|"Mohkam Pur"|"https://www.zomato.com/meerut/hotel-krome-mohkam-pur/info"|"19"|"Lounge"|"11am to 12midnight(Mon-Sun)"|"Average"|"3.0"|"7"
"Punjabi Vaishno Dhaba"|"200"|"North Indian"|"Meerut"|"Meerut Cantt"|"https://www.zomato.com/meerut/punjabi-vaishno-dhaba-meerut-cantt/info"|"19"|"Quick Bites"|"11am to 4pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Tandoori Club"|"800"|"North Indian,Chinese"|"Meerut"|"Mohkam Pur"|"https://www.zomato.com/meerut/tandoori-club-mohkam-pur/info"|"19"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Chicken Plaza"|"300"|"North Indian"|"Meerut"|"Shastri Nagar"|"https://www.zomato.com/meerut/chicken-plaza-shastri-nagar/info"|"19"|"Quick Bites"|"4pm to 11pm(Mon-Sun)"|"Average"|"3.0"|"7"
"Arora Baker's And Snacks Corner"|"150"|"Bakery"|"Meerut"|"MDA"|"https://www.zomato.com/meerut/arora-bakers-and-snacks-corner-mda/info"|"19"|"Bakery"|"10am to 11pm(Mon-Sun)"|"Average"|"3.0"|"5"
"Icy N Spicy"|"150"|"South Indian,Fast Food,Chinese,Beverages"|"Meerut"|"Shastri Nagar"|"https://www.zomato.com/meerut/icy-n-spicy-shastri-nagar/info"|"19"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Shri Amarnath Bhoj"|"200"|"North Indian"|"Meerut"|"Shastri Nagar"|"https://www.zomato.com/meerut/shri-amarnath-bhoj-shastri-nagar/info"|"19"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"5"
"Spice Affair Restaurant"|"600"|"North Indian,Chinese"|"Meerut"|"Ganga Nagar"|"https://www.zomato.com/meerut/spice-affair-restaurant-ganga-nagar/info"|"19"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Lajawab Restaurant"|"200"|"Chinese,Fast Food"|"Meerut"|"Meerut Cantt"|"https://www.zomato.com/meerut/lajawab-restaurant-meerut-cantt/info"|"19"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Food Shala"|"400"|"North Indian"|"Meerut"|"Mohkam Pur"|"https://www.zomato.com/meerut/food-shala-mohkam-pur/info"|"19"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Smuggler's Aroma"|"100"|"North Indian"|"Meerut"|"Meerut Cantt"|"https://www.zomato.com/meerut/smugglers-aroma-meerut-cantt/info"|"19"|"Quick Bites"|"11am to 1030pm(Mon-Sun)"|"Average"|"3.1"|"7"
"Ram Chandra Sahai's"|"400"|"Fast Food,Mithai"|"Meerut"|"Shastri Nagar"|"https://www.zomato.com/meerut/ram-chandra-sahais-shastri-nagar/info"|"19"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Cafe Treat - Hyphen Hotel"|"800"|"North Indian"|"Meerut"|"Shopprix Mall-- Mohkam Pur"|"https://www.zomato.com/meerut/cafe-treat-hyphen-hotel-mohkam-pur/info"|"19"|"Casual Dining"|"730am to 1030am,730pm to 11pm,1230pm to ..."|"Average"|"3.0"|"9"
"Black Pepper Restaurant"|"400"|"North Indian"|"Meerut"|"Pallavpuram"|"https://www.zomato.com/meerut/black-pepper-restaurant-pallavpuram/info"|"19"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Savya Sachi Restaurant & Sweets"|"200"|"North Indian"|"Meerut"|"Pallavpuram"|"https://www.zomato.com/meerut/savya-sachi-restaurant-sweets-pallavpuram/info"|"19"|"Casual Dining"|"8am to 1030pm(Mon-Sun)"|"Good"|"3.9"|"5"
