"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Glen"|"700"|"Cafe,Turkish"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/the-glen-the-mall-road/info"|"1"|"Café"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.7"|"59"
"Urban Turban"|"1000"|"North Indian,Mughlai,Momos"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/urban-turban-the-mall-road/info"|"1"|"Casual Dining"|"11am to 1130pm(Mon-Sun)"|"Good"|"3.9"|"130"
"Tunday Kababi"|"500"|"Mughlai"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/tunday-kababi-the-mall-road/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"43"
"The Soy Story"|"500"|"Tibetan,Chinese,Thai,Momos"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/the-soy-story-the-mall-road/info"|"1"|"Quick Bites"|"1030am to 10pm(Mon-Sun)"|"Good"|"3.6"|"28"
"Aap Ka Aahar"|"600"|"North Indian,Mughlai,Chinese"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/aap-ka-aahar-the-mall-road/info"|"1"|"Casual Dining"|"730am to 1230AM(Mon-Sun)"|"Average"|"3.3"|"9"
"Funjabi Tandoorzzz"|"600"|"North Indian,Continental,Chinese"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/funjabi-tandoorzzz-the-mall-road/info"|"1"|"Quick Bites"|"930am to 11pm(Mon-Sun)"|"Good"|"3.5"|"23"
"Doma's"|"500"|"Tibetan,Chinese,Momos"|"Mussoorie"|"Landour"|"https://www.zomato.com/mussoorie/domas-landour/info"|"1"|"Casual Dining"|"11am to 9pm(Mon-Sun)"|"Good"|"3.5"|"27"
"Mussoorie Kathi Rolls"|"300"|"Rolls"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/mussoorie-kathi-rolls-the-mall-road/info"|"1"|"Quick Bites"|"12noon to 130am(Mon-Sun)"|"Average"|"3.3"|"17"
"Golden Restaurant"|"450"|"North Indian,Chinese"|"Mussoorie"|"Landour"|"https://www.zomato.com/mussoorie/golden-restaurant-landour/info"|"1"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Le Chef"|"1000"|"North Indian,Fast Food,Cafe"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/le-chef-the-mall-road/info"|"1"|"Casual Dining"|"930am to 11pm(Mon-Sun)"|"Average"|"3.2"|"18"
"Peppers Restaurant"|"550"|"North Indian,Fast Food"|"Mussoorie"|"The Mall Road"|"https://www.zomato.com/mussoorie/peppers-restaurant-the-mall-road/info"|"1"|"Quick Bites"|"9am to 12midnight(Mon-Sun)"|"Not rated"|"-"|"-"
