"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hangout Multicuisine Restaurant"|"700"|"North Indian,South Indian,Chinese"|"Mysore"|"Bogadi"|"https://www.zomato.com/mysore/hangout-multicuisine-restaurant-bogadi/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"4"
"Al- Saffa Restaurant"|"400"|"Biryani,Mughlai"|"Mysore"|"Kalyangiri"|"https://www.zomato.com/mysore/al-saffa-restaurant-kalyangiri/info"|"28"|"Quick Bites"|"1030am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Cherry Berry Natural Icecreams"|"150"|"Ice Cream"|"Mysore"|"Gokulam"|"https://www.zomato.com/mysore/cherry-berry-natural-icecreams-1-gokulam/info"|"28"|"Dessert Parlor"|"11am to 11pm(Mon-Fri),11am to 1130pm(Sat-Sun)"|"Average"|"3.1"|"4"
"S.L.V Veg"|"100"|"South Indian,Fast Food"|"Mysore"|"Kuvempunagar"|"https://www.zomato.com/mysore/s-l-v-veg-kuvempunagar/info"|"28"|"Quick Bites"|"5pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Amul Ice Cream"|"150"|"Desserts,Ice Cream"|"Mysore"|"Vijay Nagar"|"https://www.zomato.com/mysore/amul-ice-cream-vijay-nagar/info"|"28"|"Dessert Parlor"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Mysore Darbar"|"700"|"South Indian,North Indian,Chinese"|"Mysore"|"Kuvempunagar"|"https://www.zomato.com/mysore/mysore-darbar-kuvempunagar/info"|"28"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Athithi Restaurant"|"800"|"Chinese,North Indian"|"Mysore"|"Vijay Nagar"|"https://www.zomato.com/mysore/athithi-restaurant-vijay-nagar/info"|"28"|"Bar"|"1130am to 330pm,630pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bonkers"|"300"|"Desserts"|"Mysore"|"Jayalakhsmipuram"|"https://www.zomato.com/mysore/bonkers-jayalakhsmipuram/info"|"28"|"Quick Bites"|"1030am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Domino's Pizza"|"400"|"Pizza,Fast Food"|"Mysore"|"Chamrajpura"|"https://www.zomato.com/mysore/dominos-pizza-2-chamrajpura/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Nalas Aappakadai"|"350"|"South Indian"|"Mysore"|"Chamrajpura"|"https://www.zomato.com/mysore/nalas-aappakadai-chamrajpura/info"|"28"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Koorg Kitchen"|"400"|"North Indian,South Indian"|"Mysore"|"Vidyaranyapura"|"https://www.zomato.com/mysore/koorg-kitchen-vidyaranyapura/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"ISIRI Multi Cuisine Family Restaurant"|"450"|"South Indian,North Indian,Chinese"|"Mysore"|"Kuvempunagar"|"https://www.zomato.com/mysore/isiri-multi-cuisine-family-restaurant-kuvempunagar/info"|"28"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Taste Of Andhra"|"500"|"Andhra,Biryani"|"Mysore"|"Tilak Nagar"|"https://www.zomato.com/mysore/taste-of-andhra-tilak-nagar/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Box 5"|"150"|"North Indian"|"Mysore"|"Kuvempunagar"|"https://www.zomato.com/mysore/box-5-kuvempunagar/info"|"28"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Mysore Darbar"|"300"|"Chinese,North Indian,South Indian"|"Mysore"|"Kuvempunagar"|"https://www.zomato.com/mysore/mysore-darbar-1-kuvempunagar/info"|"28"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
