"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Marathi Tadka"|"500"|"Maharashtrian"|"Nagpur"|"Ayodhya Nagar"|"https://www.zomato.com/nagpur/marathi-tadka-ayodhya-nagar/info"|"93"|"none"|"8am to 11pm(Mon-Sun)"|"Average"|"3.0"|"14"
"Punjabi Haveli"|"400"|"North Indian"|"Nagpur"|"Pachpaoli"|"https://www.zomato.com/nagpur/punjabi-haveli-pachpaoli/info"|"93"|"Casual Dining"|"24"|"Average"|"3.2"|"9"
"Taj Biryani Center"|"200"|"Biryani"|"Nagpur"|"Nandanvan"|"https://www.zomato.com/nagpur/taj-biryani-center-nandanvan/info"|"93"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Average"|"3.0"|"6"
"Waffy Pizza & Restaurant"|"450"|"Fast Food,South Indian,Pizza"|"Nagpur"|"Ayodhya Nagar"|"https://www.zomato.com/nagpur/waffy-pizza-restaurant-ayodhya-nagar/info"|"93"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.8"|"5"
"Tempting Buds"|"300"|"North Indian"|"Nagpur"|"Ayodhya Nagar"|"https://www.zomato.com/nagpur/tempting-buds-ayodhya-nagar/info"|"93"|"Quick Bites"|"5pm to 12midnight(Mon-Sun)"|"Not rated"|"-"|"-"
"Flavours Bharkadevi Ice cream"|"150"|"Ice Cream,Beverages"|"Nagpur"|"Gandhibagh"|"https://www.zomato.com/nagpur/flavours-bharkadevi-ice-cream-gandhibagh/info"|"93"|"Dessert Parlor"|"11am to 1130pm(Mon-Sun)"|"Average"|"3.0"|"4"
"The Radar Cafe"|"500"|"Chinese,Continental,North Indian"|"Nagpur"|"Sadar"|"https://www.zomato.com/nagpur/the-radar-cafe-sadar/info"|"93"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Laggunaa Bloo"|"800"|"North Indian,Chinese"|"Nagpur"|"Wardhaman Nagar"|"https://www.zomato.com/nagpur/laggunaa-bloo-wardhaman-nagar/info"|"93"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.0"|"12"
"Makkhan Singh"|"400"|"North Indian,Chinese"|"Nagpur"|"Bajaj Nagar"|"https://www.zomato.com/nagpur/makkhan-singh-bajaj-nagar/info"|"93"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Saibaba Food Court"|"350"|"North Indian"|"Nagpur"|"Jaripatka"|"https://www.zomato.com/nagpur/saibaba-food-court-jaripatka/info"|"93"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"13"
"Veg Saoji"|"200"|"Maharashtrian"|"Nagpur"|"Wardhaman Nagar"|"https://www.zomato.com/nagpur/veg-saoji-wardhaman-nagar/info"|"93"|"Quick Bites"|"6pm to 11pm(Mon-Sun)"|"Average"|"3.1"|"12"
"Assal Saoji Bhojanalay"|"300"|"Maharashtrian"|"Nagpur"|"Ayodhya Nagar"|"https://www.zomato.com/nagpur/assal-saoji-bhojanalay-ayodhya-nagar/info"|"93"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.1"|"8"
"Hotel Swad"|"500"|"North Indian"|"Nagpur"|"Gandhibagh"|"https://www.zomato.com/nagpur/hotel-swad-gandhibagh/info"|"93"|"Quick Bites"|"9am to 12midnight(Mon-Sun)"|"Average"|"3.0"|"4"
"Nagpur Bar & Restaurant"|"600"|"North Indian,Mughlai,Chinese,Finger Food,Afghan"|"Nagpur"|"Mohan Nagar"|"https://www.zomato.com/nagpur/nagpur-bar-restaurant-mohan-nagar/info"|"93"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Average"|"3.1"|"10"
"Spice Mystery"|"500"|"North Indian,Chinese,Fast Food"|"Nagpur"|"Pratap Nagar"|"https://www.zomato.com/nagpur/spice-mystery-1-pratap-nagar/info"|"93"|"none"|"12noon to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
