"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Anupam Restaurant"|"700"|"North Indian"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/anupam-restaurant-mall-road/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"73"
"Sweet Home Cuisine Restaurant"|"350"|"North Indian,Chinese,Rolls"|"Nainital"|"Tallital"|"https://www.zomato.com/nainital/sweet-home-cuisine-restaurant-tallital/info"|"1"|"Quick Bites"|"9am to 1030pm(Mon-Sun)"|"Average"|"3.4"|"40"
"Pots & Stones Cafe"|"1100"|"Beverages"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/pots-stones-cafe-mall-road/info"|"1"|"Café"|"1030am to 1030pm(Mon-Sun)"|"Good"|"3.5"|"72"
"New Sher E Punjab"|"350"|"North Indian"|"Nainital"|"Tallital"|"https://www.zomato.com/nainital/new-sher-e-punjab-tallital/info"|"1"|"Casual Dining"|"10am to 430pm,630pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"27"
"Shiva Pure Vegetarian Restaurant"|"500"|"North Indian"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/shiva-pure-vegetarian-restaurant-mall-road/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"18"
"Nanak Restaurant"|"600"|"North Indian"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/nanak-restaurant-mall-road/info"|"1"|"Casual Dining"|"9am to 5pm,7pm to 1030pm(Mon-Sun)"|"Average"|"3.3"|"26"
"The Chocolate Room"|"700"|"Desserts"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/the-chocolate-room-mall-road/info"|"1"|"Dessert Parlor"|"10am to 10pm(Mon-Sun)"|"Average"|"3.4"|"21"
"Cafe UK 04"|"200"|"Bakery,Fast Food"|"Nainital"|"Ayarpatta"|"https://www.zomato.com/nainital/cafe-uk-04-ayarpatta/info"|"1"|"Bakery"|"9am to 10pm(Mon-Sun)"|"Average"|"3.3"|"25"
"Al Kareem Restaurant"|"200"|"Mughlai"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/al-kareem-restaurant-mall-road/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.4"|"21"
"Shiva Restaurant"|"400"|"North Indian"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/shiva-restaurant-mall-road/info"|"1"|"Casual Dining"|"9am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"10"
"Kathi Junction"|"250"|"Rolls"|"Nainital"|"Tallital"|"https://www.zomato.com/nainital/kathi-junction-tallital/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.4"|"12"
"The 2nd Wife Restaurant"|"1000"|"North Indian"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/the-2nd-wife-restaurant-mall-road/info"|"1"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"9"
"Dilli Darbaar Dlx"|"800"|"North Indian,Chinese,Mughlai"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/dilli-darbaar-dlx-mall-road/info"|"1"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.2"|"15"
"Wow Momos"|"200"|"Fast Food"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/wow-momos-mall-road/info"|"1"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.4"|"5"
"Mamu's Snacks & Bakery"|"300"|"Bakery,Fast Food"|"Nainital"|"Mall Road"|"https://www.zomato.com/nainital/mamus-snacks-bakery-mall-road/info"|"1"|"Bakery"|"9am to 9pm(Mon-Sun)"|"Average"|"3.3"|"10"
