"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sai Chinese Corner"|"200"|"Chinese"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/sai-chinese-corner-college-road/info"|"4"|"Kiosk"|"11am to 10pm(Mon-Sun)"|"Good"|"3.6"|"257"
"Cafe Goodluck"|"150"|"Iranian,North Indian,Mughlai"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/cafe-goodluck-college-road/info"|"4"|"Casual Dining"|"930am to 1030pm(Mon-Sun)"|"Very Good"|"4.0"|"51"
"21st Century Bar & Restaurant"|"800"|"North Indian"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/21st-century-bar-restaurant-college-road/info"|"4"|"Casual Dining"|"1130am to 12midnight(Mon-Fri),11am to 12midnight..."|"Very Good"|"4.0"|"111"
"Chai Tapri"|"150"|"Cafe"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/chai-tapri-college-road/info"|"4"|"Café"|"730am to 10pm(Mon-Sun)"|"Very Good"|"4.0"|"190"
"Puffs 'n' Rolls"|"250"|"Bakery,Fast Food,Rolls"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/puffs-n-rolls-college-road/info"|"4"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Good"|"3.9"|"106"
"Hotel Golden Boys and Rolls"|"100"|"Rolls,Beverages"|"Nashik"|"Parijat Nagar"|"https://www.zomato.com/nashik/hotel-golden-boys-and-rolls-parijat-nagar/info"|"4"|"Quick Bites"|"1230pm to 1030pm(Mon-Sun)"|"Good"|"3.8"|"59"
"The Biryani Kitchen"|"300"|"Biryani"|"Nashik"|"Panchavati"|"https://www.zomato.com/nashik/the-biryani-kitchen-panchavati/info"|"4"|"none"|"1130am to 10pm(Mon,Tue,Wed,Fri,Sat,Sun)..."|"Poor"|"2.3"|"235"
"Pancham"|"500"|"North Indian"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/pancham-college-road/info"|"4"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Good"|"3.9"|"116"
"Lollypop Restaurant"|"150"|"Chinese"|"Nashik"|"Parijat Nagar"|"https://www.zomato.com/nashik/lollypop-restaurant-parijat-nagar/info"|"4"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.8"|"61"
"Krishna"|"350"|"Chinese,Fast Food,Street Food"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/krishna-college-road/info"|"4"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"106"
"Mainland China"|"1600"|"Chinese"|"Nashik"|"Satpur"|"https://www.zomato.com/nashik/mainland-china-1-satpur/info"|"4"|"Casual Dining"|"1230pm to 330pm,730pm to 1130pm(Mon-Sun)"|"Very Good"|"4.0"|"60"
"Baker's Bounty"|"400"|"Bakery,Fast Food,Rolls"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/bakers-bounty-college-road/info"|"4"|"Bakery"|"10am to 1130pm(Mon-Sun)"|"Good"|"3.7"|"54"
"Pick a Pizza"|"300"|"Fast Food,Italian"|"Nashik"|"Parijat Nagar"|"https://www.zomato.com/nashik/pick-a-pizza-parijat-nagar/info"|"4"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Good"|"3.9"|"112"
"Cake Factory and Cafe"|"200"|"Bakery"|"Nashik"|"Nashik Road"|"https://www.zomato.com/nashik/cake-factory-and-cafe-nashik-road-nasik/info"|"4"|"Bakery"|"10am to 11pm(Mon-Sun)"|"Good"|"3.7"|"22"
"Samadhan Juice Center"|"100"|"Juices"|"Nashik"|"College Road"|"https://www.zomato.com/nashik/samadhan-juice-center-2-college-road/info"|"4"|"Beverage Shop"|"10am to 10pm(Mon-Sun)"|"Good"|"3.8"|"14"
