"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"RA Fresh Juices And Milkshakes"|"100"|"North Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/ra-fresh-juices-and-milkshakes-elk-hill/info"|"4"|"Beverage Shop"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Pathayam Restaurant"|"150"|"North Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/pathayam-restaurant-elk-hill/info"|"4"|"none"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Silver Spoon"|"800"|"North Indian,South Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/silver-spoon-elk-hill/info"|"4"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ooty Palace Restaurant"|"200"|"North Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/ooty-palace-restaurant-elk-hill/info"|"4"|"Quick Bites"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Dharshan"|"500"|"South Indian,North Indian"|"Ooty"|"Kandal"|"https://www.zomato.com/ooty/hotel-dharshan-kandal/info"|"4"|"Casual Dining"|"630am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sree Lakshmi Illam"|"400"|"South Indian,North Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/sree-lakshmi-illam-elk-hill/info"|"4"|"Casual Dining"|"730am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Pani puri center"|"100"|"Street Food"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/pani-puri-center-elk-hill/info"|"4"|"none"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Pepper N Salt"|"450"|"North Indian,South Indian"|"Ooty"|"Kandal"|"https://www.zomato.com/ooty/pepper-n-salt-kandal/info"|"4"|"Casual Dining"|"630am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Abhi Ruchi"|"500"|"South Indian"|"Ooty"|"Thalayathimund"|"https://www.zomato.com/ooty/hotel-abhi-ruchi-thalayathimund/info"|"4"|"Casual Dining"|"8am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"New Nilgiri Restaurant"|"200"|"North Indian,South Indian,Chinese"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/new-nilgiri-restaurant-elk-hill/info"|"4"|"Quick Bites"|"730am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Azam Bakery"|"200"|"Bakery"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/azam-bakery-elk-hill/info"|"4"|"Bakery"|"9am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hindustan Bakery  & Sweets"|"300"|"Bakery"|"Ooty"|"Anna Nagar"|"https://www.zomato.com/ooty/hindustan-bakery-sweets-anna-nagar/info"|"4"|"Bakery"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Biriyani Hut"|"500"|"Biryani,South Indian,Kerala"|"Ooty"|"Kandal"|"https://www.zomato.com/ooty/hotel-biriyani-hut-kandal/info"|"4"|"Casual Dining"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sha Biryani mess"|"100"|"Biryani"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/sha-biryani-mess-elk-hill/info"|"4"|"Quick Bites"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Baron"|"200"|"North Indian"|"Ooty"|"Elk Hill"|"https://www.zomato.com/ooty/the-baron-elk-hill/info"|"4"|"Quick Bites"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
