"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Domino's Pizza"|"600"|"Pizza,Fast Food"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/dominos-pizza-vidyut-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"98"
"Arabian Grill & Fry"|"600"|"Chinese,Arabian"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/arabian-grill-fry-vidyut-nagar/info"|"1"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.3"|"91"
"Aaky's Bakehouse"|"300"|"Bakery"|"Palakkad"|"Chandranagar Colony"|"https://www.zomato.com/palakkad/aakys-bakehouse-1-chandranagar-colony/info"|"1"|"Bakery"|"2pm to 930pm(Mon,Tue,Wed,Fri,Sat,Sun)..."|"Not rated"|"-"|"-"
"Nalanda Rich"|"600"|"North Indian,Chinese,Continental,Kerala,South Indian"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/nalanda-rich-vidyut-nagar/info"|"1"|"Casual Dining"|"730am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"13"
"London Bakes & Grills"|"450"|"Bakery,Fast Food,Biryani"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/london-bakes-grills-vidyut-nagar/info"|"1"|"Bakery"|"7am to 11pm(Mon-Sun)"|"Average"|"3.2"|"4"
"The Magik Oven"|"300"|"Bakery"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/the-magik-oven-vidyut-nagar/info"|"1"|"Bakery"|"11am to 10pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Indian Coffee House"|"300"|"Kerala"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/indian-coffee-house-vidyut-nagar/info"|"1"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Vinayala Sweets and Bakers"|"200"|"Bakery"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/vinayala-sweets-and-bakers-vidyut-nagar/info"|"1"|"Bakery"|"9am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Open Kitchen"|"300"|"South Indian,North Indian,Chinese"|"Palakkad"|"Puthuppariyaram"|"https://www.zomato.com/palakkad/open-kitchen-puthuppariyaram/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Hotel Crown"|"400"|"South Indian,North Indian,Chinese,Arabian"|"Palakkad"|"Puthuppariyaram"|"https://www.zomato.com/palakkad/hotel-crown-puthuppariyaram/info"|"1"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Moon City"|"350"|"Kerala"|"Palakkad"|"Chandranagar Colony"|"https://www.zomato.com/palakkad/moon-city-chandranagar-colony/info"|"1"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Jelly And Jam"|"350"|"Kerala,Bakery"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/jelly-and-jam-vidyut-nagar/info"|"1"|"Bakery"|"930am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kanal Restaurant"|"400"|"Kerala,Chinese,North Indian,Seafood"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/kanal-restaurant-vidyut-nagar/info"|"1"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Rockland Multicuisine Restaurant"|"700"|"South Indian,North Indian,Kerala"|"Palakkad"|"Vidyut Nagar"|"https://www.zomato.com/palakkad/rockland-multicuisine-restaurant-vidyut-nagar/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Chillis"|"400"|"South Indian,North Indian,Kerala,Chinese"|"Palakkad"|"Nurani"|"https://www.zomato.com/palakkad/chillis-nurani/info"|"1"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
