"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Basant Restaurant"|"400"|"North Indian,Chinese,Ice Cream"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/basant-restaurant-2-model-town/info"|"5"|"Quick Bites"|"930am to 12midnight(Mon-Sun)"|"Average"|"3.0"|"63"
"Pizza Hut"|"600"|"Pizza"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/pizza-hut-model-town/info"|"5"|"Quick Bites"|"11am to 1030pm(Mon-Sun)"|"Good"|"3.7"|"115"
"Jaggi Sweets"|"200"|"Mithai"|"Patiala"|"Adalat Bazaar"|"https://www.zomato.com/patiala/jaggi-sweets-adalat-bazaar/info"|"5"|"Sweet Shop"|"9am to 10pm(Mon-Sun)"|"Very Good"|"4.1"|"324"
"Super Panda"|"500"|"Chinese"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/super-panda-model-town/info"|"5"|"Quick Bites"|"11am to 1030pm(Mon-Sun)"|"Good"|"3.7"|"74"
"The Jacks"|"300"|"Fast Food"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/the-jacks-model-town/info"|"5"|"Quick Bites"|"1030am to 12midnight(Mon-Sun)"|"Average"|"3.3"|"73"
"Bachan's Vaishnu Dhaba"|"200"|"North Indian"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/bachans-vaishnu-dhaba-model-town/info"|"5"|"Dhaba"|"730am to 11am,12noon to 4pm,630pm to 10pm..."|"Very Good"|"4.0"|"134"
"Mings"|"500"|"Chinese"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/mings-model-town/info"|"5"|"Quick Bites"|"11am to 1030pm(Mon-Sun)"|"Good"|"3.6"|"45"
"Nagpal restaurant"|"450"|"North Indian"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/nagpal-restaurant-model-town/info"|"5"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Very Good"|"4.2"|"136"
"Kala Chicken Corner"|"500"|"Fast Food"|"Patiala"|"Adalat Bazaar"|"https://www.zomato.com/patiala/kala-chicken-corner-adalat-bazaar/info"|"5"|"Quick Bites"|"11am to 12noon(Mon-Sun)"|"Good"|"3.8"|"192"
"Peddler's Patiala"|"1200"|"North Indian,Chinese,Fast Food"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/peddlers-patiala-model-town/info"|"5"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"82"
"Nagpal Dhaba"|"500"|"North Indian"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/nagpal-dhaba-model-town/info"|"5"|"Quick Bites"|"11am to 1050pm(Mon-Sun)"|"Good"|"3.7"|"91"
"Canadian Pizza"|"600"|"Pizza"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/canadian-pizza-model-town/info"|"5"|"Quick Bites"|"(Mon-Sun)"|"Very Good"|"4.1"|"182"
"Hashtag The Multicuisine"|"800"|"North Indian,Chinese"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/hashtag-the-multicuisine-model-town/info"|"5"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"51"
"La Pino'z Pizza"|"500"|"Pizza,Fast Food"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/la-pinoz-pizza-model-town/info"|"5"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"33"
"Kababchi"|"400"|"Mughlai,North Indian,Kebab"|"Patiala"|"Model Town"|"https://www.zomato.com/patiala/kababchi-model-town/info"|"5"|"Quick Bites"|"12noon to 1030pm(Mon-Sun)"|"Good"|"3.8"|"64"
