"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Desi Chinese Food Court"|"400"|"Chinese,North Indian"|"Patna"|"Rajendra Nagar"|"https://www.zomato.com/patna/desi-chinese-food-court-rajendra-nagar/info"|"15"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"Good"|"3.5"|"40"
"New Royal Biryani House"|"180"|"Biryani,Mughlai,Chinese"|"Patna"|"Bakerganj"|"https://www.zomato.com/patna/new-royal-biryani-house-bakerganj/info"|"15"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Good"|"3.7"|"61"
"Wai Wai City"|"400"|"Chinese"|"Patna"|"Khajpura"|"https://www.zomato.com/patna/wai-wai-city-khajpura/info"|"15"|"Casual Dining"|"1130am to 1030pm(Mon-Sun)"|"Average"|"3.4"|"64"
"In & La kitchen"|"0"|"North Indian"|"Patna"|"Golambar"|"https://www.zomato.com/patna/in-la-kitchen-golambar/info"|"15"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Chef Rajan Bakery"|"250"|"Bakery,Fast Food"|"Patna"|"Rukanpura"|"https://www.zomato.com/patna/chef-rajan-bakery-rukanpura/info"|"15"|"Bakery"|"9am to 10pm(Mon-Sun)"|"Good"|"3.6"|"25"
"The Food Mall"|"800"|"North Indian,Biryani"|"Patna"|"Khajpura"|"https://www.zomato.com/patna/the-food-mall-1-khajpura/info"|"15"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"Average"|"2.9"|"36"
"Rolls Square"|"300"|"Rolls"|"Patna"|"Kurji"|"https://www.zomato.com/patna/rolls-square-kurji/info"|"15"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Good"|"3.7"|"27"
"Kwality Wall's Happiness Station"|"200"|"Ice Cream,Desserts"|"Patna"|"Khajpura"|"https://www.zomato.com/patna/kwality-walls-happiness-station-khajpura/info"|"15"|"Dessert Parlor"|"11am to 10pm(Mon-Sun)"|"Average"|"3.3"|"9"
"Sweet Home Confectioners"|"150"|"Desserts"|"Patna"|"Fraser Road Area"|"https://www.zomato.com/patna/sweet-home-confectioners-fraser-road-area/info"|"15"|"Dessert Parlor"|"9am to 9pm(Mon-Sun)"|"Good"|"3.7"|"57"
"Jain Food World"|"300"|"Fast Food,North Indian,Street Food"|"Patna"|"Kidwaipuri"|"https://www.zomato.com/patna/jain-food-world-kidwaipuri/info"|"15"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.4"|"37"
"Fry Mo"|"250"|"Chinese"|"Patna"|"Rajbansi Nagar"|"https://www.zomato.com/patna/fry-mo-rajbansi-nagar/info"|"15"|"Quick Bites"|"3pm to 9pm(Mon-Sun)"|"Good"|"3.8"|"35"
"Khana Khazana"|"300"|"North Indian,Chinese"|"Patna"|"P&M Mall-- Kurji"|"https://www.zomato.com/patna/khana-khazana-kurji/info"|"15"|"Food Court"|"1030am to 1030pm(Mon-Sun)"|"Good"|"3.6"|"63"
"Shree Ladoo Gopal Sweets"|"200"|"Desserts"|"Patna"|"Patliputra Colony"|"https://www.zomato.com/patna/shree-ladoo-gopal-sweets-patliputra-colony/info"|"15"|"Sweet Shop"|"930am to 10pm(Mon-Sun)"|"Good"|"3.6"|"66"
"Raj Restaurant"|"150"|"North Indian,Bihari,Chinese"|"Patna"|"Sri Krishnapuri"|"https://www.zomato.com/patna/raj-restaurant-sri-krishnapuri/info"|"15"|"Quick Bites"|"9am to 10pm(Mon-Sun)"|"Average"|"3.1"|"17"
"Tahania"|"200"|"Juices,Beverages,Desserts,Fast Food"|"Patna"|"Kankarbagh"|"https://www.zomato.com/patna/tahania-kankarbagh/info"|"15"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.3"|"27"
