"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Indian Kaffe Express"|"500"|"Cafe,North Indian"|"Puducherry"|"White Town"|"https://www.zomato.com/puducherry/the-indian-kaffe-express-white-town/info"|"3"|"Café"|"8am to 10pm(Mon-Sun)"|"Very Good"|"4.2"|"877"
"PY Cafe"|"700"|"Salad,Cafe,Sandwich,Italian,Juices,Desserts"|"Puducherry"|"MG Road"|"https://www.zomato.com/puducherry/py-cafe-mg-road/info"|"3"|"Café"|"8am to 930pm(Mon-Sun)"|"Very Good"|"4.2"|"202"
"The Pasta Bar Veneto"|"900"|"Healthy Food,Continental,Italian,Sandwich,Salad"|"Puducherry"|"MG Road"|"https://www.zomato.com/puducherry/the-pasta-bar-veneto-mg-road/info"|"3"|"Casual Dining"|"11am to 10pm(Mon-Sun)"|"Very Good"|"4.0"|"623"
"Tanto"|"1000"|"Pizza,Italian"|"Puducherry"|"Auroville"|"https://www.zomato.com/puducherry/tanto-auroville/info"|"3"|"Casual Dining"|"1230pm to 3pm,630pm to 915pm(Mon-Sun)"|"Very Good"|"4.2"|"881"
"Hotel Sri Kamatchi"|"500"|"South Indian,Biryani,Seafood"|"Puducherry"|"White Town"|"https://www.zomato.com/puducherry/hotel-sri-kamatchi-white-town/info"|"3"|"Casual Dining"|"1130am to 430pm,630pm to 1030pm(Mon-Sun)"|"Very Good"|"4.1"|"343"
"La Marée"|"1400"|"French,Continental,North Indian,South Indian"|"Puducherry"|"Hotel Du Parc-- White Town"|"https://www.zomato.com/puducherry/la-marée-white-town/info"|"3"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"126"
"Pizza Hut"|"450"|"Pizza,Italian"|"Puducherry"|"White Town"|"https://www.zomato.com/puducherry/pizza-hut-white-town/info"|"3"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"2.7"|"126"
"Fruit Shop On Greams Road"|"200"|"Cafe,Sandwich,Beverages,Juices"|"Puducherry"|"Heritage Town"|"https://www.zomato.com/puducherry/fruit-shop-on-greams-road-2-heritage-town/info"|"3"|"Café"|"11am to 121AM(Mon-Sun)"|"Good"|"3.8"|"76"
"Domino's Pizza"|"700"|"Pizza,Fast Food"|"Puducherry"|"MG Road"|"https://www.zomato.com/puducherry/dominos-pizza-heritage-town/info"|"3"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"140"
"Banana Leaf Barbeque Restaurant"|"500"|"South Indian,Seafood"|"Puducherry"|"MG Road"|"https://www.zomato.com/puducherry/banana-leaf-barbeque-restaurant-mg-road/info"|"3"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.9"|"74"
"Prawn and Crab"|"450"|"Biryani,North Indian,Seafood,South Indian"|"Puducherry"|"Lawspet"|"https://www.zomato.com/puducherry/prawn-and-crab-lawspet/info"|"3"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"64"
"Junior Kuppanna"|"300"|"Chettinad,Biryani,Chinese,Tamil,South Indian"|"Puducherry"|"Gandhinagar"|"https://www.zomato.com/puducherry/junior-kuppanna-gandhinagar/info"|"3"|"none"|"11am to 4pm,6pm to 1130pm(Mon-Sun)"|"Good"|"3.7"|"103"
"Hot King"|"800"|"Arabian,Biryani,North Indian"|"Puducherry"|"Heritage Town"|"https://www.zomato.com/puducherry/hot-king-heritage-town/info"|"3"|"Quick Bites"|"12noon to 1045pm(Mon-Sun)"|"Good"|"3.7"|"100"
"Dindigul Thalappakatti"|"500"|"South Indian"|"Puducherry"|"Lawspet"|"https://www.zomato.com/puducherry/dindigul-thalappakatti-lawspet/info"|"3"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Good"|"3.8"|"90"
"i Food"|"450"|"Chinese,North Indian,Burger,Pizza,South Indian"|"Puducherry"|"Gandhinagar"|"https://www.zomato.com/puducherry/i-food-gandhinagar/info"|"3"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.4"|"65"
