"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hotel Rajmudra Dum Biryani House & Chinese Point"|"350"|"North Indian,Chinese"|"Pune"|"Pimple Saudagar"|"https://www.zomato.com/pune/hotel-rajmudra-dum-biryani-house-chinese-point-pimple-saudagar/info"|"315"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lavida Pizza Cafe"|"300"|"Cafe,Fast Food,Pizza"|"Pune"|"Mulshi Road"|"https://www.zomato.com/pune/lavida-pizza-cafe-mulshi/info"|"315"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Keteale cafe"|"400"|"South Indian,Fast Food,Street Food"|"Pune"|"Hadapsar"|"https://www.zomato.com/pune/keteale-cafe-hadapsar/info"|"315"|"Quick Bites"|"7am to 1pm,5pm to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Riddhima Foods"|"600"|"North Indian,Chinese"|"Pune"|"Lonavala"|"https://www.zomato.com/pune/riddhima-foods-lonavala/info"|"315"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ravis Dosa Corner"|"200"|"South Indian"|"Pune"|"Hinjawadi"|"https://www.zomato.com/pune/ravis-dosa-corner-hinjawadi/info"|"315"|"Quick Bites"|"8am to 9pm(Mon-Sun)"|"Average"|"3.3"|"10"
"Sailors Bakery"|"200"|"Bakery"|"Pune"|"Old Mumbai-Pune Highway"|"https://www.zomato.com/pune/sailors-bakery-old-mumbai-pune-highway/info"|"315"|"Bakery"|"7am to 11pm(Mon-Sun)"|"Average"|"3.3"|"10"
"Delhi Bites"|"500"|"North Indian,South Indian,Chinese"|"Pune"|"Ravet"|"https://www.zomato.com/pune/delhi-bites-2-ravet/info"|"315"|"Casual Dining"|"10am to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Chaskka The Garden Restro"|"700"|"North Indian,Chinese"|"Pune"|"Hinjawadi"|"https://www.zomato.com/pune/chaskka-the-garden-restro-hinjawadi/info"|"315"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Taste Of Malwa"|"200"|"Mithai"|"Pune"|"Bavdhan"|"https://www.zomato.com/pune/the-taste-of-malwa-bavdhan/info"|"315"|"Sweet Shop"|"10am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Anand Amruttulya"|"150"|"Bakery,Cafe,Ice Cream,Juices"|"Pune"|"Hinjawadi"|"https://www.zomato.com/pune/anand-amruttulya-hinjawadi/info"|"315"|"none"|"7am to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Hot & Spicy Momo Food Junction"|"200"|"Momos,Fast Food,Sandwich"|"Pune"|"Chinchwad"|"https://www.zomato.com/pune/hot-spicy-momo-food-junction-chinchwad/info"|"315"|"Quick Bites"|"4pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shree Samarth Konkan Food & Juice Center"|"500"|"Fast Food,South Indian"|"Pune"|"Budhwar Peth"|"https://www.zomato.com/pune/shree-samarth-konkan-food-juice-center-budhwar-peth/info"|"315"|"Quick Bites"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Karavali Sea Food Special"|"500"|"Seafood,North Indian,Chinese"|"Pune"|"Pashan"|"https://www.zomato.com/pune/karavali-sea-food-special-pashan/info"|"315"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Savali Garden"|"300"|"Maharashtrian"|"Pune"|"Koregaon Bhima"|"https://www.zomato.com/pune/savali-garden-koregaon-bhima/info"|"315"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Comet Cafe"|"350"|"Street Food,South Indian"|"Pune"|"Camp Area"|"https://www.zomato.com/pune/comet-cafe-camp-area/info"|"315"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
