"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Up Next"|"550"|"Chinese,Italian,Continental"|"Raipur"|"Civil Lines"|"https://www.zomato.com/raipur/up-next-civil-lines/info"|"42"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"11"
"Alka Family Restaurant"|"400"|"North Indian"|"Raipur"|"Tikrapara"|"https://www.zomato.com/raipur/alka-family-restaurant-tikrapara/info"|"42"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"14"
"Gulli Barbeque Spicy & Egg Role"|"150"|"Fast Food"|"Raipur"|"Civil Lines"|"https://www.zomato.com/raipur/gulli-barbeque-spicy-egg-role-civil-lines/info"|"42"|"Quick Bites"|"4pm to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Katherine's Kitchen"|"300"|"North Indian,Chinese"|"Raipur"|"Civil Lines"|"https://www.zomato.com/raipur/katherines-kitchen-civil-lines/info"|"42"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.8"|"14"
"Momo's Point"|"100"|"Momos"|"Raipur"|"Mahaveer Nagar"|"https://www.zomato.com/raipur/momos-point-mahaveer-nagar/info"|"42"|"none"|"5pm to 1030pm(Mon-Sun)"|"Average"|"2.7"|"10"
"Balbir Dhaba"|"300"|"North Indian"|"Raipur"|"Moudhapara"|"https://www.zomato.com/raipur/balbir-dhaba-moudhapara/info"|"42"|"Quick Bites"|"1pm to 1am(Mon-Sun)"|"Average"|"3.3"|"9"
"A Saheb Dhaba"|"0"|"Chinese,North Indian"|"Raipur"|"Deopuri"|"https://www.zomato.com/raipur/a-saheb-dhaba-deopuri/info"|"42"|"Dhaba"|"1130am to 12midnight(Mon-Sun)"|"Average"|"3.2"|"14"
"Satwik Restaurant"|"300"|"South Indian,Chinese,North Indian"|"Raipur"|"Mahaveer Nagar"|"https://www.zomato.com/raipur/satwik-restaurant-mahaveer-nagar/info"|"42"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"6"
"MCS Cafe"|"200"|"Fast Food"|"Raipur"|"Civil Lines"|"https://www.zomato.com/raipur/mcs-cafe-civil-lines/info"|"42"|"Quick Bites"|"10am to 2pm,430pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"A-1 Bakery"|"300"|"Bakery,Fast Food"|"Raipur"|"Moudhapara"|"https://www.zomato.com/raipur/a-1-bakery-1-moudhapara/info"|"42"|"Bakery"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"6"
"Toast & Tonic"|"300"|"Fast Food,Beverages"|"Raipur"|"Civil Lines"|"https://www.zomato.com/raipur/toast-tonic-civil-lines/info"|"42"|"Quick Bites"|"930am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Desi Thath"|"400"|"Fast Food,North Indian"|"Raipur"|"Gogaon"|"https://www.zomato.com/raipur/desi-thath-gogaon/info"|"42"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Average"|"3.3"|"10"
"Shahenshah Biryani"|"300"|"Biryani,Fast Food"|"Raipur"|"Devendra Nagar"|"https://www.zomato.com/raipur/shahenshah-biryani-devendra-nagar/info"|"42"|"Quick Bites"|"12noon to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Bar-B-Q"|"400"|"Fast Food"|"Raipur"|"Mowa"|"https://www.zomato.com/raipur/bar-b-q-1-mowa/info"|"42"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.2"|"10"
"Diya Cafe"|"200"|"Fast Food,Beverages"|"Raipur"|"Mahaveer Nagar"|"https://www.zomato.com/raipur/diya-cafe-mahaveer-nagar/info"|"42"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"15"
