"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"McDonald's"|"500"|"Burger,Fast Food"|"Rajkot"|"Kotecha Nagar"|"https://www.zomato.com/rajkot/mcdonalds-kotecha-nagar/info"|"1"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Very Good"|"4.4"|"262"
"The Grand Thakar"|"700"|"North Indian,Gujarati,South Indian,Continental"|"Rajkot"|"Kothi Compound"|"https://www.zomato.com/rajkot/the-grand-thakar-kothi-compound/info"|"1"|"Casual Dining"|"11am to 330pm,7pm to 11pm(Mon-Sun)"|"Excellent"|"4.7"|"396"
"DNS- Desserts N Shakes"|"400"|"Desserts,Beverages"|"Rajkot"|"Race Course"|"https://www.zomato.com/rajkot/dns-desserts-n-shakes-race-course/info"|"1"|"Dessert Parlor"|"12noon to 1125pm(Mon-Sun)"|"Excellent"|"4.6"|"168"
"Domino's Pizza"|"700"|"Pizza"|"Rajkot"|"Sardar Nagar"|"https://www.zomato.com/rajkot/dominos-pizza-sardar-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"166"
"Pizza Hut"|"700"|"Pizza"|"Rajkot"|"150 Feet Ring Road"|"https://www.zomato.com/rajkot/pizza-hut-150-feet-ring-road/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"288"
"Cheelizza"|"500"|"Pizza"|"Rajkot"|"Kotecha Nagar"|"https://www.zomato.com/rajkot/cheelizza-kotecha-nagar/info"|"1"|"Quick Bites"|"11am to 1130pm(Mon-Sun)"|"Very Good"|"4.3"|"293"
"Shree Chinese & Punjabi"|"300"|"South Indian,North Indian,Chinese"|"Rajkot"|"Dr Yagnik Road"|"https://www.zomato.com/rajkot/shree-chinese-punjabi-dr-yagnik-road/info"|"1"|"Quick Bites"|"10am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"139"
"Verona Italica"|"400"|"Fast Food"|"Rajkot"|"Race Course"|"https://www.zomato.com/rajkot/verona-italica-1-race-course/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"128"
"Big Bite"|"500"|"Fast Food"|"Rajkot"|"Race Course"|"https://www.zomato.com/rajkot/big-bite-race-course/info"|"1"|"Quick Bites"|"10am to 1130pm(Mon-Sun)"|"Very Good"|"4.2"|"194"
"Sonali Restaurant"|"350"|"Street Food,South Indian"|"Rajkot"|"Race Course"|"https://www.zomato.com/rajkot/sonali-restaurant-race-course/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"151"
"La Pinoz Pizza"|"500"|"Pizza"|"Rajkot"|"150 Feet Ring Road"|"https://www.zomato.com/rajkot/la-pinoz-pizza-150-feet-ring-road/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Excellent"|"4.9"|"368"
"Jassi De Parathe"|"600"|"North Indian"|"Rajkot"|"Kotecha Nagar"|"https://www.zomato.com/rajkot/jassi-de-parathe-kotecha-nagar/info"|"1"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Very Good"|"4.3"|"180"
"Mehul's Kitchen"|"400"|"North Indian,Fast Food"|"Rajkot"|"Dr Yagnik Road"|"https://www.zomato.com/rajkot/mehuls-kitchen-dr-yagnik-road/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.3"|"167"
"The Maggi Center"|"200"|"Fast Food"|"Rajkot"|"Kotecha Nagar"|"https://www.zomato.com/rajkot/the-maggi-center-kotecha-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.2"|"92"
"House Of Size Zero"|"300"|"Cafe"|"Rajkot"|"Kotecha Nagar"|"https://www.zomato.com/rajkot/house-of-size-zero-kotecha-nagar/info"|"1"|"Café"|"11am to 11pm(Mon-Fri),11am to 1130pm(Sat-Sun)"|"Very Good"|"4.4"|"213"
