"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Punjaabi Hunt"|"500"|"North Indian,Chinese"|"Ranchi"|"Lalpur"|"https://www.zomato.com/ranchi/punjaabi-hunt-lalpur/info"|"37"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"57"
"Raj Gharana"|"400"|"Chinese,North Indian"|"Ranchi"|"Ratu"|"https://www.zomato.com/ranchi/raj-gharana-ratu/info"|"37"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.5"|"104"
"Satkar Restaurant"|"400"|"North Indian,Rolls,Biryani,Chinese,Beverages"|"Ranchi"|"Kanke"|"https://www.zomato.com/ranchi/satkar-restaurant-kanke/info"|"37"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"56"
"Mahi Restaurant & Banquet"|"800"|"North Indian,Chinese"|"Ranchi"|"Ashok Nagar"|"https://www.zomato.com/ranchi/mahi-restaurant-banquet-ashok-nagar/info"|"37"|"Casual Dining"|"1030am to 11pm(Mon-Sun)"|"Average"|"3.2"|"72"
"Fish O Fresh"|"500"|"Seafood,Biryani,Chinese,Desserts,Beverages"|"Ranchi"|"Lalpur"|"https://www.zomato.com/ranchi/fish-o-fresh-lalpur/info"|"37"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"32"
"The Saffron"|"500"|"South Indian,North Indian,Chinese"|"Ranchi"|"Bariatu"|"https://www.zomato.com/ranchi/the-saffron-bariatu/info"|"37"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.5"|"77"
"Mamta's Oak Leaf"|"700"|"North Indian,Chinese"|"Ranchi"|"Ashok Nagar"|"https://www.zomato.com/ranchi/mamtas-oak-leaf-ashok-nagar/info"|"37"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"50"
"24 Carrot's -  Hotel AVN Grand"|"800"|"North Indian,Chinese,Biryani,Continental,Desserts,Beverages,South Indian"|"Ranchi"|"Hindpiri"|"https://www.zomato.com/ranchi/24-carrots-hotel-avn-grand-hindpiri/info"|"37"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Good"|"3.8"|"41"
"New Food Hut Family Restaurant"|"600"|"North Indian,Biryani,Chinese,Fast Food"|"Ranchi"|"Harmu"|"https://www.zomato.com/ranchi/new-food-hut-family-restaurant-harmu/info"|"37"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"49"
"Samrat Restaurant - Chanakya BNR Hotel"|"1500"|"North Indian,South Indian"|"Ranchi"|"Chanakya BNR Hotel-- Kanka"|"https://www.zomato.com/ranchi/samrat-restaurant-chanakya-bnr-hotel-kanka/info"|"37"|"Fine Dining"|"7am to 11pm(Mon-Sun)"|"Good"|"3.9"|"51"
"Fluid - Capitol Residency"|"800"|"Thai,Chinese,Finger Food"|"Ranchi"|"Capitol Residency-- Kanka"|"https://www.zomato.com/ranchi/fluid-capitol-residency-kanka/info"|"37"|"Lounge"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"47"
"The Chillies"|"250"|"Chinese"|"Ranchi"|"Harmu"|"https://www.zomato.com/ranchi/the-chillies-harmu/info"|"37"|"Quick Bites"|"3pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"38"
"Vyanjan 100%"|"250"|"Biryani,North Indian"|"Ranchi"|"Kokar"|"https://www.zomato.com/ranchi/vyanjan-100-kokar/info"|"37"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"27"
"Eat - Hotel Beena Inn"|"800"|"North Indian,Chinese,South Indian"|"Ranchi"|"Kanka"|"https://www.zomato.com/EatInRanchi/info"|"37"|"Casual Dining"|"730am to 11pm(Mon-Sun)"|"Good"|"3.5"|"39"
"Zero Degree"|"700"|"North Indian,Chinese"|"Ranchi"|"Kanke"|"https://www.zomato.com/ranchi/zero-degree-kanke/info"|"37"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"38"
