"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Domino's Pizza"|"400"|"Pizza,Fast Food"|"Rishikesh"|"Manvendera Nagar"|"https://www.zomato.com/rishikesh/dominos-pizza-manvendera-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"227"
"Cafe Karma"|"450"|"Cafe"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/cafe-karma-tapovan/info"|"1"|"Café"|"7am to 11pm(Mon-Sun)"|"Average"|"3.4"|"44"
"Frost Factory"|"200"|"Ice Cream,Desserts"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/frost-factory-tapovan/info"|"1"|"Dessert Parlor"|"10am to 12midnight(Mon-Sun)"|"Average"|"3.3"|"23"
"Tip Top Restaurant"|"600"|"North Indian,Chinese"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/tip-top-restaurant-tapovan/info"|"1"|"Casual Dining"|"8am to 12midnight(Mon-Sun)"|"Average"|"3.3"|"25"
"Chotiwala"|"500"|"North Indian"|"Rishikesh"|"Swarg Ashram"|"https://www.zomato.com/rishikesh/chotiwala-3-swarg-ashram/info"|"1"|"Casual Dining"|"8am to 10pm(Mon-Sun)"|"Average"|"3.2"|"92"
"Food Grage"|"400"|"North Indian,Chinese"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/food-grage-tapovan/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Dilli Bites"|"600"|"North Indian,Italian,Chinese"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/dilli-bites-tapovan/info"|"1"|"Casual Dining"|"8am to 10pm(Mon-Sun)"|"Average"|"3.2"|"16"
"E 10 House Cafe"|"500"|"Cafe,Chinese,Italian"|"Rishikesh"|"Manvendera Nagar"|"https://www.zomato.com/rishikesh/e-10-house-cafe-manvendera-nagar/info"|"1"|"Café"|"8am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Trihari"|"400"|"North Indian,Fast Food"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/hotel-trihari-tapovan/info"|"1"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Cafe Bamboo Tree"|"500"|"Cafe"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/cafe-bamboo-tree-tapovan/info"|"1"|"Café"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Negi Restaurant & Cafe"|"400"|"North Indian,Chinese"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/negi-restaurant-cafe-tapovan/info"|"1"|"Quick Bites"|"7am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"11"
"Selection Bakers and Confectioners"|"500"|"Bakery,Desserts"|"Rishikesh"|"Manvendera Nagar"|"https://www.zomato.com/rishikesh/selection-bakers-and-confectioners-manvendera-nagar/info"|"1"|"Bakery"|"830am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"155 Miles From Delhi"|"350"|"North Indian,Chinese"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/155-miles-from-delhi-tapovan/info"|"1"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Nature Villa"|"600"|"North Indian,Continental,Chinese,Cafe"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/nature-villa-tapovan/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Tripti cafe"|"600"|"North Indian,Chinese,Beverages"|"Rishikesh"|"Tapovan"|"https://www.zomato.com/rishikesh/tripti-cafe-tapovan/info"|"1"|"Casual Dining"|"12noon to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
