"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Burmy Food"|"200"|"Burmese,Healthy Food"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/burmy-food-alagapuram-pudur/info"|"6"|"Quick Bites"|"5pm to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Mangala Vilas Chinese Restaurant"|"300"|"Chinese,North Indian,South Indian"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/mangala-vilas-chinese-restaurant-alagapuram-pudur/info"|"6"|"Fine Dining"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Rewind"|"300"|"Cafe"|"Salem"|"Reliance Mega Mall-- Alagapuram Pudur"|"https://www.zomato.com/salem/rewind-alagapuram-pudur/info"|"6"|"Café"|"11am to 930pm(Mon-Sun)"|"Good"|"3.5"|"7"
"Srivari Hotel"|"250"|"South Indian"|"Salem"|"Gugai"|"https://www.zomato.com/salem/srivari-hotel-gugai/info"|"6"|"Quick Bites"|"(Mon-Sun)"|"Average"|"3.2"|"7"
"Shri Boom"|"200"|"Desserts"|"Salem"|"Gorimedu"|"https://www.zomato.com/salem/shri-boom-gorimedu/info"|"6"|"Dessert Parlor"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri Gupta Sweets"|"250"|"South Indian"|"Salem"|"Seelanaickenpatti"|"https://www.zomato.com/salem/shri-gupta-sweets-seelanaickenpatti/info"|"6"|"Sweet Shop"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"F2 Food Factory"|"200"|"Fast Food"|"Salem"|"Gugai"|"https://www.zomato.com/salem/f2-food-factory-gugai/info"|"6"|"Casual Dining"|"(Mon-Sun)"|"Average"|"3.2"|"4"
"Jhiv Ras Happiness Food"|"300"|"Healthy Food"|"Salem"|"Gorimedu"|"https://www.zomato.com/salem/jhiv-ras-happiness-food-gorimedu/info"|"6"|"Beverage Shop"|"NA"|"Not rated"|"-"|"-"
"Jack N Wenk"|"200"|"Beverages"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/jack-n-wenk-alagapuram-pudur/info"|"6"|"Beverage Shop"|"(Mon-Sun)"|"None"|"NEW"|"NEW"
"Frozen Hub"|"200"|"Beverages,Desserts,Ice Cream"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/frozen-hub-alagapuram-pudur/info"|"6"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"8"
"Seakings"|"350"|"Ice Cream"|"Salem"|"Nirmal Skywin Shopping Mall-- Alagapuram Pudur"|"https://www.zomato.com/salem/seakings-alagapuram-pudur/info"|"6"|"Dessert Parlor"|"11am to 10pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Mangala Vilas"|"250"|"South Indian"|"Salem"|"Gugai"|"https://www.zomato.com/salem/mangala-vilas-gugai/info"|"6"|"Casual Dining"|"730am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Shri Gupta Sweets"|"250"|"South Indian,Mithai"|"Salem"|"Gugai"|"https://www.zomato.com/salem/shri-gupta-sweets-gugai/info"|"6"|"Sweet Shop"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Sri Vishnu Sweets"|"200"|"Fast Food,Mithai"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/sri-vishnu-sweets-alagapuram-pudur/info"|"6"|"Sweet Shop"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Shri's Cake Zone"|"300"|"Bakery"|"Salem"|"Alagapuram Pudur"|"https://www.zomato.com/salem/shris-cake-zone-alagapuram-pudur/info"|"6"|"Bakery"|"11am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
