"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Domino's"|"450"|"Pizza"|"Shimla"|"Summer Hill"|"https://www.zomato.com/shimla/dominos-summer-hill/info"|"1"|"none"|"10am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"120"
"Singh's Tandoor"|"450"|"North Indian,Fast Food"|"Shimla"|"Sanjauli"|"https://www.zomato.com/shimla/singhs-tandoor-sanjauli/info"|"1"|"Quick Bites"|"10am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"48"
"The EBR Cafe"|"500"|"Mexican,Italian,Cafe"|"Shimla"|"Summer Hill"|"https://www.zomato.com/shimla/the-ebr-cafe-summer-hill/info"|"1"|"Café"|"10am to 9pm(Mon-Sun)"|"Average"|"3.2"|"15"
"Que Cafe"|"500"|"Cafe,Italian"|"Shimla"|"Kasumpti"|"https://www.zomato.com/shimla/que-cafe-kasumpti/info"|"1"|"Café"|"10am to 1130pm(Mon-Sun)"|"Average"|"3.3"|"32"
"Kennedy House"|"1400"|"Italian,Chinese,North Indian"|"Shimla"|"Mashobra"|"https://www.zomato.com/shimla/kennedy-house-mashobra/info"|"1"|"Lounge"|"730am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"New Diamond Restaurant"|"500"|"Bakery,North Indian,Chinese,South Indian,Fast Food"|"Shimla"|"Sanjauli"|"https://www.zomato.com/shimla/new-diamond-restaurant-sanjauli/info"|"1"|"Bakery"|"8am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"City Point"|"0"|"North Indian,Italian,Continental,Cafe,Burger"|"Shimla"|"Sanjauli"|"https://www.zomato.com/shimla/city-point-sanjauli/info"|"1"|"Café"|"11am to 930pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Tea Bliss"|"1500"|"Asian"|"Shimla"|"Mashobra"|"https://www.zomato.com/shimla/tea-bliss-mashobra/info"|"1"|"Lounge"|"1230pm to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lekh Raj fast food"|"200"|"North Indian"|"Shimla"|"Summer Hill"|"https://www.zomato.com/shimla/lekh-raj-fast-food-summer-hill/info"|"1"|"Quick Bites"|"11am to 4pm(Mon-Sun)"|"Average"|"3.2"|"4"
"DX Fast Food"|"0"|"Burger,Chinese"|"Shimla"|"Sanjauli"|"https://www.zomato.com/shimla/dx-fast-food-sanjauli/info"|"1"|"Beverage Shop"|"1030am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Republic of Chicken"|"0"|"Afghan,Asian,BBQ,Chinese,Fast Food,Finger Food,Healthy Food,Himachali"|"Shimla"|"Panthaghati"|"https://www.zomato.com/shimla/republic-of-chicken-panthaghati/info"|"1"|"Meat Shop"|"11am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"RK Chinese Fast Food"|"100"|"Chinese,Desserts,Fast Food"|"Shimla"|"Sanjauli"|"https://www.zomato.com/shimla/rk-chinese-fast-food-1-sanjauli/info"|"1"|"Café"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"South Corner"|"150"|"South Indian"|"Shimla"|"Kasumpti"|"https://www.zomato.com/shimla/south-corner-kasumpti/info"|"1"|"Bhojanalya"|"1030am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Dalziel Restaurant"|"500"|"Cafe"|"Shimla"|"Summer Hill"|"https://www.zomato.com/shimla/dalziel-restaurant-summer-hill/info"|"1"|"Café"|"9am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Heights Restaurant"|"300"|"Bakery,Beverages,Chinese,Coffee,Continental,Desserts,Fast Food,North Indian"|"Shimla"|"Kasumpti"|"https://www.zomato.com/shimla/heights-restaurant-kasumpti/info"|"1"|"Bhojanalya"|"1030am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
