"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Ghar Ki Rasoi"|"200"|"North Indian"|"Siliguri"|"Khalpara"|"https://www.zomato.com/siliguri/ghar-ki-rasoi-khalpara/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sizzling Sizzler"|"600"|"Continental"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/sizzling-sizzler-bankim-nagar/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Icy Hot"|"400"|"Desserts"|"Siliguri"|"Janta Nagar"|"https://www.zomato.com/siliguri/icy-hot-janta-nagar/info"|"11"|"Dessert Parlor"|"12noon to 1030pm(Mon-Sun)"|"Average"|"2.9"|"4"
"Spice Restaurant By Hotel Malisca"|"750"|"North Indian,Chinese,South Indian"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/spice-restaurant-by-hotel-malisca-bankim-nagar/info"|"11"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lazeez Restaurant"|"300"|"North Indian"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/lazeez-restaurant-bankim-nagar/info"|"11"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hongkong Momo's"|"200"|"Momos"|"Siliguri"|"Khalpara"|"https://www.zomato.com/siliguri/hongkong-momos-khalpara/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"New Sikkim Restaurant"|"500"|"North Indian,Chinese"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/new-sikkim-restaurant-bankim-nagar/info"|"11"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The Paan Palace"|"100"|"Paan"|"Siliguri"|"Khalpara"|"https://www.zomato.com/siliguri/the-paan-palace-khalpara/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Herbs"|"650"|"North Indian,Chinese,Continental"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/herbs-bankim-nagar/info"|"11"|"Casual Dining"|"1130am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Amrapali"|"1500"|"North Indian,Chinese,Portuguese,Continental"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/amrapali-bankim-nagar/info"|"11"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hidden Dragon - Chinese Cuisine"|"400"|"Chinese"|"Siliguri"|"Bankim Nagar"|"https://www.zomato.com/siliguri/hidden-dragon-chinese-cuisine-bankim-nagar/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Spice Garden"|"300"|"North Indian"|"Siliguri"|"Janta Nagar"|"https://www.zomato.com/siliguri/spice-garden-janta-nagar/info"|"11"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Food Plaza"|"200"|"Chinese,Bengali"|"Siliguri"|"Pradhan Nagar"|"https://www.zomato.com/siliguri/hotel-food-plaza-pradhan-nagar/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Fresh and Fine Fast Food Center"|"250"|"Street Food,Chinese"|"Siliguri"|"Khalpara"|"https://www.zomato.com/siliguri/fresh-and-fine-fast-food-center-khalpara/info"|"11"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Aalishan Biriyani"|"200"|"Biryani"|"Siliguri"|"Dabgram"|"https://www.zomato.com/siliguri/aalishan-biriyani-dabgram/info"|"11"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
