"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Ahdoo's"|"700"|"South Indian,North Indian,Kashmiri"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/ahdoos-lal-chowk/info"|"1"|"Casual Dining"|"10am to 1030pm(Mon-Sun)"|"Good"|"3.6"|"108"
"Fat Panda"|"400"|"Chinese"|"Srinagar"|"Dal Gate"|"https://www.zomato.com/srinagar/fat-panda-dal-gate/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"27"
"Mummy Please"|"500"|"Fast Food,Italian"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/mummy-please-lal-chowk/info"|"1"|"Quick Bites"|"10am to 930pm(Mon-Sun)"|"Average"|"3.3"|"96"
"Hungerhook The Pizza Shop"|"500"|"Pizza"|"Srinagar"|"Nowgam"|"https://www.zomato.com/srinagar/hungerhook-the-pizza-shop-nowgam/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.3"|"76"
"Mummy Please Express"|"500"|"Pizza,Fast Food"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/mummy-please-express-lal-chowk/info"|"1"|"Quick Bites"|"1130am to 830pm(Mon-Sun)"|"Average"|"3.3"|"42"
"Cafe De Polo"|"800"|"South Indian,North Indian,Chinese,Italian"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/cafe-de-polo-lal-chowk/info"|"1"|"Casual Dining"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"18"
"High Street Restaurant and Cafe"|"400"|"Kashmiri,Mughlai,Afghan"|"Srinagar"|"Lal Bazaar"|"https://www.zomato.com/srinagar/high-street-restaurant-and-cafe-lal-bazaar/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"12"
"Hat Trick Pizza Hut"|"400"|"Pizza"|"Srinagar"|"Srinagar"|"https://www.zomato.com/srinagar/hat-trick-pizza-hut-srinagar/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"28"
"Kooks"|"600"|"Fast Food,Italian"|"Srinagar"|"Chinar Bagh"|"https://www.zomato.com/srinagar/kooks-chinar-bagh/info"|"1"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"11"
"Delhi Di Rasoi"|"400"|"Street Food,North Indian,South Indian"|"Srinagar"|"Dal Gate"|"https://www.zomato.com/srinagar/delhi-di-rasoi-1-dal-gate/info"|"1"|"Casual Dining"|"11am to 930pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Boulevard Avenue Dine In"|"800"|"Chinese,North Indian"|"Srinagar"|"Dal Gate"|"https://www.zomato.com/srinagar/boulevard-avenue-dine-in-dal-gate/info"|"1"|"Casual Dining"|"11am to 830pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Bangs"|"400"|"Fast Food,Burger"|"Srinagar"|"Lal Bazaar"|"https://www.zomato.com/srinagar/bangs-lal-bazaar/info"|"1"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Zoom Restaurant"|"500"|"North Indian"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/zoom-restaurant-2-lal-chowk/info"|"1"|"Casual Dining"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Scoops and Brew"|"350"|"Pizza"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/scoops-and-brew-lal-chowk/info"|"1"|"Quick Bites"|"(Mon-Sun)"|"Not rated"|"-"|"-"
"Chops N Hops"|"350"|"Mughlai,Chinese"|"Srinagar"|"Lal Chowk"|"https://www.zomato.com/srinagar/chops-n-hops-lal-chowk/info"|"1"|"Quick Bites"|"930am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
