"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Food Valley by Punjabi Kadhai"|"600"|"North Indian,Biryani,Chinese,Beverages"|"Surat"|"Vesu"|"https://www.zomato.com/surat/the-food-valley-by-punjabi-kadhai-vesu/info"|"46"|"Casual Dining"|"1130am to 4pm,7pm to 1130pm(Mon-Sun)"|"Average"|"2.7"|"43"
"Bipin Sandwich"|"150"|"Street Food"|"Surat"|"Gopipura"|"https://www.zomato.com/surat/bipin-sandwich-gopipura/info"|"46"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Very Good"|"4.1"|"22"
"Mowgli"|"250"|"Fast Food,Burger"|"Surat"|"Adajan Gam"|"https://www.zomato.com/surat/mowgli-adajan-gam/info"|"46"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Good"|"3.5"|"38"
"Al Baik"|"300"|"Fast Food,Pizza,Sandwich,Burger,BBQ,Chinese,Street Food"|"Surat"|"Rander"|"https://www.zomato.com/surat/al-baik-rander/info"|"46"|"Quick Bites"|"5pm to 12midnight(Mon-Sun)"|"Good"|"3.5"|"29"
"Wooddy Jhones"|"400"|"Pizza"|"Surat"|"Vesu"|"https://www.zomato.com/surat/wooddy-jhones-vesu/info"|"46"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.6"|"14"
"New Bhai Bhai Omelete"|"300"|"North Indian,Beverages"|"Surat"|"Vesu"|"https://www.zomato.com/surat/new-bhai-bhai-omelete-1-vesu/info"|"46"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Average"|"3.3"|"25"
"Sampurna Ice-Cream & Fast Food"|"400"|"Ice Cream,Fast Food"|"Surat"|"Adajan Gam"|"https://www.zomato.com/surat/sampurna-ice-cream-fast-food-adajan-gam/info"|"46"|"Dessert Parlor"|"2pm to 11pm(Mon-Sun)"|"Good"|"3.7"|"22"
"Sampoorna"|"200"|"Desserts,Ice Cream"|"Surat"|"Vesu"|"https://www.zomato.com/surat/sampoorna-vesu/info"|"46"|"Dessert Parlor"|"1pm to 12midnight(Mon-Sun)"|"Average"|"3.4"|"24"
"Yajman"|"400"|"North Indian,Chinese,Biryani,South Indian,Desserts,Beverages"|"Surat"|"Piplod"|"https://www.zomato.com/surat/yajman-piplod/info"|"46"|"Quick Bites"|"6pm to 1am(Mon-Sun)"|"Good"|"3.5"|"43"
"Thought 4 Food"|"800"|"Italian,Continental,Biryani,Desserts"|"Surat"|"Varaccha"|"https://www.zomato.com/surat/thought-4-food-varaccha/info"|"46"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"20"
"The Food Factory"|"300"|"North Indian,Chinese,Desserts"|"Surat"|"Vesu"|"https://www.zomato.com/surat/the-food-factory-vesu/info"|"46"|"Quick Bites"|"430pm to 1am(Mon-Sun)"|"Average"|"3.4"|"18"
"Mogji's"|"1000"|"Lebanese,Chinese,North Indian"|"Surat"|"Adajan Gam"|"https://www.zomato.com/surat/mogjis-adajan-gam/info"|"46"|"Casual Dining"|"12noon to 1130pm(Mon-Sun)"|"Average"|"2.6"|"35"
"Om Restaurant"|"500"|"Chinese,North Indian"|"Surat"|"Udhna Gam"|"https://www.zomato.com/surat/om-restaurant-udhna-gam/info"|"46"|"Casual Dining"|"1030am to 330pm,530pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"13"
"Udipi Non Veg Lunch Home"|"300"|"Chinese,Gujarati,Indian,Mughlai,South Indian,Biryani"|"Surat"|"Udhna Gam"|"https://www.zomato.com/surat/udipi-non-veg-lunch-home-udhna-gam/info"|"46"|"Casual Dining"|"11am to 330pm,6pm to 11pm(Mon-Sun)"|"Average"|"2.5"|"40"
"Hanumante Ice Cream"|"150"|"Ice Cream,Desserts"|"Surat"|"Utran"|"https://www.zomato.com/surat/hanumante-ice-cream-utran/info"|"46"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
